_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
33.5,0,1,1,0,0,0
35,0.4222222222222222,1,1,2.2970652220507545e-06,0.0625,5.74266305900544e-07
41.5,0.09743589743589744,1,1,4.28255764657255e-06,0.09375,1.6059591191402987e-06
43,0.4222222222222222,1,1,2.5499828721254368e-05,0.125,1.2749914625923834e-05
47.25,0.14901960784313725,1,1,3.961912048133407e-05,0.15625,2.476195109685466e-05
47.75,1.2666666666666666,1,1,0.00039989132656035616,0.1875,0.00029991917702990126
49.5,0.3619047619047619,1,1,0.0006137670109747684,0.21875,0.0005370482485382926
51,0.4222222222222222,1,1,0.0009463276884477825,0.25,0.00094633446818831
55.25,0.14901960784313725,1,1,0.0010874772197489908,0.28125,0.0012234210174836993
55.75,1.2666666666666666,1,1,0.002888655529908555,0.3125,0.0036109736740327363
57.5,0.3619047619047619,1,1,0.003632920729347236,0.34375,0.004995544963490222
59,0.4222222222222222,1,1,0.004650947490157914,0.375,0.006976957780464951
62.5,0.18095238095238095,1,1,0.0051398165971884525,0.40625,0.008352870409939027
63.5,0.6333333333333333,1,1,0.00711872140779755,0.4375,0.012459411496038433
64,1.2666666666666666,1,1,0.01247939493900282,0.46875,0.02340715623294447
65,0.6333333333333333,1,1,0.015954194801092045,0.5,0.031924629158561445
65.5,1.2666666666666666,1,1,0.02472529857197631,0.53125,0.0525981343715205
66,1.2666666666666666,1,1,0.036235178210111886,0.5625,0.08169813623349566
66.5,1.2666666666666666,1,1,0.05085595828147094,0.59375,0.12122514044307499
67,1.2666666666666666,1,1,0.06895976335202571,0.625,0.1734456246983859
69,0.31666666666666665,1,1,0.0740735456233636,0.65625,0.1956777911143539
69.5,1.2666666666666666,1,1,0.09705443211381146,0.6875,0.2695460892554875
70,1.2666666666666666,1,1,0.12435562387689253,0.71875,0.3628341267195234
70.5,1.2666666666666666,1,1,0.15634924547857895,0.75,0.47913127133140554
71.25,0.8444444444444444,1,1,0.18046899723002585,0.78125,0.5788169952964223
71.75,1.2666666666666666,1,1,0.22111027870932623,0.8125,0.684164564976834
73,0.5066666666666667,1,1,0.2389376856894208,0.84375,0.7399092329943455
73.5,1.2666666666666666,1,1,0.28764182886753725,0.875,0.8059328665434743
74.5,0.6333333333333333,1,1,0.31429779382380696,0.90625,0.8692785551261235
75,1.2666666666666666,1,1,0.3724500883245019,0.9375,0.9457257807662298
75.5,1.2666666666666666,1,1,0.43736630608104754,0.96875,1.0296886760783195
76.5,0.6333333333333333,1,1,0.4724771751071308,1.0,1.1059994037056324
77,1.2666666666666666,1,1,0.4998923223018578,1.0,1.117985837967702
77.5,1.2666666666666666,1,1,0.5266449567704417,1.0,1.1302012699036135
78.5,0.6333333333333333,1,1,0.5169661152015704,1.0,1.1257237513113967
79.5,0.6333333333333333,1,1,0.5079345600719938,1.0,1.1216048846699669
80,1.2666666666666666,1,1,0.5325182817558717,1.0,1.1329500079015957
81,0.6333333333333333,1,1,0.5233794652251462,1.0,1.1286833323033347
81.5,1.2666666666666666,1,1,0.5467382018594441,1.0,1.1397028829359424
82,1.2666666666666666,1,1,0.5695632102821675,1.0,1.1508267682439997
82.5,1.2666666666666666,1,1,0.591856153849871,1.0,1.1620213882928154
83,1.2666666666666666,1,1,0.6136212981611451,1.0,1.1732566205042139
85,0.31666666666666665,1,1,0.5871539194440138,1.0,1.159633444291112
85.5,1.2666666666666666,1,1,0.6079179332793815,1.0,1.1702838175428534
86,1.2666666666666666,1,1,0.6282110948801558,1.0,1.1809526577007752
86.5,1.2666666666666666,1,1,0.6480398293381999,1.0,1.1916189073729417
87.25,0.8444444444444444,1,1,0.6470402308033318,1.0,1.1910755896575285
87.75,1.2666666666666666,1,1,0.6660064079306183,1.0,1.2014843051012547
