_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
14,0,1,1.1,0,0,0
14.5,1.1466666666666667,1,1,4.601099537037038e-05,0.077003125,1.1611472874960858
15,1.1466666666666667,1,1,0.000368087962962963,0.108253125,1.4446663123056322
16,0.5733333333333334,1,1,0.0007189218026620374,0.139503125,1.6719660003564694
22,0.09555555555555556,1,1,0.0007932370156705464,0.170753125,1.8619368338722202
22.5,1.1466666666666667,1,1,0.002117011694972244,0.202003125,2.0346547218612523
23,1.1466666666666667,1,1,0.0044300227747369044,0.233253125,2.1936339060448997
24,0.5733333333333334,1,1,0.00604376258111229,0.264503125,2.3339996980707145
30,0.09555555555555556,1,1,0.006345896125364368,0.295753125,2.456398266752413
30.5,1.1466666666666667,1,1,0.010789791428219305,0.327003125,2.5897476713866796
31,1.1466666666666667,1,1,0.016936093559777952,0.358253125,2.722877899386564
32,0.5733333333333334,1,1,0.020733917802640597,0.389503125,2.838370716472305
33,0.5733333333333334,1,1,0.02506086849226252,0.420753125,2.95099606344645
34,0.5733333333333334,1.3,1.1,0.02995145387517146,0.5514286253125001,3.319659620501646
35,0.5733333333333334,1.3,1,0.035440182197895236,0.6406817503125002,3.5545332035085746
36,0.5733333333333334,1.6,1,0.0415615617069616,0.8454817503125002,4.009233432148802
37,0.5733333333333334,1.75,1,0.04835010064889834,1.138572570625,4.570488889650713
38,0.5733333333333334,1.75,1,0.0558403072702332,1.4316633909375003,5.086597765126417
39,0.5733333333333334,1.75,1,0.06406668981749401,1.72475421125,5.583685594445665
40,0.5733333333333334,1,1,0.07306375653720851,1.75600421125,5.713720987667664
41,0.5733333333333334,1,1,0.08286601567590454,1.78725421125,5.850766148674451
41.5,1.1466666666666667,1,1,0.10502414419635209,1.81850421125,6.0974976082729135
42,1.1466666666666667,1,1,0.13081714135105887,1.84975421125,6.366087240294355
42.5,1.1466666666666667,1,1,0.1605210731122473,1.88100421125,6.655061469565064
43,1.1466666666666667,1,1,0.19441200545213935,1.91225421125,6.9629704584681065
43.5,1.1466666666666667,1,1,0.23276600434295736,1.94350421125,7.288511665858582
44,1.1466666666666667,1,1,0.27585913575692367,1.97475421125,7.630616370580185
44.5,1.1466666666666667,1,1,0.3239674656662602,2.00600421125,7.988503813912555
45,1.1466666666666667,1,1,0.3773670600431894,2.03725421125,8.36170974113601
45.5,1.1466666666666667,1,1,0.4363339848599334,2.06850421125,8.750095975992586
46,1.1466666666666667,1,1,0.5011443060887143,2.09975421125,9.153846398921782
46.5,1.1466666666666667,1,1,0.5720740897017546,2.13100421125,9.409972519421467
47,1.1466666666666667,1,1,0.5921340010007619,2.0967313563636365,9.313680470752644
47.5,1.1466666666666667,1,1,0.6114372638801301,2.064474551764706,9.224200417804376
48,1.1466666666666667,1,1,0.6300175341776239,2.034060993142857,9.140916287250164
48.5,1.1466666666666667,1,1,0.6479076731546886,2.0053370766666667,9.063278649074563
