_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
14,0,1,1.1,0,0,0
14.5,1.1466666666666667,1,1,4.601099537037038e-05,0.077003125,1.4171964241434482e-05
15,1.1466666666666667,1,1,0.000368087962962963,0.108253125,0.00015938761045175844
16,0.5733333333333334,1,1,0.0007189218026620374,0.139503125,0.00040117267947471286
22,0.09555555555555556,1,1,0.0007932370156705464,0.170753125,0.0005417966432881323
22.5,1.1466666666666667,1,1,0.002117011694972244,0.202003125,0.0017106658476844952
23,1.1466666666666667,1,1,0.0044300227747369044,0.233253125,0.004134012010134644
24,0.5733333333333334,1,1,0.00604376258111229,0.264503125,0.00639604538998811
30,0.09555555555555556,1,1,0.006345896125364368,0.295753125,0.007509002383566086
30.5,1.1466666666666667,1,1,0.010789791428219305,0.327003125,0.014120862730076547
31,1.1466666666666667,1,1,0.016936093559777952,0.358253125,0.024296738016387914
32,0.5733333333333334,1,1,0.020733917802640597,0.389503125,0.03234943886385916
33,0.5733333333333334,1,1,0.02506086849226252,0.420753125,0.04225250409582948
34,0.5733333333333334,1.2,1.1,0.02995145387517146,0.515626805,0.0618792214218836
35,0.5733333333333334,1.2,1,0.035440182197895236,0.5804268050000001,0.08243496477418998
36,0.5733333333333334,1.5,1,0.0415615617069616,0.7386299300000001,0.12298869215769927
37,0.5733333333333334,1.75,1,0.04835010064889834,1.0317207503125,0.19975419718669113
38,0.5733333333333334,1.75,1,0.0558403072702332,1.324811570625,0.29617428091102305
39,0.5733333333333334,1.75,1,0.06406668981749401,1.6179023909375,0.4149395434464047
40,0.5733333333333334,1,1,0.07306375653720851,1.6491523909375,0.4824458585641887
41,0.5733333333333334,1,1,0.08286601567590454,1.6804023909375,0.5576698376694131
41.5,1.1466666666666667,1,1,0.10502414419635209,1.7116523909375,0.7204116120830976
42,1.1466666666666667,1,1,0.13081714135105887,1.7429023909375,0.9145713477115169
42.5,1.1466666666666667,1,1,0.1605210731122473,1.7741523909375,1.1438085550910566
43,1.1466666666666667,1,1,0.19441200545213935,1.8054023909375,1.4120841516908103
43.5,1.1466666666666667,1,1,0.23276600434295736,1.8366523909375,1.7237191313022908
44,1.1466666666666667,1,1,0.27585913575692367,1.8679023909375,2.083467495375997
44.5,1.1466666666666667,1,1,0.3239674656662602,1.8991523909375,2.496605107670813
45,1.1466666666666667,1,1,0.3773670600431894,1.9304023909375,2.969035887420345
45.5,1.1466666666666667,1,1,0.4363339848599334,1.9616523909375,3.5074163732333057
46,1.1466666666666667,1,1,0.5011443060887143,1.9929023909375,4.0953080052281585
46.5,1.1466666666666667,1,1,0.5720740897017546,2.0241523909375,4.257683986783951
47,1.1466666666666667,1,1,0.5921340010007619,1.99311747,4.144122092833387
47.5,1.1466666666666667,1,1,0.6114372638801301,1.9639081326470589,4.039540234369127
48,1.1466666666666667,1,1,0.6300175341776239,1.9363679002857144,3.942990318636589
48.5,1.1466666666666667,1,1,0.6479076731546886,1.9103576808333333,3.853646899551712
49,1.1466666666666667,1,1,0.6651395220784743,1.8857534191891894,3.7707885533589662
