_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
6,0,1,1,0,0,0
8,0.30000000000000004,1,1,8.239746093750004e-07,0.0625,1.0000100421401292
10,0.30000000000000004,1,1,6.591796875000003e-06,0.09375,1.3201061693565679
12,0.30000000000000004,1,1,2.224731445312501e-05,0.125,1.5677899942865325
14,0.30000000000000004,1,1,5.2734375000000027e-05,0.15625,1.7726496111609822
16,0.30000000000000004,1,1,0.00010299682617187504,0.1875,1.948840347094733
18,0.30000000000000004,1,1,0.00017797851562500008,0.21875,2.104341230549463
20,0.30000000000000004,1,1,0.0002826232910156252,0.25,2.244138730236701
22,0.30000000000000004,1,1,0.0004218750000000002,0.28125,2.371581328531306
23,0.6000000000000001,1,1,0.000823974609375,0.3125,2.4901529413513153
23.5,1.2000000000000002,1,1,0.002260986328124999,0.34375,2.605306658414788
24,1.2000000000000002,1,1,0.004805419921874998,0.375,2.7185834493587695
24.5,1.2000000000000002,1,1,0.008773681640625,0.40625,2.8325340910025627
25,1.2000000000000002,1,1,0.014482177734374994,0.4375,2.949550763529783
25.75,0.8,1,1,0.019410888671875008,0.46875,3.058572016914667
26.5,0.8,1,1,0.025347412109375016,0.5,3.1688251541085073
27,1.2000000000000002,1,1,0.03634692382812507,0.53125,3.2999735672686485
27.75,0.8,1,1,0.045213134765625065,0.5625,3.418842938253813
28.25,1.2000000000000002,1,1,0.061046630859375096,0.59375,3.568289108300453
29,0.8,1,1,0.07342846679687506,0.625,3.7004160353280087
29.75,0.8,1,1,0.08738061523437508,0.65625,3.83886335311559
30.5,0.8,1,1,0.10299682617187511,0.6875,3.984332294433588
31,1.2000000000000002,1,1,0.12974633789062506,0.71875,4.179770509578447
31.5,1.2000000000000002,1,1,0.16076733398437507,0.75,4.3932861057147825
32,1.2000000000000002,1,1,0.19637622070312516,0.78125,4.622972799110919
32.5,1.2000000000000002,1,1,0.23688940429687527,0.8125,4.780922410539475
33,1.2000000000000002,1,1,0.2826232910156253,0.84375,4.944386024769017
33.75,0.8,1,1,0.31616918945312533,0.875,5.088912585179415
34.5,0.8,1,1,0.3522697753906254,0.90625,5.235905154341092
35,1.2000000000000002,1,1,0.4114157714843754,0.9375,5.414187574381396
35.75,0.8,1,1,0.4543132324218755,0.96875,5.56875000402608
36.5,0.8,1,1,0.5000935058593753,1.0,5.72666009271537
37,1.2000000000000002,1,1,0.5237247405181293,1.0,5.760034586809573
38,0.6000000000000001,1,1,0.5120000000000003,1.0,5.743432207811914
38.75,0.8,1,1,0.5120000000000003,1.0,5.743432207811914
39.75,0.6000000000000001,1.3,1.1,0.5014072359396436,1.0883782225,5.9950449326653334
40.25,1.2000000000000002,1,1,0.5224486604939492,1.0859896218918919,6.015871411814334
40.75,1.2000000000000002,1,1,0.5429180638577056,1.0837267371052632,6.036695368529225
41.75,0.6000000000000001,1,1,0.5319458520878642,1.0815798976923077,6.015352804255736
42.75,0.6000000000000001,1,1,0.5216601250000001,1.07954040025,5.995304010964851
43.75,0.6000000000000001,1,1,0.5119999999999999,1.0776003904878049,5.976435813572684
44.25,1.2000000000000002,1,1,0.5305042651981421,1.075752762142857,5.995836560776576
44.75,1.2000000000000002,1,1,0.5485580892248472,1.07399107,6.015168810026573
45.75,0.6000000000000001,1,1,0.538630634861006,1.0723094547727272,5.996542776597839
46.75,0.6000000000000001,1,1,0.5292569986282573,1.070702578,5.978933605558255
47.75,0.6000000000000001,1,1,0.5203932768965228,1.0691655654347827,5.962261204039297
48.25,1.2000000000000002,1,1,0.5369038459686192,1.0676939576595745,5.980324940980443
48.75,1.2000000000000002,1,1,0.5530507089120368,1.066283666875,5.998292307278181
49.75,0.6000000000000001,1,1,0.543991024148101,1.0649309389795918,5.981765774585001
50.75,0.6000000000000001,1,1,0.5353873279999994,1.0636323202,5.96606001096274
51.75,0.6000000000000001,1,1,0.5272069415232445,1.0623846276470588,5.951116230443732
52.25,1.2000000000000002,1,1,0.5421101502048241,1.0611849232692308,5.967965288645539
52.75,1.2000000000000002,1,1,0.5567136360888513,1.060030490754717,5.98470821920221
53.75,0.6000000000000001,1,1,0.548384951480973,1.058918815,5.969853491500536
54.75,0.6000000000000001,1,1,0.5404381187077382,1.057847563818182,5.955675447591415
55.75,0.6000000000000001,1,1,0.5328481687317778,1.0568145716071429,5.942129654340746
56.25,1.2000000000000002,1,1,0.5464282991257762,1.0558178247368422,5.957888320187312
56.75,1.2000000000000002,1,1,0.5597572266185571,1.054855448448276,5.973539919226761
57.75,0.6000000000000001,1,1,0.5520520793265129,1.0539256950847458,5.960048271975297
58.75,0.6000000000000001,1,1,0.5446712962962958,1.0530269335,5.947124258675377
59.75,0.6000000000000001,1,1,0.5375953758244078,1.0521576395081966,5.934733472393286
60.25,1.2000000000000002,1,1,0.5500676043100264,1.0513163872580644,5.949516757891981
60.75,1.2000000000000002,1,1,0.5623262826588601,1.0505018414285714,5.964196302498943
61.75,0.6000000000000001,1,1,0.5551589050292969,1.04971275015625,5.951837537490201
62.75,0.6000000000000001,1,1,0.5482704342284934,1.0489479386153846,5.93996184453021
63.75,0.6000000000000001,1,1,0.5416453515875002,1.048206303181818,5.928542034355294
64.25,1.2000000000000002,1,1,0.5531764213018224,1.047486806119403,5.942452443179819
64.75,1.2000000000000002,1,1,0.5645237380419295,1.0467884707352941,5.956264392418161
65.75,0.6000000000000001,1,1,0.5578246927785844,1.0461103769565216,5.944862244490194
66.5,0.8,1,1,0.5571515335276965,1.0454516572857142,5.941964437763063
67.5,0.6000000000000001,1,1,0.5507999698249004,1.0448114930985914,5.931179455241224
68,1.2000000000000002,1,1,0.561515625,1.04418911125,5.944338729906599
68.5,1.2000000000000002,1,1,0.5720701563170759,1.0435837809589041,5.957402106682364
69,1.2000000000000002,1,1,0.5824655795313209,1.042994810945946,5.970365008395655
69.5,1.2000000000000002,1,1,0.5927039999999999,1.0424215468,5.983223396665211
70,1.2000000000000002,1,1,0.6027875965884242,1.0418633685526315,5.99597372832606
70.5,1.2000000000000002,1,1,0.6127186074172082,1.0413196884415585,6.008612915057293
71,1.2000000000000002,1,1,0.6224993172507967,1.0407899488461538,6.0211382860016975
71.5,1.2000000000000002,1,1,0.6321320463492744,1.040273620379747,6.03354755317608
72,1.2000000000000002,1,1,0.6416191406250001,1.039770200125,6.0458387794813575
72.5,1.2000000000000002,1,1,0.6509629629629635,1.03927921,6.058010349131926
73,1.2000000000000002,1,1,0.6601658855791416,1.0388001952439023,6.070060940334056
73.5,1.2000000000000002,1,1,0.6692302833047976,1.0383327230120483,6.0819895000531385
74,1.2000000000000002,1,1,0.6781585276967932,1.0378763810714287,6.093795220719565
74.5,1.2000000000000002,1,1,0.6869529818847961,1.0374307765882353,6.105477518732416
75,1.2000000000000002,1,1,0.6956159960758176,1.036995535,6.117036014629338
75.5,1.2000000000000002,1,1,0.704149903645087,1.0365702989655172,6.128470514799801
