_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
16,0,1,1,0,0,0
40,0.041666666666666664,1,1,2.207579436125578e-09,0.0625,1.0000000269048739
72,0.03125,1,1,1.1831246040485519e-08,0.09375,1.3200458675308941
79,0.14285714285714285,1,1,3.065817173131533e-07,0.125,1.567623669261784
84.5,0.18181818181818182,1,1,1.9180633571820183e-06,0.15625,1.772312996350716
86,0.6666666666666666,1,1,3.678676863603735e-05,0.1875,1.9484429097018383
87.5,0.6666666666666666,1,1,0.00015826506522419103,0.21875,2.104231164154741
90,0.4,1,1,0.00029529409144999095,0.25,2.2442058546348544
91.5,0.6666666666666666,1,1,0.0006681949563552438,0.28125,2.3728383211989312
92.5,1.0,1,1,0.001671379124570835,0.3125,2.494364641822882
96,0.2857142857142857,1,1,0.0020777148031152124,0.34375,2.6044110687422535
98,0.5,1,1,0.002938236193989327,0.375,2.7095591348912036
99.5,0.6666666666666666,1,1,0.0044159206480597095,0.40625,2.811622162528157
100.5,1.0,1,1,0.007450483836555736,0.4375,2.9160086652098354
102,0.6666666666666666,1,1,0.010098003280804128,0.46875,3.014129210768556
103,1.0,1,1,0.015141632105608831,0.5,3.120131012222365
104,1.0,1,1,0.021634840937198724,0.53125,3.230110505753304
107.5,0.2857142857142857,1,1,0.023781916938432762,0.5625,3.3164657600831706
108.5,1.0,1,1,0.03240792442670569,0.59375,3.432411368243371
109.5,1.0,1,1,0.04290203870747811,0.625,3.5559759003986215
110.5,1.0,1,1,0.055447365249500044,0.65625,3.688399808828011
112,0.6666666666666666,1,1,0.06504090109857917,0.6875,3.8056758609537944
114,0.5,1,1,0.07292036584435536,0.71875,3.914026393501464
115,1.0,1,1,0.09053813910215742,0.75,4.0696057247942115
116,1.0,1,1,0.11078695860558398,0.78125,4.237456080869374
117,1.0,1,1,0.13384992982338506,0.8125,4.418277130778494
119.5,0.4,1,1,0.1439040964155304,0.84375,4.537429400231434
121,0.6666666666666666,1,1,0.16175856088236507,0.875,4.693747340024824
123,0.5,1,1,0.1760776084033068,0.90625,4.8335576175724775
123.95834350585938,1.0434671846638857,1,1,0.2086318661531079,0.9375,5.05904652491218
125.5,0.6486529287170656,1,1,0.23076260055401562,0.96875,5.235609497713253
128,0.4,1,1,0.2451603768244226,1.0,5.376673146903151
129.5,0.6666666666666666,1,1,0.24661606147215448,1.0,5.383391355196906
132,0.4,1,1,0.23881926150225077,1.0,5.347309683595606
133,1.0,1,1,0.25156305952940905,1.0,5.400853796003043
134,1.0,1,1,0.2640077791627931,1.0,5.415883076929422
135,1.0,1,1,0.2761513544305776,1.0,5.430696910535252
137,0.5,1,1,0.2711201692697509,1.0,5.424541842642973
139,0.5,1,1,0.2664038337022155,1.0,5.418794501864722
140,1.0,1,1,0.27762953610700486,1.0,5.432509982371303
140.75,1.3333333333333333,1,1,0.29937925312453356,1.0,5.459429514868891
