_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
4,0,1,1,0,0,0
6,0.25,1,1,4.76837158203125e-07,0.0625,1.000005811435979
7,0.5,1,1,1.2874603271484375e-05,0.09375,1.3201637448123478
8.5,0.3333333333333333,1,1,3.880041616934316e-05,0.125,1.5679154621719555
10,0.3333333333333333,1,1,8.676670215747972e-05,0.15625,1.7728749960022125
11,0.5,1,1,0.00021487695199471927,0.1875,1.9495116545836604
13,0.25,1,1,0.0003104033293547453,0.21875,2.1050803707549512
15,0.25,1,1,0.0004307252389413338,0.25,2.24492311152172
15.5,1.0,1,1,0.0012171886585376885,0.28125,2.375636006770887
17,0.3333333333333333,1,1,0.0016093254089355469,0.3125,2.4940566262676835
18.5,0.3333333333333333,1,1,0.0020777561046459066,0.34375,2.6044112706279376
20,0.3333333333333333,1,1,0.002629262429696543,0.375,2.7080609031444878
22,0.25,1,1,0.0031014901620370376,0.40625,2.805262075916983
23,0.5,1,1,0.004209023934823494,0.4375,2.900322082267956
24.5,0.3333333333333333,1,1,0.005077362060546872,0.46875,2.98969694282677
26,0.3333333333333333,1,1,0.006057597972728584,0.5,3.0756697236856265
27,0.5,1,1,0.0077525951244212955,0.53125,3.1617636855174114
29,0.25,1.3,1.1,0.008707382060863352,0.6619255003125001,3.4602912091753613
31,0.25,1,1,0.009737509268301503,0.6931755003125001,3.5300642914801763
31.5,1.0,1,1,0.01466864126699942,0.7244255003125001,3.620301977563912
33,0.3333333333333333,1,1,0.016622048837167232,0.7556755003125001,3.6925981356811075
34,0.5,1,1,0.01986581307870369,0.7869255003125001,3.77129868711282
35,0.5,1,1,0.023506305835865157,0.8181755003125001,3.8515973253665843
36,0.5,1,1,0.027566415292245364,0.8494255003125001,3.9338671119284996
37.5,0.3333333333333333,1,1,0.030517578125,0.8806755003125001,4.008954730242541
38,1.0,1,1,0.040618896484375,0.9119255003125001,4.127754208947879
39.25,0.4,1,1,0.04521313476562498,0.9431755003125001,4.212863685757494
40,0.6666666666666666,1,1,0.05361817310474539,0.9744255003125001,4.321652828893942
41.5,0.3333333333333333,1,1,0.05818554687500003,1.0056755003125,4.4067897944868
42,1.0,1,1,0.07342846679687504,1.0369255003125,4.558639503134428
43.5,0.3333333333333333,1,1,0.07904564525462968,1.0681755003125,4.6510874995115605
44,1.0,1,1,0.09760073965567136,1.0994255003125,4.823415770918303
45.5,0.3333333333333333,1,1,0.09517211498723596,1.0964126063636364,4.80295417608334
46,1.0,1,1,0.10552141333273031,1.0935769414705883,4.8597731367369565
47.25,0.4,1,1,0.10413889126444241,1.0909033145714286,4.84639971702512
48,0.6666666666666666,1,1,0.10779983361276235,1.0883782225,4.863181914017083
48.5,1.0,1,1,0.11771390382347284,1.0859896218918919,4.916251851801835
49,1.0,1,1,0.12765008936622876,1.0837267371052632,4.968382924872123
50.5,0.3333333333333333,1,1,0.12436006950493031,1.0815798976923077,4.945450144237124
51,1.0,1,1,0.13395575462962958,1.07954040025,4.995215137474652
51.75,0.6666666666666666,1,1,0.13694697364185615,1.0776003904878049,5.007828098194318
52.5,0.6666666666666666,1,1,0.1398368426735772,1.075752762142857,5.019945170111255
53,1.0,1,1,0.14907306274919177,1.07399107,5.066573502950468
54.5,0.3333333333333333,1,1,0.14533044981495385,1.0723094547727272,5.042798921813348
55.25,0.6666666666666666,1,1,0.1479426282578874,1.070702578,5.053584908023874
56,0.6666666666666666,1,1,0.15047034632232287,1.0691655654347827,5.063973842735382
56.5,1.0,1,1,0.15908262102773896,1.0676939576595745,5.106780065048005
57,1.0,1,1,0.16763860221622068,1.066283666875,5.148726397330003
58.5,0.3333333333333333,1,1,0.16361237239585538,1.0649309389795918,5.124747680211788
59,1.0,1,1,0.17187961599999985,1.0636323202,5.165043194545204
59.75,0.6666666666666666,1,1,0.17389989493454958,1.0623846276470588,5.17277694451284
60.5,0.6666666666666666,1,1,0.17585734123973748,1.0611849232692308,5.180246676298431
61,1.0,1,1,0.18378663171860218,1.060030490754717,5.218252275776074
62.5,0.3333333333333333,1,1,0.17959471136024488,1.058918815,5.19444584233951
63,1.0,1,1,0.1872682492139018,1.057847563818182,5.231073519942427
64.062,0.47080979284369223,1.6,1,0.18549735059298839,1.1559860001785716,5.435530517944937
66,0.25799793601651155,1.6,1,0.18020212964396803,1.250680982631579,5.605558002344163
66.5,1.0,1,1,0.1874790127362798,1.246358896724138,5.637279664981508
68,0.3333333333333333,1,1,0.18352629455063071,1.24218332220339,5.606584155168445
68.5,1.0,1.3,1.1,0.19058600053174626,1.2911738670000001,5.747778090803922
69,1.0,1,1,0.19758428338747988,1.2864005249180328,5.777102302722987
70,0.5,1,1,0.19623415671394767,1.2817811616129033,5.759931264453437
70.5,1.0,1,1,0.2030474490139768,1.2773084447619047,5.788259193185528
71,1.0,1,1,0.20979648480318894,1.2729755003125,5.815982576689669
71.5,1.0,1,1,0.21647900514253826,1.2687758772307693,5.8431181532092875
72,1.0,1,1,0.22309310984732023,1.2647035154545456,5.869682764131506
73,0.5,1,1,0.22134365426183716,1.2607527167164179,5.851830347152509
73.5,1.0,1,1,0.2277831794400961,1.2569181179411766,5.877571386237392
74,1.0,1,1,0.2341544149933086,1.2531946669565217,5.90279130327732
75,0.5,1,1,0.23226502493029438,1.2495776002857144,5.884994462213996
75.5,1.0,1,1,0.23847108599059325,1.2460624228169015,5.909472867548789
76,1.0,1,1,0.2446098010203422,1.2426448891666668,5.933474684864577
77,0.5,1,1,0.2425996959137038,1.2393209865753425,5.915774960142381
78,0.5,1,1,0.24065451703471474,1.2360869191891892,5.898605292593148
78.5,1.0,1,1,0.24655176499409306,1.2329390936,5.92173036198511
79.25,0.6666666666666666,1,1,0.2471671452264983,1.2298741055263158,5.917999228009027
80,0.6666666666666666,1,1,0.24776752515312817,1.2268887275324676,5.914354677250293
80.5,1.0,1.3,1.1,0.25345342143385363,1.2647698465384616,6.028072279653674
81,1.0,1,1,0.2590784448739275,1.261418329493671,6.049232015581865
82,0.5,1,1,0.25698865598934656,1.258150600375,6.031284709976655
82.5,1.0,1,1,0.2624800315933913,1.254963555925926,6.0519141764758135
83,1.0,1.6,1,0.2679123233845176,1.3195810735365854,6.22449760401258
83.75,0.6666666666666666,1,1,0.2682430222902567,1.3157306991566267,6.217605930044236
84.5,0.6666666666666666,1,1,0.2685661097950416,1.311972000357143,6.210866146121063
85,1.0,1,1,0.27381272916428334,1.3083017415294118,6.2294140050369045
86,0.5,1,1,0.2716216410102775,1.3047168375581395,6.210214284937255
86.5,1.0,1,1,0.27674986829528186,1.3012143451724139,6.228342098487074
87,1.0,1,1,0.28182351644093384,1.2977914548863636,6.246157977184968
87.5,1.0,1,1,0.28684271949035683,1.294445483483146,6.263670942736651
88,1.0,1,1,0.29180766486026316,1.2911738670000001,6.280889705974227
89,0.5,1,1,0.2894458634738982,1.2879741541758243,6.261846890192686
89.5,1.0,1.3,1.1,0.29430282811624564,1.3194267830434783,6.357857026759849
90,1.0,1,1,0.29910764163530673,1.315992086451613,6.373945748588877
91,0.5,1,1,0.2967051044344391,1.3126304685106382,6.354314937603226
91.5,1.0,1,1,0.30140809612340136,1.3093396214736843,6.3700898400384744
92,1.0,1,1,0.3060610093998678,1.30611733375,6.385612106956042
93,0.5,1,1,0.3036247335344546,1.3029614849484537,6.366351054056468
94,0.5,1,1,0.3012507467736388,1.29987004122449,6.34753816242136
94.5,1.0,1,1,0.30576200258757474,1.2968410509090909,6.362725159395048
95,1.0,1,1,0.310226510686441,1.2938726403999998,6.377680871983468
95.5,1.0,1,1,0.3146445833504322,1.2909630102970295,6.392411426511124
96,1.0,1,1,0.319016554625483,1.2881104317647059,6.406922736534135
97,0.5,1,1,0.3165305746390658,1.285313243106796,6.388371007404027
97.5,1.0,1,1,0.32081683255366716,1.2825698465384614,6.401968258317492
98,1.0,1,1,0.325058873711303,1.279878705142857,6.3973363523705356
98.5,1.0,1.3,1.1,0.32925705840460523,1.3072535853773586,6.491750118372726
99,1.0,1,1,0.33341176065816813,1.3043820565420563,6.486387089653988
99.75,0.6666666666666666,1,1,0.3330546219683618,1.3015637041666668,6.476747321533791
100.5,0.6666666666666666,1,1,0.332704284430866,1.2987970646788993,6.467285651786758
101,1.0,1,1,0.3367416120031826,1.2960807277272728,6.462374211332987
102,0.5,1,1,0.3341877997797899,1.2934133337837839,6.451041262441219
102.5,1.0,1,1,0.3381511315058205,1.290793571875,6.446404437839064
103,1.0,1,1,0.34207470374819426,1.2882201774336284,6.441914792722958
104,0.5,1,1,0.33951491761062963,1.285691930263158,6.43102085772119
104.5,1.0,1,1,0.34336836971876794,1.2832076526086957,6.426781104149008
105,1.0,1,1,0.3471836831806302,1.2807662073275863,6.422675489573679
106,0.5,1,1,0.34462090010648244,1.2783664961538463,6.41218773619339
106.5,1.0,1,1,0.3483697067358915,1.2760074580508476,6.408309975719666
107,1.0,1.6,1,0.35208191699388597,1.320356975210084,6.5575113224435935
107.75,0.6666666666666666,1,1,0.35159029335808384,1.3176873337500001,6.548250985546252
109,0.4,1,1,0.34782699145565893,1.3150618185950413,6.535866893044394
110,0.5,1,1,0.34536070147935005,1.3124793446721312,6.524917713080125
110.5,1.0,1,1,0.3489556648562458,1.309938862195122,6.520164048597929
111,1.0,1,1,0.35251690746292563,1.3074393552419354,6.515540530120084
111.5,1.0,1,1,0.3560447406087743,1.3049798404000001,6.5110432380444365
112,1.0,1,1,0.359539478915366,1.3025593654761904,6.506668387882669
112.5,1.0,1,1,0.3630014397671085,1.3001770082677166,6.5024123249836485
113,1.0,1,1,0.36643094280267113,1.297831875390625,6.498271519487533
114,0.5,1,1,0.37246456268354244,1.297831875390625,6.504504265707201
114.5,1.0,1,1,0.3816386139193858,1.297831875390625,6.514049966074772
115,1.0,1,1,0.3878375838936139,1.297831875390625,6.5205467108934165
115.75,0.6666666666666666,1,1,0.3920073006262564,1.297831875390625,6.524937723317953
116.5,0.6666666666666666,1,1,0.3962067970498731,1.297831875390625,6.52937706597603
117,1.0,1,1,0.40256211040171563,1.297831875390625,6.536127546374873
118,0.5,1,1,0.4057650948575725,1.297831875390625,6.539544301083019
118.5,1.0,1,1,0.4154758957866884,1.297831875390625,6.549962591203691
119,1.0,1,1,0.4154758957866884,1.297831875390625,6.549962591203691
120,0.5,1,1,0.4176546832660225,1.297831875390625,6.552312306601074
120.5,1.0,1,1,0.42644600432275437,1.297831875390625,6.561838311059059
121,1.0,1,1,0.4353598349853969,1.297831875390625,6.571570087348761
122,0.5,1,1,0.43873427901069995,1.297831875390625,6.575273192271746
122.5,1.0,1,1,0.4455353872431026,1.297831875390625,6.5827681917833765
123,1.0,1,1,0.45471236548208627,1.297831875390625,6.592947621434533
123.5,1.0,1,1,0.46401450242230396,1.297831875390625,6.603342603739588
124,1.0,1,1,0.47107375047600175,1.297831875390625,6.611282180041201
127,0.16666666666666666,1,1,0.4698922718311518,1.2729755003125,6.530919829889104
127.5,1.0,1,1,0.48059695494677795,1.2729755003125,6.543238760339889
129,0.3333333333333333,1,1,0.4710737504760016,1.2729755003125,6.532274623981166
131,0.25,1.6,1,0.46989227183115156,1.3163630003125,6.669038939054236
132,0.5,1.6,1,0.46989227183115156,1.3597505003124999,6.807913404547259
132.5,1.0,1,1,0.4770108585783065,1.3597505003124999,6.815624576283593
133,1.0,1,1,0.48420097958315633,1.3597505003124999,6.823458732539528
134,0.5,1.6,1,0.4866136448987072,1.4031380003124998,6.9651300964412535
134.75,0.6666666666666666,1,1,0.48179630225489073,1.4031380003124998,6.960016248096725
135,2.0,1,1,0.5052123338803244,1.4031380003124998,6.985064824260723
136,0.5,1,1,0.5027385269992329,1.4031380003124998,6.982395933188732
136.5,1.0,1.6,1,0.5126824188958073,1.4465255003125,7.132034607541833
137,1.0,1,1,0.5126824188958073,1.4465255003125,7.132034607541833
137.5,1.0,1,1,0.5227565769493993,1.4465255003125,7.142721331346996
138,1.0,1,1,0.5227565769493995,1.4465255003125,7.142721331346998
139,0.5,1,1,0.5252955698909061,1.4465255003125,7.145428427647758
139.5,1.0,1,1,0.5252955698909061,1.4465255003125,7.145428427647758
140,1.0,1.6,1,0.5345040006288582,1.4899130003124998,7.2941297187281275
140.5,1.0,1,1,0.5396659869805625,1.4899130003124998,7.299542242133999
141,1.0,1.75,1,0.5396659869805625,1.5553732053906248,7.509806913263308
142,0.5,1,1,0.5319353973946129,1.5553732053906248,7.502030919087975
142.75,0.6666666666666666,1,1,0.5370808594090158,1.5553732053906248,7.507200924712755
143,2.0,1,1,0.5527161203008145,1.5553732053906248,7.5230488255296795
144,0.5,1.6,1,0.550089450090173,1.598760705390625,7.660050236862887
144.5,1.0,1.6,1,0.5553511387757047,1.6421482053906247,7.805236638911971
145,1.0,1,1,0.5553511387757047,1.6421482053906247,7.805236638911971
145.5,1.0,1,1,0.5659749602272867,1.6421482053906247,7.815595053225353
146,1.0,1,1,0.5713373049209624,1.6421482053906247,7.820859156520925
146.5,1.0,1,1,0.5767334135449783,1.6421482053906247,7.82618043032069
147,1.0,1,1,0.5767334135449783,1.6421482053906247,7.82618043032069
147.5,1.0,1,1,0.5767334135449783,1.642148205390625,7.82618043032069
148,1.0,1,1,0.5876273464392844,1.642148205390625,7.836996208820008
149,0.5,1,1,0.5794441624445559,1.642148205390625,7.828862640490058
150,0.5,1,1,0.5767334135449783,1.642148205390625,7.82618043032069
150.5,1.0,1,1,0.582163392063148,1.642148205390625,7.83155930447996
151,1.0,1,1,0.582163392063148,1.642148205390625,7.83155930447996
151.5,1.0,1,1,0.5931253826371997,1.642148205390625,7.842491573067985
152,1.0,1.6,1,0.5931253826371999,1.685535705390625,7.981883898037282
153,0.5,1,1,0.5936084755584938,1.6421482053906251,7.842975603604794
153.5,1.0,1,1,0.6059767349980497,1.5987607053906252,7.7167627492457544
154,1.0,1,1,0.6059767349980497,1.5987607053906252,7.7167627492457544
155,0.5,1.6,1,0.6087782873687924,1.642148205390625,7.85827053072914
155.5,1.0,1,1,0.6087782873687924,1.6172918303125,7.778815341768924
156,1.0,1,1,0.6087782873687924,1.6172918303125,7.778815341768924
157,0.5,1,1,0.6087782873687924,1.6172918303125,7.778815341768924
157.5,1.0,1,1,0.6087782873687924,1.6172918303125001,7.778815341768926
158,1.0,1,1,0.6087782873687924,1.6172918303125001,7.778815341768926
158.75,0.6666666666666666,1,1,0.6031837908625604,1.6172918303125001,7.773072382544717
159,2.0,1,1,0.6200708441138271,1.6172918303125001,7.790483325910989
160,0.5,1.6,1,0.6200708441138271,1.6606793303124998,7.9289798219502075
160.5,1.0,1,1,0.6200708441138273,1.6606793303124998,7.9289798219502075
161,1.0,1,1,0.6200708441138273,1.6606793303124998,7.9289798219502075
161.5,1.0,1,1,0.6286312971711164,1.6606793303125,7.9376777908180856
162,1.0,1.3,1.1,0.6286312971711164,1.685535705390625,8.017083339682095
162.5,1.0,1,1,0.6286312971711162,1.685535705390625,8.017083339682095
163,1.0,1.6,1,0.6372701780200009,1.7289232053906252,8.164486294698555
163.5,1.0,1,1,0.6459878442883495,1.7289232053906252,8.17313217544919
164,1.0,1,1,0.6459878442883495,1.7289232053906252,8.17313217544919
165,0.5,1,1,0.643073179520943,1.728923205390625,8.170234957922307
166,0.5,1,1,0.6401672951799856,1.728923205390625,8.167353015788262
166.5,1.0,1,1,0.6401672951799858,1.7040668303125,8.087895253113045
167,1.0,1,1,0.6401672951799858,1.7040668303125,8.087895253113045
168,0.5,1,1,0.6401672951799858,1.7040668303125,8.087895253113045
169,0.5,1,1,0.6315021922610431,1.7040668303125,8.079223108588641
170,0.5,1,1,0.6229156363429853,1.6606793303125,7.931863918818161
170.75,0.6666666666666666,1,1,0.6229156363429851,1.6606793303125,7.931863918818161
171,2.0,1,1,0.6459878442883495,1.6606793303125,7.955488693087924
171.5,1.0,1,1,0.6459878442883495,1.6606793303125,7.955488693087924
172,1.0,1.3,1.1,0.6547846536040309,1.685535705390625,8.043644937351313
172.5,1.0,1,1,0.6547846536040309,1.685535705390625,8.043644937351313
173,1.0,1,1,0.6547846536040309,1.6855357053906248,8.043644937351312
173.5,1.0,1.6,1,0.6547846536040309,1.728923205390625,8.181916023470132
174,1.0,1.6,1,0.6547846536040313,1.7723107053906249,8.320533371914046
174.75,0.6666666666666666,1.6,1,0.6577345725320008,1.8156982053906248,8.462277591387721
175,2.0,1.6,1,0.6756203294219798,1.8342293303124997,8.538766104211533
176,0.5,1,1,0.6666374622208106,1.8342293303124995,8.530147208242687
