_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
8,0,1,1.1,0,0,0
10,0.21,1,1,2.8262329101562495e-07,0.077003125,1.1606670281334868
16,0.06999999999999999,1,1,6.699218749999998e-07,0.108253125,1.4416132443094725
18,0.21,1,1,3.5903625488281247e-06,0.139503125,1.6669099614859801
20,0.21,1,1,1.0467529296874997e-05,0.170753125,1.857010732266589
20.5,0.84,1,1,0.000111458251953125,0.202003125,2.0230963645090583
24,0.12,1,1,0.00013959643554687498,0.233253125,2.170491200726963
26,0.21,1,1,0.00019956063842773434,0.264503125,2.3039155541790937
32,0.06999999999999999,1,1,0.000222820556640625,0.295753125,2.425822060615375
34,0.21,1,1,0.00030329513549804684,0.327003125,2.5387149243797245
38,0.105,1,1,0.0003499368705749511,0.358253125,2.643646247160298
39,0.42,1,1,0.0005841460227966305,0.389503125,2.7428601186838835
40,0.42,1,1,0.0009047571525573728,0.420753125,2.836777994174935
41,0.42,1,1,0.0013253361778259275,0.452003125,2.9262176495757934
41.5,0.84,1,1,0.0025206615867614753,0.483253125,3.0151599520431986
42,0.84,1,1,0.004278649593353273,0.5145031250000001,3.103187653513679
43,0.42,1.6,1,0.005402556865692137,0.7193031250000002,3.5571752015245934
44,0.42,1,1,0.006707827541351319,0.7505531250000002,3.624819485697847
44.5,0.84,1,1,0.009916722774505619,0.7818031250000002,3.7025570346819805
45,0.84,1,1,0.014013862636566166,0.8130531250000002,3.784908481520051
46,0.42,1,1,0.016429439098358162,0.8443031250000002,3.8563162379921083
47,0.42,1,1,0.019107774471282982,0.8755531250000002,3.9286581990569616
48,0.42,1.6,1,0.022062434673309348,1.0803531250000002,4.286942400719955
49,0.42,1,1,0.02530698562240603,1.1116031250000002,4.359472804785337
49.5,0.84,1,1,0.03272002343368533,1.1428531250000002,4.463467040704021
50,0.84,1,1,0.0414554152488709,1.1741031250000002,4.57772180685218
51,0.42,1,1,0.046352908702850394,1.2053531250000002,4.663741431688617
52,0.42,1,1,0.051621688411712705,1.2366031250000002,4.752869307282185
52.5,0.84,1,1,0.06332737026596076,1.2678531250000002,4.890485300542678
53,0.84,1,1,0.07668098815536506,1.2991031250000002,5.0399095931561595
54,0.42,1,1,0.08400968790817268,1.3303531250000002,5.145450103145887
55,0.42,1,1,0.09179106942367561,1.3616031250000002,5.254581740532743
56,0.42,1,1,0.09121707644975936,1.3506454545454547,5.231825639615556
57,0.42,1,1,0.09067903831353051,1.3403323529411768,5.210402893574257
57.5,0.84,1,1,0.09760831069096212,1.3306085714285716,5.242679965841165
58,0.84,1,1,0.10446862534025643,1.3214250000000003,5.273966608629854
59,0.42,1,1,0.10355456950970333,1.312737837837838,5.252333448212232
60,0.42,1,1,0.10269355472508755,1.3045078947368423,5.231875140172484
61,0.42,1.6,1,0.10188111883839923,1.4391000000000003,5.459578382002638
62,0.42,1,1,0.10111328434179698,1.4281225000000002,5.435316880356357
62.5,0.84,1,1,0.10717187500000014,1.4176804878048783,5.461265458406657
63,0.84,1.3,1.1,0.11316251965061837,1.4834884764285716,5.617923393114069
63.5,0.84,1,1,0.11907860061221047,1.4722445583720933,5.641180117166599
64,0.84,1,1,0.12491479209564023,1.4615117275000002,5.663603066014378
65,0.42,1,1,0.12358867844581639,1.4512559113333336,5.63615483153889
66,0.42,1,1,0.1223290358436244,1.4414460002173914,5.609974047632615
66.5,0.84,1,1,0.1278134004206681,1.4320535321276597,5.631135433932279
67,0.84,1,1,0.13322078261424905,1.4230524168750003,5.651594580464387
69,0.21,1,1,0.12847560181663278,1.4144186940816328,5.603862965918693
69.5,0.84,1,1,0.13366797789700033,1.4061303202000002,5.623702346167008
71,0.27999999999999997,1,1,0.13014248084164493,1.3981669805882355,5.585589663770433
73.5,0.16799999999999998,1,1,0.1251875937656253,1.390509923269231,5.5383723700058205
77.5,0.105,1,1,0.11967188830398277,1.383141811509434,5.487705687486811
81.5,0.105,1,1,0.11451591444118683,1.3760465927777779,5.439764927277647
85.5,0.105,1,1,0.10968962187559453,1.3692093820000002,5.394360393138896
89.5,0.105,1,1,0.10516598330867943,1.3626163573214287,5.35131826836224
93.5,0.105,1,1,0.10092064145443967,1.3562546668421054,5.310479057151941
97.5,0.105,1,1,0.09693160271898725,1.350112345,5.271696204593837
105,0.056,1,1,0.0926678210045771,1.3441782374576272,5.231188790203893
106,0.42,1,1,0.09233519317666225,1.3384419335000002,5.2189984646668925
