_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
5,0,1,1.2,0,0,0,0.0
6,0,1,1.2,0,0,0,0.0
7,0.5133333333333333,1.6,1,0.016041666666666666,0.0875,0.011267080093011587,0.022534160186023177
11,0.12833333333333333,1.6,1,0.02005208333333333,0.1375,0.019676695947809304,0.046415664061231335
15,0.12833333333333333,1,1,0.0240625,0.16875,0.026441436546647587,0.06886225510496218
21,0.08555555555555555,1,1,0.02673611111111111,0.2,0.032993271157812205,0.09037848374528068
22,0.07333333333333333,1,1,0.018333333333333333,0.1859375,0.025298139430630476,0.09915139129363813
23,0.25666666666666665,1,1,0.03475694444444444,0.23124999999999998,0.043596672709591805,0.1194549719141272
27,0.12833333333333333,1,1,0.03876736111111111,0.26249999999999996,0.05224535639520167,0.14101243485380305
31,0.12833333333333333,1,1,0.042777777777777776,0.29374999999999996,0.061396539259208606,0.16374911492394792
37,0.08555555555555555,1,1,0.04506944444444445,0.37187499999999996,0.07952513295967066,0.19224017699977303
38,0.5133333333333333,1,1,0.06111111111111111,0.40312499999999996,0.10079372965474753,0.22661702707716572
39,0.06416666666666666,1.6,1,0.0447829861111111,0.34374999999999994,0.07335906595645465,0.24304297851267054
43,0.12833333333333333,1.6,1,0.04879340277777777,0.39374999999999993,0.08764160295519716,0.26324345274256433
47,0.12833333333333333,1,1,0.05280381944444444,0.42499999999999993,0.09841199004930037,0.28505868524611344
53,0.08555555555555555,1,1,0.055477430555555554,0.45624999999999993,0.10825503555360631,0.30783815575083373
54,0.5133333333333333,1,1,0.07151909722222223,0.48749999999999993,0.1317678993221703,0.33623634634978605
55,0.5133333333333333,1,1,0.08756076388888889,0.5187499999999999,0.1556729163702104,0.369447521453757
59,0.12833333333333333,1,1,0.09157118055555556,0.5499999999999999,0.168725019509367,0.4032845001696752
63,0.12833333333333333,1.6,1,0.09558159722222223,0.6,0.1878366134285027,0.43947125918974217
69,0.08555555555555555,1,1,0.0978732638888889,0.6593749999999999,0.2085435967331692,0.4781279411520886
70,0.5133333333333333,1,1,0.11391493055555556,0.6906249999999999,0.23624441654777242,0.5208251483400225
71,0.06416666666666666,1.6,1,0.09758680555555557,0.65,0.2053284259737583,0.5517445138836102
75,0.12833333333333333,1,1,0.10159722222222223,0.68125,0.21954524740019213,0.583641470988508
79,0.12833333333333333,1,1,0.1056076388888889,0.7125,0.23407310207747936,0.6164733566475628
85,0.08555555555555555,1,1,0.10828125000000001,0.74375,0.24731937913097649,0.6498365458067281
86,0.5133333333333333,1,1,0.12432291666666667,0.775,0.27675442209105433,0.6872695082785648
87,0.5133333333333333,1,1,0.14036458333333335,0.80625,0.3066071681051942,0.7284257047197292
91,0.12833333333333333,1,1,0.14437500000000003,0.8375,0.3229162432372896,0.7701178341922812
95,0.12833333333333333,1,1,0.1483854166666667,0.8687500000000001,0.33949609711695183,0.8123464591425957
101,0.08555555555555555,1,1,0.15067708333333332,0.9843750000000001,0.38655674953452346,0.8609591700479033
102,0.5133333333333333,1.75,1,0.16671874999999997,1.0390625000000002,0.4296882779778114,0.9146207481047461
103,0.06416666666666666,1,1,0.150390625,0.9000000000000001,0.3538613318259788,0.9512433918275075
107,0.12833333333333333,1,1,0.15440104166666666,0.9312500000000001,0.370919878536464,0.9887220941625451
111,0.12833333333333333,1,1,0.1584114583333333,0.9625000000000001,0.388237778076795,1.0270279391424944
117,0.08555555555555555,1,1,0.16108506944444442,0.9937500000000001,0.40405160340372054,1.0658413191780454
118,0.5133333333333333,1,1,0.17712673611111107,1.0250000000000001,0.43777954521036155,1.1080260746397783
119,0.5133333333333333,1.6,1,0.19316840277777775,1.0750000000000002,0.48003971438850923,1.1546632381053383
123,0.12833333333333333,1.6,1,0.19717881944444443,1.1250000000000002,0.5071692564367443,1.2030825278621364
127,0.12833333333333333,1,1,0.20118923611111109,1.1562500000000004,0.5264183484314956,1.2519682169303075
127.5,1.0266666666666666,1,1,0.2258333333333333,1.260606060606061,0.6086013875027991,1.3104960244446113
128,0.5133333333333333,1,1,0.2106481481481481,1.151515151515152,0.5372743724766909,1.3560472199306957
133,0.09333333333333332,1.75,1,0.22193627450980388,1.2750000000000004,0.6096858084400109,1.4095836764588208
134,0.5133333333333333,1,1,0.2302619047619047,1.2671428571428573,0.6180039433334477,1.461820948812045
135,0.07333333333333333,1,1,0.20660947712418296,1.1470588235294121,0.5297780719646283,1.4999731151003943
139,0.12833333333333333,1,1,0.20437301587301582,1.1428571428571432,0.5248547451335651,1.5358243184851985
143,0.12833333333333333,1,1,0.20226080246913575,1.1388888888888893,0.5202118502582548,1.5695572287631627
149,0.08555555555555555,1,1,0.2285826210826211,1.2551282051282053,0.6099511034056985,1.6131020077563096
150,0.07333333333333333,1,1,0.19877627627627623,1.1351351351351353,0.5137933416484385,1.643095029024357
151,0.5133333333333333,1,1,0.2070540935672514,1.1315789473684212,0.5234533817322686,1.673047534251742
155,0.12833333333333333,1,1,0.2050356125356125,1.1282051282051284,0.5192287947052404,1.7013284211925204
159,0.12833333333333333,1,1,0.20311805555555548,1.1250000000000004,0.5152196807246543,1.7280589916378166
163,0.12833333333333333,1,1,0.2222416020671835,1.248837209302326,0.5979829101140669,1.7631502835066202
164,0.5133333333333333,1.75,1,0.22885732323232322,1.2602272727272732,0.6127409955767262,1.7985816851724303
165,0.08555555555555555,1,1,0.20025067750677503,1.1219512195121955,0.5100005620350755,1.8215166249367585
166,0.5133333333333333,1,1,0.20770502645502642,1.1190476190476193,0.5187127823614681,1.844565911887331
167,0.5133333333333333,1,1,0.21481266149870798,1.1162790697674423,0.5268642677602292,1.867664503021963
168,0.5133333333333333,1.75,1,0.233786231884058,1.2652173913043483,0.6221068937097728,1.8998192764570778
168.5,0.3422222222222222,1,1,0.21770833333333336,1.113636363636364,0.5294502057781106,1.9214613435454102
170.5,0.20533333333333334,1,1,0.23318085106382988,1.2595744680851066,0.6185682877888757,1.9512938165985412
171,0.20533333333333334,1,1,0.2174333333333333,1.1111111111111112,0.527935474292525,1.9712334728142238
172,0.3422222222222222,1,1,0.23545254629629633,1.254166666666667,0.6191965092596879,1.999361627374609
172.5,0.3422222222222222,1,1,0.22014613526570048,1.1086956521739133,0.5303528958191787,2.01813552812922
175,0.20533333333333334,1,1,0.2198309692671395,1.1063829787234045,0.5288807927381073,2.0361847348213984
176,0.5133333333333333,1.75,1,0.2397233333333334,1.2590000000000003,0.6275007155487207,2.062781958797874
177,0.25666666666666665,1,1,0.2205983796296296,1.104166666666667,0.5288526659221638,2.0796052017787092
178,0.5133333333333333,1,1,0.22657256235827666,1.102040816326531,0.5355391112871611,2.0965250445539962
178.5,0.20533333333333334,1,1,0.23904901960784322,1.2539215686274514,0.6241167423726884,2.1207629182257923
179.5,0.5133333333333333,1,1,0.24432371794871807,1.2490384615384618,0.6290893401689543,2.1447306446430088
181,0.3422222222222222,1,1,0.24617085953878418,1.2443396226415098,0.6293522719192829,2.1680361158840475
182,0.12833333333333333,1,1,0.22460777777777782,1.1000000000000003,0.5320775987970231,2.1824647000657107
183,0.5133333333333333,1,1,0.23026906318082793,1.0980392156862748,0.5383705828979862,2.197016905584075
184,0.1711111111111111,1,1,0.24478086419753098,1.2398148148148151,0.6252434299623403,2.218310654545581
184.5,0.3422222222222222,1,1,0.23242200854700856,1.0961538461538465,0.5402063081484592,2.2321339950097054
186.5,0.25666666666666665,1,1,0.23287945492662473,1.0943396226415096,0.539927132049784,2.245566378973559
187,0.1711111111111111,1,1,0.2434414141414142,1.2354545454545458,0.6212918346611312,2.265068808302417
188,0.3422222222222222,1,1,0.23490432098765435,1.0925925925925928,0.5416466347514811,2.2778585615518514
188.5,0.3422222222222222,1.75,1,0.2452053571428572,1.2446428571428574,0.6281715872694589,2.296976137988581
191,0.20533333333333334,1,1,0.24450584795321645,1.2403508771929828,0.6251258311932393,2.3153784019021364
192,0.5133333333333333,1,1,0.2491408045977013,1.236206896551724,0.6294468188900205,2.333644683295111
193,0.5133333333333333,1.75,1.7999999999999998,0.2536186440677968,1.2686440677966102,0.6515380737834261,2.3530963346457954
