_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
8,0,1.0,1.2,0,0,0,0.0
8.5,0,1.0,1.2,0,0,0,0.0
9,0.7333333333333333,1.0,1,0.022916666666666665,0.06875,0.00042789738160229815,0.0010084114959760828
9.5,0.7333333333333333,1.0,1,0.022916666666666665,0.06875,0.00042789738160229815,0.001512617243964124
10,0.7333333333333333,1.0,1,0.04583333333333333,0.1,0.0014075628029340597,0.0032003875985200598
10.5,0.7333333333333333,1.0,1,0.04583333333333333,0.1,0.0014075628029340597,0.004325567834890684
11,0.7333333333333333,1.0,1,0.06874999999999999,0.13125,0.0032344202433239534,0.006974394018520637
11.5,0.7333333333333333,1.0,1,0.06874999999999999,0.13125,0.0032344202433239534,0.008961013656243102
12,0.7333333333333333,1.0,1,0.09166666666666666,0.1625,0.006145325654730833,0.012792840180987978
12.5,0.7333333333333333,1.0,1,0.09166666666666666,0.1625,0.006145325654730833,0.01585830140078388
13,0.7333333333333333,1.0,1,0.11458333333333333,0.19375,0.01037095696841776,0.0210823345249593
13.5,0.7333333333333333,1.0,1,0.11458333333333333,0.19375,0.01037095696841776,0.025435695461772156
14,0.7333333333333333,1.0,1,0.13749999999999998,0.225,0.016137497133188808,0.03225541925176237
14.5,0.7333333333333333,1.0,1,0.13749999999999998,0.225,0.016137497133188808,0.038100896786039694
15,0.7333333333333333,1.0,1,0.16041666666666665,0.25625,0.02366770251511902,0.046716214119096475
15.5,0.7333333333333333,1.0,1,0.16041666666666665,0.25625,0.02366770251511902,0.054254616785521174
16,0.7333333333333333,1.0,1,0.18333333333333332,0.2875,0.03318160941208213,0.06486281453598583
16.5,0.7333333333333333,1.0,1,0.18333333333333332,0.2875,0.03318160941208213,0.07429232364750998
17,0.7333333333333333,1.0,1,0.20625,0.31875,0.044897027521362924,0.0870886215911166
17.5,0.7333333333333333,1.0,1,0.20625,0.31875,0.044897027521362924,0.0986052897403626
18,0.7333333333333333,1.0,1,0.22916666666666666,0.35,0.059029900253093306,0.11378319950460107
18.5,0.7333333333333333,1.0,1,0.22916666666666666,0.35,0.059029900253093306,0.12758129929027237
19,0.7333333333333333,1.0,1,0.2520833333333333,0.38125,0.07579457723230393,0.14533288023558177
19.5,0.7333333333333333,1.0,1,0.2520833333333333,0.38125,0.07579457723230393,0.16160516276878203
20,0.7333333333333333,1.0,1,0.27499999999999997,0.4125,0.09540402628855599,0.1821212148924344
20.5,0.7333333333333333,1.0,1,0.27499999999999997,0.4125,0.09540402628855599,0.2010591091604212
21,0.7333333333333333,1.0,1,0.2979166666666666,0.44375,0.11807000222000007,0.22452932421727229
21.5,0.7333333333333333,1.0,1,0.2979166666666666,0.44375,0.11807000222000007,0.24632309534149116
22,0.7333333333333333,1.0,1,0.32083333333333325,0.475,0.14400318374926607,0.27293617857479524
22.5,0.7333333333333333,1.0,1,0.32083333333333325,0.475,0.14400318374926607,0.2977750562592124
23,0.7333333333333333,1.0,1,0.3437499999999999,0.50625,0.17341328648239787,0.3277188265550621
23.5,0.7333333333333333,1.0,1,0.3437499999999999,0.50625,0.17341328648239787,0.3557911112074213
24,0.7333333333333333,1.0,1,0.36666666666666653,0.5375,0.20650915737645345,0.38925258488754566
24.5,0.7333333333333333,1.0,1,0.36666666666666653,0.5375,0.20650915737645345,0.4207457365864863
25,0.7333333333333333,1.0,1,0.38958333333333317,0.56875,0.24349885469644222,0.4579111984755536
25.5,0.7333333333333333,1.0,1,0.38958333333333317,0.56875,0.24349885469644222,0.4930119124818951
26,0.7333333333333333,1.0,1,0.4124999999999998,0.6,0.2845897164037588,0.534066976873589
26.5,0.7333333333333333,1.0,1,0.4124999999999998,0.6,0.2845897164037588,0.5729612484025624
27,0.7333333333333333,1.0,1,0.43541666666666645,0.63125,0.3299884191928664,0.6180909118715625
27.5,0.7333333333333333,1.0,1,0.43541666666666645,0.63125,0.3299884191928664,0.6609640921671125
28,0.7333333333333333,1.0,1,0.4583333333333331,0.6625,0.3799010298749044,0.7103527797048793
28.5,0.7333333333333333,1.0,1,0.4583333333333331,0.6625,0.3799010298749044,0.7573896249789437
29,0.7333333333333333,1.0,1,0.48124999999999973,0.69375,0.4345330504295472,0.8112212305965703
29.5,0.7333333333333333,1.0,1,0.48124999999999973,0.69375,0.4345330504295472,0.8626059450497596
30,0.7333333333333333,1.0,1,0.5041666666666664,0.725,0.4940894577667778,0.9210638677466788
30.5,0.7333333333333333,1.0,1,0.5041666666666664,0.725,0.4940894577667778,0.9769801416306885
31,0.7333333333333333,1.0,1,0.5270833333333331,0.75625,0.5587747390296871,1.0402473174457778
31.5,0.7333333333333333,1.0,1,0.5270833333333331,0.75625,0.5587747390296871,1.1008783609352384
32,0.7333333333333333,1.0,1,0.5499999999999998,0.7875,0.6287929231086731,1.1691372916585667
32.5,0.7333333333333333,1.0,1,0.5499999999999998,0.7875,0.6287929231086731,1.2346658651529627
33,0.7333333333333333,1.0,1,0.5729166666666665,0.81875,0.7043476089131053,1.3080986441698783
33.5,0.7333333333333333,1.0,1,0.5729166666666665,0.81875,0.7043476089131053,1.378707085532297
34,0.7333333333333333,1.0,1,0.5958333333333332,0.85,0.7856419908492897,1.4574954211883757
34.5,0.7333333333333333,1.0,1,0.5958333333333332,0.85,0.7856419908492897,1.533365670338674
35,0.7333333333333333,1.0,1,0.6187499999999999,0.88125,0.8728788818766997,1.617690907148303
35.5,0.7333333333333333,1.0,1,0.6187499999999999,0.88125,0.8728788818766997,1.699004528357588
36,0.7333333333333333,1.0,1,0.6416666666666666,0.9125,0.9295726234267699,1.784497053257056
36.5,0.7333333333333333,1.0,1,0.6416666666666666,0.9125,0.9295726234267699,1.8670415600565424
37,0.7333333333333333,1.0,1,0.6645833333333333,0.94375,0.9756943396725603,1.9523147366909237
37.5,0.7333333333333333,1.0,1,0.6645833333333333,0.94375,0.9756943396725603,2.034745474104159
38,0.7333333333333333,1.0,1,0.6875,0.975,1.0224776508641178,2.119895826850144
38.5,0.7333333333333333,1.0,1,0.6875,0.975,1.0224776508641178,2.2022993940236786
39,0.7333333333333333,1.0,1,0.7104166666666667,1.00625,1.0699113486761689,2.2874100899144216
39.5,0.7333333333333333,1.0,1,0.7104166666666667,1.00625,1.0699113486761689,2.3698610765585792
39.75,0.9777777777777777,1.0,1,0.7185185185185186,1.006060606060606,1.0792923427818555,2.450795473280258
40,1.4666666666666666,1.0,1,0.7333333333333334,1.006060606060606,1.0967107794045072,2.5311431965697975
40.5,0.9777777777777777,1.0,1,0.7261437908496733,1.0058823529411764,1.0881326360010126,2.6081872941811017
41,0.7333333333333333,1.0,1,0.7333333333333334,1.0058823529411764,1.0965908692773407,2.6838447964106567
41.5,0.7333333333333333,1.0,1,0.7263492063492064,1.0057142857142858,1.0882613378037624,2.7564558523796707
42,0.7333333333333333,1.0,1,0.7333333333333335,1.0057142857142858,1.0964778186107553,2.827822171311076
42.5,0.7333333333333333,1.0,1,0.7265432098765433,1.0055555555555555,1.0883828911417486,2.8963720990443305
43,0.7333333333333333,1.0,1,0.7333333333333335,1.0055555555555555,1.096371055181238,2.9638022554483165
43.5,0.7333333333333333,1.0,1,0.7267267267267268,1.0054054054054056,1.0884978755099368,3.028622498248412
44,0.7333333333333333,1.0,1,0.7333333333333335,1.0054054054054056,1.0962700686903675,3.0924334021320923
44.5,0.7333333333333333,1.0,1,0.7269005847953217,1.0052631578947369,1.0886068094132495,3.153820292004353
45,0.7333333333333333,1.0,1,0.7333333333333335,1.0052631578947369,1.0961744026087195,3.214295722720659
45.5,0.7333333333333333,1.0,1,0.7270655270655272,1.005128205128205,1.0887101581848533,3.2725150096771043
46,0.7333333333333333,1.0,1,0.7333333333333335,1.005128205128205,1.0960836472757596,3.3299098350176486
46.5,0.7333333333333333,1.0,1,0.7272222222222224,1.0050000000000001,1.0888083406318114,3.38520053290688
47,0.7333333333333333,1.0,1,0.7333333333333336,1.0050000000000001,1.0959974340357206,3.439744299478451
47.5,0.7333333333333333,1.0,1,0.7273712737127374,1.0048780487804878,1.0889017347082883,3.4923219657118976
48,0.7333333333333333,1.0,1,0.7333333333333336,1.0048780487804878,1.0959154302324288,3.544221967248866
48.5,0.7333333333333333,1.0,1,0.7275132275132277,1.0047619047619047,1.0889906823783806,3.5942815113111095
49,0.7333333333333333,1.0,1,0.7333333333333336,1.0047619047619047,1.0958373349197936,3.643725421389347
49.5,0.7333333333333333,1.0,1,0.7276485788113697,1.0046511627906978,1.0890754938004745,3.691443519269111
50,0.7333333333333333,1.0,1,0.7333333333333336,1.0046511627906978,1.0957628751713564,3.7386016588992557
50.5,0.7333333333333333,1.0,1,0.727777777777778,1.0045454545454546,1.0891564509410712,3.7841388364768886
51,0.7333333333333333,1.0,1,0.7333333333333336,1.0045454545454546,1.0956918028935123,3.8291661343175734
51.5,0.7333333333333333,1.0,1,0.7279012345679015,1.0044444444444445,1.0892338107068151,3.8726685714791422
52,0.7333333333333333,1.0,1,0.7333333333333336,1.0044444444444445,1.095623892063989,3.9157062642059555
52.5,0.7333333333333333,1.0,1,0.7280193236714979,1.0043478260869565,1.0893078076680438,3.9573073624038364
53,0.7333333333333333,1.0,1,0.7333333333333336,1.0043478260869565,1.0955589363308214,3.998484474550087
53.5,0.7333333333333333,1.0,1,0.7281323877068561,1.0042553191489363,1.089378656434681,4.038306223221518
54,0.7333333333333333,1.0,1,0.7333333333333337,1.0042553191489363,1.0954967469180823,4.077740859152256
54.5,0.7333333333333333,1.0,1,0.7282407407407411,1.0041666666666667,1.0894465537351807,4.115895030475998
55,0.7333333333333333,1.0,1,0.7333333333333337,1.0041666666666667,1.0954371507936045,4.153695505743027
55.5,0.7333333333333333,1.0,1,0.7283446712018143,1.0040816326530613,1.0895116802409321,4.19028470237767
56,0.7333333333333333,1.0,1,0.7333333333333337,1.0040816326530613,1.0953799890612352,4.22655053727854
58,0.36666666666666664,1.0,3.0,0.7260000000000004,1.044,1.1137288635214755,4.263394098165594
60,0.36666666666666664,1.6,1,0.7189542483660134,1.0549019607843138,1.1128103301254861,4.29943584752381
62,0.36666666666666664,1.0,2.0,0.7121794871794875,1.0730769230769233,1.1171839220869917,4.335070050312238
64,0.36666666666666664,1.0,1,0.705660377358491,1.0716981132075472,1.108502754597765,4.3694038191817866
65,0.07719298245614035,1.0,1,0.7153216374269009,1.004,1.0741610337338754,4.400713670534376
66,0.36666666666666664,1.0,3.0,0.6993827160493831,1.1074074074074074,1.1254994538192216,4.434911434649447
67,0.36666666666666664,1.0,1.2,0.70848526545121,1.0078431372549022,1.0687107540864393,4.464634040332702
70,0.18333333333333332,1.0,1,0.6900000000000003,1.1054545454545455,1.1129595190478179,4.496747151269829
70.75,0.9777777777777777,1.3,2.4,0.6951388888888893,1.1414285714285715,1.143919186354518,4.530305669926433
72,0.5866666666666667,1.3,1.2,0.6932358674463941,1.1487719298245616,1.1467252184380408,4.563426425708198
73,0.7333333333333333,1.3,2.4,0.6939272030651344,1.1827586206896554,1.171271484303174,4.5975315905551275
74,0.7333333333333333,1.0,1,0.6945951035781547,1.1796610169491526,1.1699120483759753,4.6309292868411545
74.5,1.4666666666666666,1.0,1,0.7171047501795428,1.0070175438596491,1.0782731309727034,4.6578884016982345
75,1.4666666666666666,1.0,1,0.7300282314982863,1.006896551724138,1.0933829567099342,4.685319911539673
75.5,0.4888888888888889,1.0,1,0.6911666666666669,1.1766666666666667,1.1636593828098356,4.716662848928397
77,0.4888888888888889,1.0,1,0.687850637522769,1.1737704918032787,1.1576195994129201,4.747081337690861
78,0.7333333333333333,1.0,1,0.6885842293906813,1.170967741935484,1.156553389265951,4.7769052605118985
78.5,1.4666666666666666,1.0,1,0.7009347442680779,1.1682539682539683,1.1696073203184352,4.807010592357927
79,1.4666666666666666,1.0,1,0.712899305555556,1.1656250000000001,1.182249981920251,4.837365265689707
80,0.7333333333333333,1.0,1,0.7132136752136757,1.1630769230769231,1.1808401109003954,4.867120980252216
81,0.7333333333333333,1.0,1,0.713518518518519,1.1606060606060606,1.1794737211407353,4.896295419144761
82,0.7333333333333333,1.0,1,0.7138142620232177,1.1582089552238808,1.1781488393291482,4.92490555976903
82.5,1.4666666666666666,1.0,1,0.7248856209150332,1.1558823529411766,1.1899036321002496,4.9537296351341515
83,1.4666666666666666,1.0,1,0.7356360708534627,1.1536231884057973,1.2013191877248346,4.982742725479073
83.5,1.4666666666666666,1.0,1,0.7460793650793657,1.1514285714285715,1.2124111500360077,5.011921620643915
85,0.4888888888888889,1.0,1,0.7424569640062603,1.1492957746478873,1.2065157655001133,5.040293756461994
86,0.7333333333333333,1.0,1,0.7423302469135807,1.1472222222222224,1.2048963995829591,5.06812034677071
86.5,1.4666666666666666,1.0,1,0.7522526636225272,1.145205479452055,1.215475814070734,5.096098867871578
87,1.4666666666666666,1.0,1,0.7619069069069074,1.1432432432432433,1.225773527581077,5.124210048754463
