_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
4,0,1.0,1.2,0,0,0,0.0
5,0,1.0,1.2,0,0,0,0.0
5.5,0.3066666666666667,1.0,1,0.009583333333333334,0.06875,0.0003280929929270348,0.0006760902940916431
6,0.45999999999999996,1.0,1,0.014374999999999999,0.06875,0.0003319784584712142,0.0010201404281359938
7,0.3066666666666667,1.0,1,0.01916666666666667,0.1,0.001018202392017968,0.0020750177799998106
7.5,0.3066666666666667,1.0,1,0.02395833333333333,0.1,0.0010282996516634204,0.002788672891097053
8,0.45999999999999996,1.0,1,0.033541666666666664,0.13125,0.0023336496777468696,0.004451237093487639
9,0.3066666666666667,1.0,1,0.033541666666666664,0.13125,0.0023336496777468696,0.005698160245280577
9.5,0.3066666666666667,1.0,1,0.043125,0.1625,0.00443955078125,0.008114509432436903
10,0.45999999999999996,1.0,1,0.04791666666666666,0.1625,0.004473678337338703,0.010068686437335998
11,0.3066666666666667,1.0,1,0.05270833333333333,0.19375,0.007537525082124367,0.013389440402822982
11.5,0.3066666666666667,1.0,1,0.057499999999999996,0.19375,0.0075867283482137825,0.016182083256642533
12,0.45999999999999996,1.0,1,0.06708333333333333,0.225,0.01188611755996945,0.020589613679649357
13,0.3066666666666667,1.0,1,0.06708333333333333,0.225,0.01188611755996945,0.024367496899369484
13.5,0.3066666666666667,1.0,1,0.07666666666666666,0.25625,0.017563368029888355,0.029981446516796167
14,0.45999999999999996,1.0,1,0.08145833333333333,0.25625,0.01765612776486293,0.034929492474645316
15,0.3066666666666667,1.0,1,0.08625,0.2875,0.0248100018152177,0.04189690063623534
15.5,0.3066666666666667,1.0,1,0.09104166666666666,0.2875,0.024926696041662387,0.04813023031919767
16,0.45999999999999996,1.0,1,0.10062499999999999,0.31875,0.033960913574731584,0.0566468691297131
17,0.3066666666666667,1.0,1,0.10062499999999999,0.31875,0.033960913574731584,0.06431184405917698
17.5,0.3066666666666667,1.0,1,0.11020833333333332,0.35,0.04495030242135493,0.07448188813106454
18,0.45999999999999996,1.0,1,0.11499999999999999,0.35,0.04513007069848217,0.08377789762774415
19,0.3066666666666667,1.0,1,0.11979166666666666,0.38125,0.058086384638790005,0.09574799033249438
19.5,0.3066666666666667,1.0,1,0.12458333333333332,0.38125,0.058298946105293944,0.10677532760292908
20,0.45999999999999996,1.0,1,0.13416666666666666,0.4125,0.07380878081768764,0.12075574981940973
21,0.3066666666666667,1.0,1,0.13416666666666666,0.4125,0.07380878081768764,0.13366075494231497
21.5,0.3066666666666667,1.0,1,0.14375,0.44375,0.0918510968942044,0.14974085590741343
22,0.45999999999999996,1.0,1,0.14854166666666666,0.44375,0.09214624835673778,0.16473754345862557
23,0.3066666666666667,1.0,1,0.15333333333333332,0.475,0.11261741639304021,0.18306386499942381
23.5,0.3066666666666667,1.0,1,0.158125,0.475,0.11295421982068253,0.20023783573049164
24,0.45999999999999996,1.0,1,0.16770833333333332,0.50625,0.13668046062939843,0.22103527998469966
25,0.3066666666666667,1.0,1,0.16770833333333332,0.50625,0.13668046062939843,0.24053288397301972
25.5,0.3066666666666667,1.0,1,0.17729166666666665,0.5375,0.16351649284394054,0.26387609836054154
26,0.45999999999999996,1.0,1,0.18208333333333332,0.5375,0.16395540165839384,0.28592598643970774
27,0.3066666666666667,1.0,1,0.18687499999999999,0.56875,0.19365383852454168,0.31196147339167934
27.5,0.3066666666666667,1.0,1,0.19166666666666665,0.56875,0.1941432581427776,0.33663458862631745
28,0.45999999999999996,1.0,1,0.20124999999999998,0.6,0.22782669400226127,0.3656018868343083
29,0.3066666666666667,1.0,1,0.20124999999999998,0.6,0.22782669400226127,0.3930445903997733
29.5,0.3066666666666667,1.0,1,0.21083333333333332,0.63125,0.2651972313009096,0.4250036851049643
30,0.45999999999999996,1.0,1,0.21562499999999998,0.63125,0.2658082714497062,0.45545926132989223
31,0.3066666666666667,1.0,1,0.22041666666666665,0.6625,0.3064463921015383,0.49055663534554633
31.5,0.3066666666666667,1.0,1,0.22520833333333332,0.6625,0.30711680193631014,0.5240813837794682
32,0.45999999999999996,1.0,1,0.23479166666666665,0.69375,0.3524982218215788,0.5625712122334574
33,0.3066666666666667,1.0,1,0.23479166666666665,0.69375,0.3524982218215788,0.5993115030304472
33.5,0.3066666666666667,1.0,1,0.24437499999999998,0.725,0.37821088610090847,0.6379512406936777
34,0.45999999999999996,1.0,1,0.24916666666666665,0.725,0.38267152941040217,0.6755104614354478
35,0.3066666666666667,1.0,1,0.25395833333333334,0.75625,0.4020215702487121,0.7140165653895348
35.5,0.3066666666666667,1.0,1,0.25875,0.75625,0.40657899659076097,0.751505206879838
36,0.45999999999999996,1.0,1,0.2683333333333333,0.7875,0.4309632688760961,0.7905400991515152
37,0.3066666666666667,1.0,1,0.2683333333333333,0.7875,0.4309632688760961,0.8280135957323256
37.5,0.3066666666666667,1.0,1,0.27791666666666665,0.81875,0.4558152131465991,0.8670299889076186
38,0.45999999999999996,1.0,1,0.28270833333333334,0.81875,0.4605530960767903,0.9051090129660628
39,0.3066666666666667,1.0,1,0.2875,0.85,0.48112620160930747,0.9441507708034715
39.5,0.3066666666666667,1.0,1,0.2922916666666666,0.85,0.48595524249905137,0.9822993733650578
40,0.45999999999999996,1.0,1,0.301875,0.88125,0.5118066210337499,1.0219664489626135
41,0.3066666666666667,1.0,1,0.301875,0.88125,0.5118066210337499,1.0602168432888281
41.5,0.3066666666666667,1.0,1,0.3114583333333333,0.9125,0.5380995691604452,1.0999767501881446
42,0.45999999999999996,1.0,1,0.31625000000000003,0.9125,0.5430994258219438,1.1388985415716464
43,0.3066666666666667,1.0,1,0.32104166666666667,0.94375,0.5648268034203507,1.178777537455934
43.5,0.3066666666666667,1.0,1,0.3258333333333333,0.94375,0.5699130683943125,1.2178512883118957
