_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
8,0,1.0,1,0,0,0,0.0
8.5,1.4933333333333334,1.0,1,0.04666666666666667,0.0625,0.00030468819555654227,0.0009417912124652722
9,1.4933333333333334,1.0,1,0.09333333333333334,0.09375,0.0011626894488860446,0.0030237761993146908
9.5,1.4933333333333334,1.0,1,0.14,0.125,0.0029325506842380407,0.006800089231975911
10,1.4933333333333334,1.0,1,0.18666666666666668,0.15625,0.0059431323864975695,0.012788160268246324
10.5,1.4933333333333334,1.0,1,0.23333333333333334,0.1875,0.010523452181051841,0.02149946378741568
11,1.4933333333333334,1.0,1,0.28,0.21875,0.017002567365616957,0.03344380773981973
11.5,1.4933333333333334,1.0,1,0.3266666666666667,0.25,0.025709548863754452,0.049130385656808516
12,1.4933333333333334,1.0,1,0.3733333333333334,0.28125,0.036973473287462796,0.06906812190195148
12.5,1.4933333333333334,1.0,1,0.4200000000000001,0.3125,0.051123419963418966,0.0937658079331419
13,1.4933333333333334,1.0,1,0.4666666666666668,0.34375,0.06848846964661927,0.12373216351698359
13.5,1.4933333333333334,1.0,1,0.5133333333333334,0.375,0.08939770390166979,0.15947586701724517
14,1.4933333333333334,1.0,1,0.56,0.40625,0.11418020477986886,0.20150557155046858
14.5,1.4933333333333334,1.0,1,0.6066666666666667,0.4375,0.14316505463935675,0.2503299141383282
15,1.4933333333333334,1.0,1,0.6533333333333333,0.46875,0.1766813360394982,0.3064575211555182
15.5,1.4933333333333334,1.0,1,0.7,0.5,0.21505813167606566,0.3703970117096383
16,1.4933333333333334,1.0,1,0.7466666666666666,0.53125,0.2586245243399522,0.4426569998131645
16.5,1.4933333333333334,1.0,1,0.7933333333333332,0.5625,0.3077095968900206,0.5237460958221057
17,1.4933333333333334,1.0,1,0.8399999999999999,0.59375,0.3626424322347476,0.6141729074143744
17.5,1.4933333333333334,1.0,1,0.8866666666666665,0.625,0.42375211331951096,0.7144460402707165
18,0,1.0,1,0,0,0,0.6804248002578251
18.5,1.4933333333333334,1.0,1,0.04666666666666667,0.0625,0.00030468819555654227,0.6495820176290571
19,1.4933333333333334,1.0,1,0.09333333333333334,0.09375,0.0011626894488860446,0.6216518319135771
19.5,1.4933333333333334,1.0,1,0.14,0.125,0.0029325506842380407,0.5965050484309263
20,0.2986666666666667,1.0,1,0.8959999999999998,0.65625,0.4783047566661893,0.6909200467221046
20.5,1.4933333333333334,1.0,1,0.9426666666666664,0.6875,0.5514658323597852,0.7954678055269542
21,1.4933333333333334,1.0,1,0.9893333333333331,0.71875,0.6317304208506985,0.9106489039036973
21.5,1.4933333333333334,1.0,1,1.0359999999999998,0.75,0.719427604505832,1.03696506630196
22,0.2986666666666667,1.0,1,0.14933333333333335,0.15625,0.005276742927489579,1.002332506249401
22.5,1.4933333333333334,1.0,1,0.196,0.1875,0.009535853340518863,0.9708864442194571
23,1.4933333333333334,1.0,1,0.24266666666666667,0.21875,0.01563352902412111,0.9426851549358333
23.5,1.4933333333333334,1.0,1,0.28933333333333333,0.25,0.023898693885742887,0.9178431727691404
24,0.2986666666666667,1.0,1,1.0453333333333332,0.78125,0.7965200934129616,1.0392445074573158
24.5,1.4933333333333334,1.0,1,1.0919999999999999,0.8125,0.8985452292770515,1.1720551574553575
25,1.4933333333333334,1.0,1,1.1386666666666665,0.84375,1.008929632816842,1.3167736669587393
25.5,1.4933333333333334,1.0,1,1.1853333333333331,0.875,1.128002385430786,1.4738996969524716
26,0.2986666666666667,1.0,1,0.2986666666666667,0.28125,0.0324512499817222,1.4394865599371889
26.5,1.4933333333333334,1.0,1,0.3453333333333334,0.3125,0.045482171675106736,1.4090045658676709
27,1.4933333333333334,1.0,1,0.39200000000000007,0.34375,0.06160735428263438,1.382641799157609
27.5,1.4933333333333334,1.0,1,0.43866666666666676,0.375,0.08115578822789306,1.3606183812492894
28,0.2986666666666667,1.0,1,1.1946666666666663,0.90625,1.2315276750982198,1.5131229106689945
28.5,1.4933333333333334,1.0,1,1.241333333333333,0.9375,1.367204904499989,1.6783357156439929
29,1.4933333333333334,1.0,1,1.2879999999999996,0.96875,1.5124971611376394,1.856752500167456
29.5,1.4933333333333334,1.0,1,1.3346666666666662,1.0,1.6677335252105205,2.048870140001183
30,0.2986666666666667,1.0,1,0.4480000000000001,0.40625,0.0998101702799227,2.017051391838278
30.5,1.4933333333333334,1.0,1,0.4946666666666668,0.4375,0.12640080382826557,1.9901896174345406
31,1.4933333333333334,1.0,1,0.5413333333333334,0.46875,0.15734145533584623,1.9685405804015974
31.25,0.4266666666666667,1.0,1,1.3071515151515147,1.0,1.645796185304517,2.1394941520089086
31.5,1.4933333333333334,1.0,1,0.5880000000000001,0.5,0.19296113598338915,2.120175613042386
31.75,1.4933333333333334,1.0,1,1.3126274509803917,1.0,1.6501487281658223,2.281796489531961
32,1.4933333333333334,1.0,1,0.6346666666666667,0.53125,0.2335888753189005,2.265370017721951
32.5,1.4933333333333334,1.0,1,0.6813333333333333,0.5625,0.2795537157731837,2.2550398456678717
33,1.4933333333333334,1.0,1,0.728,0.59375,0.331184709020759,2.2511218084131257
33.5,1.4933333333333334,1.0,1,0.7746666666666666,0.625,0.38881091350349,2.253946016910634
34,0.3318518518518519,1.0,1,1.2846052910052908,1.0,1.6279467908008505,2.395946399525547
34.5,1.4933333333333334,1.0,1,1.2904032921810695,1.0,1.632525851700898,2.5333808355200014
35,1.4933333333333334,1.0,1,1.2958878878878874,1.0,1.6368645081296527,2.6664635645329398
35.5,1.4933333333333334,1.0,1,1.3010838206627675,1.0,1.640981141997197,2.795396010313866
36,0.2986666666666667,1.0,1,0.7839999999999999,0.65625,0.44031479225083187,2.794152451591507
36.5,1.4933333333333334,1.0,1,0.8306666666666666,0.6875,0.5096504340342629,2.800094227118312
37,1.4933333333333334,1.0,1,0.8773333333333332,0.71875,0.5859080161353745,2.813569458735206
37.5,1.4933333333333334,1.0,1,0.9239999999999998,0.75,0.6694165953462761,2.834936618956101
38,0.2986666666666667,1.0,1,1.2753808167141496,1.0,1.6206777062829152,2.9489698405637976
38.5,1.4933333333333334,1.0,1,1.280829629629629,1.0,1.624969088978979,3.0598540447435516
39,1.4933333333333334,1.0,1,1.286012646793134,1.0,1.6290575581335,3.167715272122591
39.25,0.4266666666666667,1.0,1,0.9373333333333331,0.78125,0.7447653074007191,3.189479269974541
39.5,1.4933333333333334,1.0,1,1.2909488536155198,1.0,1.6329571159865848,3.292545861333563
39.75,1.4933333333333334,1.0,1,0.9839999999999998,0.8125,0.8424204863859382,3.3207120022968626
40,1.4933333333333334,1.0,1,1.2956554694229108,1.0,1.636680511109454,3.419222827186453
40.25,1.4933333333333334,1.0,1,1.0306666666666664,0.84375,0.9482598680570908,3.4541216797170597
40.5,1.4933333333333334,1.0,1,1.3001481481481476,1.0,1.6402393749489912,3.548288414029983
40.75,1.4933333333333334,1.0,1,1.077333333333333,0.875,1.062612509987198,3.590243721289857
41,1.4933333333333334,1.0,1,1.3044411522633739,1.0,1.6436443410051331,3.6802542088899104
41.25,1.4933333333333334,1.0,1,1.1239999999999997,0.90625,1.185807473542552,3.729584041221669
41.5,1.4933333333333334,1.0,1,1.3085475040257644,1.0,1.6469051491485651,3.8156051557658666
41.75,1.4933333333333334,1.0,1,1.1706666666666665,0.9375,1.3181738232053262,3.872622858651254
42,1.4933333333333334,1.0,1,1.3124791174152872,1.0,1.6500307371837686,3.95480295162033
42.25,1.4933333333333334,1.0,1,1.2173333333333332,0.96875,1.460040626035877,4.019817928524605
42.5,1.4933333333333334,1.0,1,1.3162469135802464,1.0,1.653029321430665,4.098288932784855
42.75,1.4933333333333334,1.0,1,1.2639999999999998,1.0,1.6117369512423545,4.171607294032297
43,1.4933333333333334,1.0,1,1.319860922146636,1.0,1.6559084678235594,4.246486539144062
43.25,1.4933333333333334,1.0,1,1.2709494949494946,1.0,1.617192820511016,4.316620679110587
43.5,1.4933333333333334,1.0,1,1.32333037037037,1.0,1.658675154798124,4.388154524024459
43.75,1.4933333333333334,1.0,1,1.277490196078431,1.0,1.6223381894896354,4.455310954541131
44,1.4933333333333334,1.0,1,1.3266637618010164,1.0,1.661335829047223,4.523723509136764
45,0.7466666666666667,1.0,1,1.3155099715099714,1.0,1.652442581496303,4.589905794365525
45.25,0.4977777777777779,1.0,1,1.2552126984126981,1.0,1.6048547966269369,4.651185180094056
45.5,1.4933333333333334,1.0,1,1.3188651292802236,1.0,1.6551148688931958,4.71460262258728
46,0.9955555555555557,1.0,1,1.2479999999999998,1.0,1.5992198097822574,4.7727124455253325
48,0.37333333333333335,1.6,1,1.2243603603603601,1.0162162162162163,1.6431717794240837,4.832549951023936
48.5,1.4933333333333334,1.0,1,1.3082116402116406,1.0,1.6466383013841355,4.891307841442979
49,0.7466666666666667,1.6,1,1.2117894736842103,1.0315789473684212,1.6935081317162914,4.951937835234577
49.5,1.4933333333333334,1.0,1,1.3145951468710095,1.023103448275862,1.7436641911094921,5.01459798786043
50,0.7466666666666667,1.3,2.4,1.1998632478632476,1.0851282051282052,1.7720756580594779,5.077793453075997
50.5,1.4933333333333334,1.6,1,1.2071999999999998,1.098,1.7929573742975595,5.14101733765317
51,1.4933333333333334,1.6,1,1.2141788617886176,1.1102439024390243,1.8129055571530894,5.204208637826787
51.5,1.4933333333333334,1.0,1,1.2208253968253966,1.1076190476190475,1.8213371499858817,5.2666343865214875
52,1.4933333333333334,1.0,1,1.227162790697674,1.1051162790697673,1.8294073505660389,5.328295221773302
52.5,1.4933333333333334,1.0,1,1.2948245294474812,1.0219672131147541,1.7228092819001941,5.382053926408997
