_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
6,0,1,1.2,0,0,0,0.0
7,0.48,1,1,0.015,0.06875,0.008618203844189345,0.004309101922094672
7.5,0,1,1,0,0,0,0.0028727346147297815
8,0.48,1,1,0.03,0.1,0.018083141320025125,0.0066753362910536174
9,0.48,1,1,0.045,0.13125,0.029433319766890044,0.011226932986220902
10,0.48,1,1,0.06,0.1625,0.04243082605842125,0.01642758183158763
10.5,0.16,1,1,0.005,0.0625,0.00443353696274205,0.014714146850323975
11,0.48,1,1,0.075,0.19375,0.056897317050103514,0.019987043125296415
12,0.48,1,1,0.09,0.225,0.0726997248963158,0.02584400776652079
13,0.48,1,1,0.105,0.25625,0.08973489601320099,0.032233096591188816
14,0.48,1,1,0.12,0.2875,0.10792010934019663,0.0391137341138259
14.5,0.12,1,1,0.00875,0.09375,0.008807622763833612,0.036588224834659865
15,0.48,1,1,0.135,0.31875,0.12718720823062357,0.04355737740358015
15.5,0.48,1,1,0.02375,0.125,0.01960842253662951,0.04184673777022653
16,0.48,1,1,0.15000000000000002,0.35,0.14747881203752625,0.048888876054713176
17,0.48,1.75,1,0.16500000000000004,0.4046875,0.17752323929075106,0.05692852375696554
18,0.48,1,1,0.18000000000000005,0.4359375,0.20009865242705913,0.06535029603167693
18.5,0.16,1,1,0.02875,0.15625,0.026938225048246958,0.06321629208815305
19,0.48,1.75,1,0.19500000000000006,0.490625,0.23313920449352787,0.07215960326738328
20,0.48,1,1,0.21000000000000008,0.521875,0.2577891353049039,0.08144107986925933
21,0.48,1,1,0.2250000000000001,0.553125,0.28324681775021765,0.09105087691120972
21.5,0.16,1,1,0.03375,0.1875,0.03499952566642868,0.08850308821826512
22,0.48,1,1,0.2400000000000001,0.584375,0.3094876310129373,0.09811111181803352
22.5,0.48,1,1,0.048749999999999995,0.21875,0.04948354366605125,0.09608496314503424
23,0.48,1.75,1,0.2550000000000001,0.6390625,0.3474530171420214,0.10613968530491372
23.5,0.48,1,1,0.06375,0.25,0.06514183743474695,0.104562845002215
24,0.48,1,1,0.27000000000000013,0.6703125,0.37549845388122116,0.11459749718291892
25,0.48,1.3,2.25,0.28500000000000014,0.76171875,0.43417799278515423,0.12601108631157018
26,0.48,1,1,0.30000000000000016,0.79296875,0.46437036031918416,0.13767864748424652
26.5,0.16,1,1,0.06875,0.28125,0.07591563471215927,0.13561988039184364
27,0.48,1.6,1,0.31500000000000017,0.8429687499999999,0.5050680288289067,0.14753756259949086
28,0.48,1,1,0.3300000000000002,0.8742187499999999,0.5367888593674572,0.15970166562348978
29,0.48,1.6,1,0.3450000000000002,0.92421875,0.5794444130016176,0.17242114281676638
29.5,0.16,1,1,0.07375000000000001,0.3125,0.08719678489987462,0.16991454405450482
30,0.48,1,1,0.3600000000000002,0.95546875,0.6126233684749242,0.18256336760937394
30.5,0.48,1,1,0.08875000000000001,0.34375,0.10576438658050262,0.18043006258079422
31,0.48,1,1,0.3750000000000002,0.98671875,0.6464051240132509,0.19302398316004982
31.5,0.48,1,1,0.10375000000000001,0.375,0.12532603574028423,0.19124245822795072
32,0.48,1,1,0.39000000000000024,1.01796875,0.6807793670719317,0.20379468665984765
33,0.48,1.75,1,0.40500000000000025,1.07265625,0.7296709220045334,0.2169415925434648
34,0.48,1,1,0.42000000000000026,1.10390625,0.7654435209023633,0.23031968835709643
34.25,0.17454545454545453,1,1,0.10920454545454546,0.40625,0.13901564338610523,0.2281457825244538
34.5,0.96,1,1,0.4500000000000003,1.13515625,0.8191372719888461,0.24188977065153267
35,0.96,1,1,0.4800000000000003,1.16640625,0.8738613729984583,0.2562527616139627
35.5,0.96,1,1,0.5100000000000003,1.19765625,0.9296155396257489,0.2712163789031135
35.75,0.32,1,1,0.11920454545454547,0.4375,0.15655784451115645,0.26872380206850577
36,0.96,1.75,2.25,0.523636363636364,1.2806818181818183,1.001208539438227,0.28430858371467005
36.5,0.96,1,1,0.5364705882352944,1.2724264705882353,1.0114245258012216,0.29945683250813987
37,0.96,1,1,0.5485714285714288,1.2646428571428572,1.0209916976387374,0.3141820338373358
37.5,0.96,1.75,1,0.5600000000000003,1.2781250000000002,1.044238463546522,0.3287831624315196
38,0.96,1.6,1,0.5708108108108111,1.2868243243243247,1.0635787027949888,0.343190918124921
40,0.11294117647058823,1,1,0.12273395721925134,0.46875,0.16975490784260414,0.3398556102348765
46,0.08,1,1,0.12523395721925135,0.5,0.18240778927519455,0.33688489663186355
50,0.04,1.75,1,0.5568421052631581,1.299013157894737,1.0546547943142501,0.35017693177413006
52,0.24,1,1,0.548717948717949,1.2913461538461541,1.039347160885481,0.3627072995761547
54,0.24,1.3,3.0,0.5410000000000003,1.3565625000000001,1.0742076445807776,0.3754126628798087
70,0.03,1,1,0.5285365853658539,1.3478658536585366,1.0525502295033557,0.3872922693118008
70.5,0.019591836734693877,1,1,0.12584620211721054,0.53125,0.19367550407615647,0.383954049221531
71,0.48,1.75,1,0.5273809523809527,1.3574404761904764,1.057571040444616,0.39537128636090535
71.5,0.48,1,1,0.14084620211721052,0.5625,0.21762048771528883,0.39240877305014504
72,0.48,1,1,0.5262790697674422,1.3491279069767443,1.0505561079372934,0.40319807362206556
73,0.48,1.3,1.7999999999999998,0.525227272727273,1.3716477272727272,1.0644542772916623,0.4138634962618977
74,0.19199999999999998,1.6,1,0.14684620211721053,0.6125,0.24136452449639345,0.41112541734498487
75,0.48,1,1,0.16184620211721054,0.64375,0.26704076991497944,0.408874094728891
76,0.48,1,1,0.5223404255319152,1.3479255319148937,1.0447761111219607,0.4186572026733998
77,0.48,1,1,0.5214583333333337,1.3406770833333335,1.0387836024900325,0.4280530572160761
78,0.48,1,1,0.5206122448979595,1.3337244897959184,1.033044645585085,0.43708278241561344
78.5,0.13714285714285712,1,1,0.16613191640292482,0.675,0.2833356037365231,0.43482179449386216
79,0.48,1.75,1,0.5198000000000004,1.3420500000000002,1.0376206763801026,0.4435580101733729
79.5,0.48,1,1,0.18113191640292484,0.70625,0.3103052277400745,0.4416543989957543
80,0.48,1,1,0.5190196078431376,1.335343137254902,1.0321334698647566,0.44997100562771214
81,0.48,1.6,1,0.5182692307692311,1.3404326923076924,1.0346081329018397,0.45809096572874153
82,0.48,1,1,0.5175471698113211,1.3340094339622641,1.0293905152427254,0.4659169869549605
83,0.48,1.6,1,0.5168518518518522,1.3389351851851852,1.0318209539888787,0.47356433786082414
84,0.10666666666666667,1,1,0.1844652497362582,0.7375,0.32650984718645115,0.47160361131849904
85,0.48,1,1,0.19946524973625815,0.76875,0.35470450944057585,0.470065465241158
86,0.48,1,1,0.5149122807017548,1.331622807017544,1.0244869373835384,0.47726574410015005
