_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
6,0,1.0,1.44,0,0,0,0.0
7,0.5473,1.0,1.2,0.017103125,0.08249999999999999,0.0005734550141313168,0.0017725494486799005
8,0.5473,1.0,1.44,0.03420625,0.1275,0.00214596770167315,0.005603823743034406
9,0.5473,1.0,1.2,0.051309375000000004,0.16499999999999998,0.0047043076319397935,0.011473375252438755
10,0.5473,1.0,1.44,0.0684125,0.21000000000000002,0.009740038870691256,0.021221284261673676
11,0.5473,1.0,1.2,0.085515625,0.2475,0.01604038764273172,0.034211349619289316
12,0.5473,1.0,1,0.10261875,0.27875,0.023080394793656776,0.04970729976144601
12.5,0,1.0,1.44,0,0,0,0.04349388729126526
13,0.5473,1.0,1,0.11972187499999999,0.31,0.031935481350818265,0.060597360448986747
13.5,0.5473,1.0,1,0.017103125,0.07625,0.00045433762101061215,0.05481849592139683
14,0.5473,1.0,1,0.136825,0.34125,0.04281438628302589,0.07389668138323947
14.75,0.7297333333333332,1.6,1,0.15962916666666666,0.39124999999999993,0.06468422782491808,0.10106178263577315
15.5,0.27365,1.0,1,0.025654687500000002,0.1075,0.0012771832922474056,0.09389514913399626
16.5,0.5473,1.3,2.4,0.042757812500000006,0.20500000000000002,0.008800523725717845,0.09107441260102422
17,0.24324444444444443,1.6,1,0.16723055555555555,0.4412499999999999,0.0918751310466701,0.12286758910299023
17.5,0.5473,1.6,1,0.0598609375,0.255,0.017032123237454365,0.12176915139992478
18,0.5473,1.0,1.7999999999999998,0.18433368055555555,0.4974999999999999,0.13131487322418312,0.16235852756886446
18.5,0.5473,1.0,2.4,0.0769640625,0.33,0.03690143096264524,0.16601220082676493
19,0.5473,1.0,1,0.20143680555555554,0.5287499999999999,0.15819027660493504,0.20874483709755148
20,0.5473,1.0,1,0.21853993055555554,0.5599999999999999,0.18851500037071445,0.25657758185726176
20.5,0.27365,1.0,1,0.085515625,0.36125,0.04844658222714054,0.2586213527844485
21,0.5473,1.0,1,0.23564305555555554,0.5912499999999999,0.22249778246231375,0.30938771362070194
21.5,0.5473,1.0,1,0.10261875,0.3925,0.06249955126945345,0.31273486633057407
22,0.5473,1.0,1,0.25274618055555553,0.6224999999999999,0.26034736006138626,0.36676538772927886
22.75,0.43784,1.3,1.44,0.11630125,0.451,0.09473487132991108,0.3755208112025681
23.5,0.7297333333333332,1.6,1,0.13910541666666665,0.501,0.13050876995645477,0.39210867292057716
24.5,0.21892,1.0,1,0.25958743055555555,0.65375,0.3006264194679946,0.44641844522541296
25,0.3648666666666666,1.6,1,0.1505075,0.551,0.17341265698702038,0.46876196666356806
25.5,0.5473,1.3,2.4,0.27669055555555555,0.7512500000000001,0.42111809160355296,0.5423685209956233
26,1.0946,1.3,1,0.31089680555555554,0.791875,0.4743449365758892,0.622036250226174
27,0.27365,1.3,2.4,0.1590590625,0.6485000000000001,0.26630209679725747,0.6550763570705119
27.75,0.3127428571428571,1.0,1,0.3206700198412698,0.823125,0.5002392908415639,0.7312451989115131
28.5,0.3648666666666666,1.0,1,0.17046114583333333,0.6797500000000001,0.2893378260678707,0.7632888729066665
29,0.43784,1.0,1,0.3343525198412698,0.854375,0.5305097999478066,0.837298364388157
29.5,1.0946,1.0,1,0.3685587698412698,0.885625,0.5823535816209534,0.9162358351650877
30,0.3648666666666666,1.0,1,0.18186322916666664,0.7110000000000001,0.3129707150699127,0.9445288664261184
30.75,0.7297333333333332,1.0,1,0.20466739583333332,0.7422500000000001,0.34832700791460997,0.9771999122775239
31.5,0.7297333333333332,1.6,1,0.22747156249999997,0.7922500000000001,0.3931220511591196,1.0154388756456332
32.5,0.5473,1.6,1,0.24457468749999994,0.84225,0.4337364403729689,1.0581547679210195
33,0.1824333333333333,1.3,2.4,0.40846606150793646,1.014375,0.6988878249171695,1.1397140120639426
33.5,0.5473,1.6,1,0.26167781249999994,0.8922500000000001,0.47564987175979007,1.1836348290189445
34.5,0.5473,1.3,2.4,0.2787809375,0.98975,0.5429196448159426,1.2353656484292588
36,0.1824333333333333,1.0,1,0.41416710317460315,1.0456250000000002,0.7237858105403507,1.310693049181147
36.5,0.27365,1.0,1,0.2873325,1.0210000000000001,0.5685502088080622,1.3607858751281992
37,0.5473,1.6,1,0.43127022817460314,1.095625,0.7732450671898555,1.4367728780224098
37.5,0.5473,1.3,1.44,0.304435625,1.0795,0.6188541120054311,1.4887072963353483
38,0.5473,1.6,1,0.44837335317460314,1.1456250000000001,0.8237784682034732,1.5653858323799978
38.5,0.5473,1.6,1,0.32153875,1.1295,0.665922331925477,1.6185388745379832
39,0.5473,1.0,1,0.46547647817460314,1.1768750000000001,0.8634553411436355,1.69444381421986
39.5,0.5473,1.75,1.44,0.338641875,1.2082499999999998,0.7302104758740021,1.7508381611725248
40,0.5473,1.0,1,0.48257960317460313,1.2081250000000001,0.903737467285151,1.8260551584584908
40.5,0.5473,1.75,1.2,0.355745,1.273875,0.7888656443185583,1.8847227018184687
41,0.5473,1.0,1,0.49968272817460313,1.2393750000000001,0.9446163490498654,1.9593433729129555
41.5,0.5473,1.75,1.2,0.372848125,1.3395,0.8490102014294496,2.0202551820300645
45.5,0.12162222222222221,1.6,1,0.5034834226190475,1.2893750000000002,0.9821740700187814,2.093919635099629
46,0.12162222222222221,1.0,1,0.3766488194444444,1.3707500000000001,0.8724330507386038,2.152838590181172
47,0.5473,1.3,1.44,0.3937519444444444,1.42925,0.930261527753057,2.2159620669248254
48,0.5473,1.3,2.25,0.4108550694444444,1.52065625,1.0096595944680216,2.2853716108226965
49,0.5473,1.0,1,0.42795819444444433,1.55190625,1.053128606882935,2.3569829572112995
50,0.5473,1.6,1,0.4450613194444443,1.60190625,1.1091578009707328,2.431980133351129
51,0.5473,1.3,2.0,0.4621644444444444,1.6831562500000001,1.1866066115189298,2.5123673782537335
52,0.5473,1.3,1.2,0.4792675694444444,1.7319062500000002,1.2440455117928113,2.595888700441628
52.5,1.0946,1.6,1,0.49791400673400665,1.7279090909090908,1.2688770031394425,2.6791951914410936
53,1.0946,1.0,1,0.5154635947712417,1.7065000000000001,1.2798685051953693,2.7609600649985415
54,0.5473,1.0,1,0.5163732063492062,1.6863142857142857,1.2673097949602532,2.8390146663438607
54.5,1.0946,1.6,1,0.5531480371660858,1.4004146341463415,1.1198485013503805,2.900891768904531
55,0.5473,1.0,1,0.5172322839506172,1.6672500000000001,1.255442952620149,2.973432911653683
55.5,1.0946,1.6,1,0.5328368168168167,1.6654324324324326,1.2763977957864778,3.0457455331521888
56,1.0946,1.0,1,0.5476200584795321,1.647921052631579,1.2850546873985194,3.116737743939805
56.5,1.0946,1.0,1,0.57762658008658,1.3867500000000001,1.1417294308639818,3.1730439381921083
57,0.5473,1.6,1,0.5476118518518519,1.6466923076923077,1.2841802896445311,3.240167298930001
57.5,1.0946,1.0,1,0.5612865555555555,1.630525,1.2919257797855623,3.306091158259229
58,1.0946,1.0,1,0.5742942005420054,1.6151463414634146,1.299065099098557,3.370813477223175
58.5,1.0946,1.6,1,0.5989802026342451,1.3748297872340427,1.1606321893725824,3.422221784216123
59,0.5473,1.0,1,0.5736514814814815,1.6005,1.2877269609798034,3.4827352013969364
59.5,1.0946,1.6,1,0.5857665633074935,1.6004883720930236,1.3044031740297857,3.543012638508189
60,1.0946,1.0,1,0.5973309595959596,1.5868409090909095,1.3104380442668229,3.6022089417698697
60.5,1.0946,1.0,1,0.6177713904761903,1.3643399999999999,1.1771582145663029,3.6493241102401126
61,0.5473,1.6,1,0.5962191604938272,1.5871333333333335,1.3091271119361965,3.705573473477448
61.5,1.0946,1.0,1,0.6070535265700483,1.5743695652173915,1.3146766066787239,3.760845439840078
62,1.0946,1.0,1,0.6174268557919621,1.562148936170213,1.319880845288246,3.815149858923187
62.5,1.0946,1.6,1,0.6344352740341419,1.3550377358490564,1.1917504992101384,3.8584700019377474
63,0.5473,1.0,1,0.6159658796296296,1.5504375000000001,1.3093508330649106,3.909505385649428
63.5,1.0946,1.6,1,0.6257339229024943,1.5514489795918371,1.323306260621791,3.960352694191267
64,1.0946,1.0,1,0.6351112444444444,1.5404200000000003,1.32786821163231,4.010335383486792
64.5,1.0946,1.0,1,0.6493137414965986,1.336017857142857,1.196973085356734,4.049746455930846
65,0.5473,1.6,1,0.6333894553376906,1.541588235294118,1.3264052920134064,4.097448652014708
65.5,1.0946,1.0,1,0.6422588888888889,1.5311730769230771,1.3306764108345535,4.144366753375668
66,1.0946,1.0,1,0.6507936268343816,1.5211509433962267,1.3347298038101907,4.190512066788915
66.5,1.0946,1.6,1,0.6626791444713478,1.329101694915254,1.2089836824809965,4.226994567436789
67,0.5473,1.0,1,0.6488770781893005,1.5115,1.3250093030485297,4.2705573470412865
67.5,1.0946,1.6,1,0.6569811313131314,1.513109090909091,1.3370589674363054,4.313982794754872
68,1.0946,1.0,1,0.6647957539682541,1.5039464285714286,1.3407014011854217,4.356716485801897
68.5,1.0946,1.0,1,0.6747511213517664,1.3131774193548387,1.2127535694860927,4.390126337724888
69,0.5473,1.0,1,0.6627344249512671,1.4951052631578947,1.3313604973860191,4.430551014115576
69.5,1.0946,1.0,1,0.6701803831417625,1.4865689655172416,1.3349266262932666,4.470363153590882
70,1.0946,1.0,1,0.6773739359698683,1.4783220338983054,1.3383424761976266,4.509572123016273
70.5,1.0946,1.6,1,0.6857087619047618,1.3171846153846152,1.229677045622666,4.541126116618548
71,0.5473,1.0,1,0.6752060370370372,1.47035,1.3295022312902427,4.57827618406519
71.5,1.0946,1.6,1,0.6820813479052825,1.4724754098360655,1.340226041813944,4.615346196129478
72,1.0946,1.0,1,0.6887348745519716,1.4648548387096774,1.3433511895905794,4.651873432346502
72.5,1.0946,1.0,1,0.6956995518207283,1.3031911764705884,1.2321642285637693,4.6809456463527255
73,0.5473,1.6,1,0.6864898765432101,1.4669999999999999,1.3419792337214405,4.716044383988777
73.5,1.0946,1.0,1,0.6928665972222224,1.4597031249999999,1.3449662692117295,4.750645702183759
74,1.0946,1.0,1,0.6990471111111113,1.4526307692307692,1.3478448501850933,4.784757427532906
74.5,1.0946,1.6,1,0.7048460496311201,1.298830985915493,1.2406536889065785,4.811974065997883
