_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
5.25,0,1.0,1.2,0,0,0,0.0
6,0,1.0,1,0,0,0,0.0
7.125,0.22044444444444444,1.0,1,0.006888888888888889,0.06875,0.0003265784246516659,0.0006729692737321995
9.5,0.17403508771929824,1.0,1,0.012327485380116958,0.1,0.0010075696946512933,0.0020619259183827236
10,0.10333333333333333,1.0,1,0.0032291666666666666,0.0625,0.00024446626774107176,0.00195179882814124
11.125,0.25435897435897437,1.0,1,0.020276203328834907,0.13125,0.0022878072864252253,0.003983703130897824
12.875,0.2361904761904762,1.6,1,0.027657155709787287,0.18125,0.006023267533902836,0.008734008382853467
13.25,0.12717948717948718,1.0,1,0.007203525641025641,0.09375,0.0008264034101204283,0.008280860570167345
14.062,0.34821679303566433,1.0,1,0.0385389304921518,0.2125,0.009752234133597637,0.014059466219471042
15.125,0.22044444444444444,1.0,1,0.01409241452991453,0.125,0.001965498067448872,0.01386859050282083
15.688,0.2542025420254201,1.0,1,0.04648275993044618,0.24375,0.014743155101058579,0.02089346271481386
16.125,0.41333333333333333,1.0,1,0.027009081196581193,0.15625,0.003871269227261561,0.021146689685490286
16.75,0.38920276208411825,1.3,2.4,0.058645346245574874,0.34125,0.04032165227562844,0.03869451773798604
19,0.14376811594202898,1.0,1,0.0315018348197696,0.1875,0.006684183729072126,0.038882168171924456
20.625,0.10666666666666667,1.0,1,0.061978679578908215,0.3725,0.052397271507780084,0.05788468579120261
21,0.20666666666666667,1.0,1,0.037960168153102936,0.21875,0.010623966885582547,0.058371728134669384
22,0.3006060606060606,1.0,1,0.0713726189728476,0.40375,0.06683737849829097,0.07924331317830265
22.688,0.6007751937984506,1.3,1.2,0.09014684377904919,0.45249999999999996,0.09447292360913036,0.10728710765459935
23.375,0.17403508771929824,1.0,1,0.043398764644331,0.25,0.01585868413183073,0.10680033279398768
24,0.31504065040650375,1.0,1,0.09999186410425243,0.48374999999999996,0.11559736531231037,0.13719146177232344
24.5,0.8266666666666667,1.0,1,0.12582519743758575,0.515,0.14060852291271655,0.17205100590918487
25,0.25435897435897437,1.0,1,0.05134748259304895,0.28125,0.022615042160318108,0.17058533248763494
25.625,0.3674074074074074,1.0,1,0.1373066789190672,0.54625,0.1680654208107185,0.2083416411382535
27,0.20666666666666667,1.0,1,0.05780581592638229,0.3125,0.03103529796415434,0.2076549149247597
29.75,0.1002020202020202,1.0,1,0.14043799205038038,0.5775,0.19821303069501778,0.24836283655803323
30.125,0.13226666666666667,1.0,1,0.061939149259715616,0.34375,0.041273020750473025,0.24862387416270215
30.75,0.41333333333333333,1.0,1,0.15335465871704704,0.60875,0.23263656557390774,0.29268073987437604
31.5,0.3006060606060606,1.0,1,0.07133308865365502,0.375,0.05367997385331152,0.29407962767747586
32.375,0.25435897435897437,1.0,1,0.161303376665765,0.64,0.26507881855015136,0.340446442456771
33,0.27555555555555555,1.0,1,0.07994419976476615,0.40625,0.06833297592455788,0.34317937628039924
37.75,0.07689922480620155,1.0,1,0.1637064774409588,0.67125,0.2795525075532339,0.3878572545195506
38.062,0.08165415514289481,1.0,1,0.0824958921129816,0.4375,0.08521595036199296,0.3921993717263723
38.5,0.5511111111111111,1.0,1,0.18092869966318104,0.7025,0.30856470996738505,0.43811899794734216
39.25,0.3479236812570139,1.0,1,0.09336850715226329,0.46875,0.10502015820318107,0.44432828089042214
41,0.2361904761904762,1.0,1,0.10074945953321567,0.5,0.12751236547788097,0.45415551410453187
41.5,0.8266666666666667,1.0,1,0.126582792866549,0.53125,0.15413027095491075,0.4680076757972742
42.5,0.41333333333333333,1.0,1,0.19815092188540326,0.765,0.3517712737254047,0.5141331444019547
42.625,0.3674074074074074,1.0,1,0.13806427434803048,0.5625,0.18326123094303048,0.5304170334884774
45.562,0.1349880252558242,1.0,1,0.20236929767464776,0.79625,0.3695844662699414,0.5754004728985362
46,0.9436834094368289,1.0,1,0.23185940421954868,0.8275,0.4138014688639044,0.6249684780889893
46.625,0.10333333333333333,1.0,1,0.14129344101469712,0.59375,0.21516522091086318,0.642168061444647
47.25,0.33066666666666666,1.0,1,0.242192737552882,0.8587500000000001,0.43910339347026556,0.6915101832777072
48.375,0.2361904761904762,1.0,1,0.14867439339564953,0.625,0.2477140385601384,0.711041764745174
49,0.2361904761904762,1.0,1,0.2495736899338344,0.8900000000000001,0.4617710719468154,0.7597605602458568
51.312,0.17877739331026546,1.0,1,0.25516048347478015,0.92125,0.48287451996746605,0.8092132207390348
52.75,0.28743625405655954,1.0,1,0.2641428664140476,0.9525,0.5080107265286035,0.8598938531447043
53.125,1.1022222222222222,1.0,1,0.298587310858492,0.98375,0.5617672437953433,0.9154885605489194
53.5,0.08065040650406503,1.0,1,0.15119471859890155,0.65625,0.26185954108967746,0.9301412089336583
54.125,0.41333333333333333,1.3,1,0.3115039775251587,1.024375,0.5975797665013753,0.9865513499046346
54.688,0.3479236812570139,1.0,1,0.16206733363818324,0.6875,0.2843571164586271,1.0019782367854868
55.25,0.3674074074074074,1.3,1.7999999999999998,0.32298545900664016,1.0975000000000001,0.65017822179431,1.0611434040471917
56,0.5511111111111111,1.3,1.2,0.34020768122886236,1.14625,0.6974031970089745,1.12364731096762
56.625,0.21338840130786466,1.0,1,0.16873572117905403,0.71875,0.30327106258352626,1.1378204128152376
57.375,0.3006060606060606,1.0,1,0.34960162062280176,1.1775,0.7262600045167932,1.1998929856876002
58.75,0.19450980392156864,1.0,1,0.17481415255160304,0.75,0.32198645810445986,1.2142680274751305
60.75,0.12246913580246914,1.0,1,0.34271881805248866,1.1721212121212121,0.7149160158411821,1.2715062914475421
61.25,0.16533333333333333,1.0,1,0.17998081921826972,0.78125,0.3401201406217765,1.2860872812348454
62.5,0.2361904761904762,1.0,1,0.3395856315271354,1.167058823529412,0.708297276923511,1.3394080826952988
63,0.2361904761904762,1.0,1,0.1873617715992221,0.8125,0.36092280805700244,1.354523620266707
63.75,0.33066666666666666,1.3,1.2,0.3393308039596934,1.1782857142857144,0.714272183738607,1.405542070593463
64.625,0.4723809523809524,1.0,1,0.3430266414158394,1.1733333333333333,0.7159689933107972,1.4550597467582806
65.125,0.19450980392156864,1.0,1,0.1934402029717711,0.84375,0.3807245216598067,1.4695529604057427
67.125,0.16533333333333333,1.0,1,0.33822411957577175,1.1686486486486487,0.7075432363584975,1.51565580686229
71.5,0.09447619047619048,1.0,1,0.33180970038894064,1.1642105263157896,0.6973247088079952,1.5593308934714885
72,0.060121212121212124,1.0,1,0.19531899085055898,0.875,0.3962226972429342,1.5730250137927866
72.5,0.41333333333333333,1.0,1,0.33390004995161743,1.1600000000000001,0.6975114129109988,1.6145248704719233
73,0.41333333333333333,1.0,1,0.20823565751722564,0.90625,0.4243244054593874,1.629579327249207
77,0.09185185185185185,1.3,1.2,0.32784884499912326,1.1700000000000002,0.695723416897313,1.668864368955236
78.5,0.27555555555555555,1.0,1,0.3265733989151338,1.1658536585365855,0.6918905225206339,1.7066673086837483
79.5,0.06358974358974359,1.3,1,0.2102228370044051,0.946875,0.4447139281486368,1.7215609400427645
80.25,0.5511111111111111,1.0,1,0.22744505922662736,0.978125,0.4789250382365474,1.7390138083010123
80.75,0.1837037037037037,1.0,1,0.32317173950533784,1.1619047619047622,0.6855955252970346,1.7737268323160853
81.25,0.41333333333333333,1.0,1,0.24036172589329405,1.009375,0.5087005349777483,1.7925084744382274
84,0.1503030303030303,1.0,1,0.23763267451177086,1.009090909090909,0.5053630928273118,1.8105036928898517
85,0.09725490196078432,1.0,1,0.31791785956244123,1.1581395348837211,0.6771644330368835,1.842180050651774
85.75,0.2361904761904762,1.0,1,0.2375902569140857,1.0088235294117647,0.5051863883828022,1.8590337638403363
86.125,0.3674074074074074,1.3,1.2,0.31904262201346323,1.1672727272727275,0.6835045858129407,1.8897661220955992
86.4054,1.4740846409890622,1.75,1.5,0.3447102224351432,1.1996666666666667,0.7328487088011503,1.9236213092201262
86.6859,1.4735591206179257,1.3,1.2,0.3692504158738994,1.2075,0.767289805576118,1.9593145278131825
86.9663,1.4740846409890622,1.75,1.5,0.3927575270465624,1.2376595744680852,0.8137644850778074,1.9977067467999052
87.2468,1.4735591206180003,1.3,1.2,0.41527422691263416,1.244375,0.84537239137928,2.037563356388878
87.5272,1.4740846409890622,1.75,1.5,0.4368826027101124,1.2725510204081634,0.8893074987303393,2.0797601320079275
87.8076,1.4740846409890622,1.3,1.2,0.45762664347569143,1.2783,0.9184891818971449,2.123113625869135
88,2.1483021483020774,1.3,2.4,0.4907771435703263,1.3144117647058824,0.9829113284482096,2.1701760569000594
88.0881,4.691638289822322,1.3,1.2,0.5715629348444033,1.3191346153846153,1.0868792286984654,2.2236926608402223
88.2804,2.1494193101057038,1.3,2.4,0.6013338098493336,1.3531132075471697,1.1482312588026033,2.2803749048062394
88.5609,1.4735591206179257,1.75,1.7999999999999998,0.617486130419122,1.3863888888888891,1.1926000478291896,2.3389068426323756
