_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
9,0,1.0,1.5,0,0,0,0.0
9.5,0,1.0,1.2,0,0,0,0.0
10,0.5233333333333333,1.0,1,0.016354166666666666,0.078125,0.0005525263685847955,0.0013021204752981682
10.5,0.5233333333333333,1.0,1,0.016354166666666666,0.06875,0.0003902775379160191,0.0016664059047401898
11,0.5233333333333333,1.0,1,0.03270833333333333,0.109375,0.0015995569545989743,0.003594898257595102
11.5,0.5233333333333333,1.0,1,0.03270833333333333,0.1,0.0012615644156489933,0.004482291951102315
12,0.5233333333333333,1.0,1,0.049062499999999995,0.140625,0.003461696790263153,0.007338278287682055
12.5,0.5233333333333333,1.0,1,0.049062499999999995,0.13125,0.002887386373586465,0.008972721209378837
13,0.5233333333333333,1.0,1,0.06541666666666666,0.171875,0.006354575863090521,0.012967624558564522
13.5,0.5233333333333333,1.0,1,0.06541666666666666,0.1625,0.0054844746899908115,0.015548385708531573
14,0.5233333333333333,1.0,1,0.08177083333333333,0.203125,0.01049025998881068,0.020877272291473382
14.5,0.5233333333333333,1.0,1,0.08177083333333333,0.19375,0.009265529080179831,0.024596440483589884
15,0.5233333333333333,1.0,1,0.098125,0.234375,0.0160781082401141,0.03144842392774502
15.5,0.5233333333333333,1.0,1,0.098125,0.225,0.014440338054717585,0.036494478650538474
16,0.5233333333333333,1.0,1,0.11447916666666667,0.265625,0.023325389759816538,0.045055547113962764
16.5,0.5233333333333333,1.0,1,0.11447916666666667,0.25625,0.021216486933750806,0.05161461058319123
17,0.5233333333333333,1.0,1,0.13083333333333333,0.296875,0.03243770655810998,0.06206872674687631
17.5,0.5233333333333333,1.0,1,0.13083333333333333,0.2875,0.02979982294137922,0.07032517238291379
18,0.5233333333333333,1.0,1,0.1471875,0.328125,0.04361929327437294,0.08285481612327711
18.5,0.5233333333333333,1.0,1,0.1471875,0.31875,0.04039477790728802,0.09299162930733958
19,0.5233333333333333,1.0,1,0.16354166666666667,0.359375,0.057073237663674704,0.10777811316328438
19.5,0.5233333333333333,1.0,1,0.16354166666666667,0.35,0.05320460248579617,0.11997713254561591
20,0.5233333333333333,1.0,1,0.17989583333333334,0.390625,0.07300164799500652,0.13720080727514114
20.5,0.5233333333333333,1.0,1,0.17989583333333334,0.38125,0.06843154236114357,0.15164289882589713
21,0.5233333333333333,1.0,1,0.19625,0.421875,0.0916057835484887,0.17148329846037388
21.5,0.5233333333333333,1.0,1,0.19625,0.4125,0.08627697469055984,0.1883484874066002
22,0.5233333333333333,1.0,1,0.21260416666666668,0.453125,0.1130861586167771,0.21098443755526738
22.5,0.5233333333333333,1.0,1,0.21260416666666668,0.44375,0.10694151628398571,0.23045201193285708
23,0.5233333333333333,1.0,1,0.22895833333333335,0.484375,0.1376426269466876,0.25606171402183037
23.5,0.5233333333333333,1.0,1,0.22895833333333335,0.475,0.1306251110783128,0.27831030806522505
24,0.5233333333333333,1.0,1,0.24531250000000002,0.515625,0.16547445139476127,0.3070714068812166
24.5,0.5233333333333333,1.0,1,0.24531250000000002,0.50625,0.15752710205355533,0.3322790695261359
25,0.5233333333333333,1.0,1,0.26166666666666666,0.546875,0.19678036217494219,0.3643687086488846
25.25,0.6977777777777777,1.0,1,0.26711805555555557,0.5375,0.18877809909678614,0.39290672194198434
25.5,1.0466666666666666,1.0,1,0.294375,0.578125,0.23490002492697756,0.4291306206360343
25.75,1.0466666666666666,1.0,1,0.2998263888888889,0.56875,0.22589012808948766,0.4615726368848299
26,1.0466666666666666,1.0,1,0.32708333333333334,0.609375,0.27748676355602037,0.5021201715187821
26.5,0.6977777777777777,1.0,1,0.3216319444444445,0.6,0.2651335479694714,0.5382352771141868
27,0.5233333333333333,1.0,1,0.3434375,0.640625,0.32097060774016023,0.5826205827451804
27.5,0.5233333333333333,1.0,1,0.33798611111111115,0.63125,0.30736212801995116,0.6223813243040773
28,0.5233333333333333,1.0,1,0.3597916666666667,0.671875,0.36873492268249025,0.6707855823299584
28.5,0.5233333333333333,1.0,1,0.3543402777777778,0.6625,0.3538119552521958,0.7143728428371743
29,0.5233333333333333,1.0,1,0.37614583333333335,0.703125,0.4209760299136258,0.766975812340713
29.5,0.5233333333333333,1.0,1,0.37069444444444444,0.69375,0.404679450627224,0.8145691737860258
30,0.5233333333333333,1.0,1,0.3925,0.734375,0.4778899534885535,0.8715494581722047
30.5,0.5233333333333333,1.0,1,0.3870486111111111,0.725,0.46016073101485044,0.9233274344787871
31,0.5233333333333333,1.0,1,0.4088541666666667,0.765625,0.5396724392359652,0.9848626836472869
31.5,0.5233333333333333,1.0,1,0.4034027777777778,0.75625,0.5204516291463763,1.0410028989476532
32,0.5233333333333333,1.0,1,0.42520833333333335,0.796875,0.6065189720151526,1.1072699649313162
32.5,0.5233333333333333,1.0,1,0.41975694444444445,0.7875,0.5857477114743158,1.1679492920351584
33,0.5233333333333333,1.0,1,0.4415625,0.828125,0.6575579329976904,1.2362039056480698
