_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
6,0,1,1.2,0,0,0,0.0
7,0,1,1.2,0,0,0,0.0
8.5,0.22933333333333333,1.75,1,0.007166666666666667,0.0921875,0.007827787464076592,0.015655574928153185
9,0.2866666666666667,1,1,0.008958333333333334,0.06875,0.006562091450025317,0.021584818371152864
10,0.38222222222222224,1,1,0.019111111111111113,0.1234375,0.017267672967954416,0.037989062258467585
11,0.2866666666666667,1,1,0.017916666666666668,0.1,0.013598457305443254,0.04525600918749958
11.5,0.38222222222222224,1,1,0.03105555555555556,0.1546875,0.0278038792603127,0.06262276152669624
12.5,0.38222222222222224,1,1,0.02986111111111111,0.13125,0.023260073738209153,0.07223997163951607
14,0.38222222222222224,1,1,0.041805555555555554,0.1625,0.034307312747082035,0.08708484995540229
15,0.1638095238095238,1,1,0.03617460317460318,0.1859375,0.03602768113818414,0.09999297364277257
16.5,0.22933333333333333,1,1,0.04897222222222222,0.19375,0.04422465761128116,0.1150252438268557
17,0.2866666666666667,1.75,1,0.04513293650793651,0.240625,0.05201105297178068,0.13144533332717473
18,0.38222222222222224,1,1,0.06091666666666667,0.225,0.057532236791686016,0.1478874938981702
19,0.2866666666666667,1,1,0.05409126984126984,0.271875,0.06447072921555107,0.16495441399782276
19.5,0.38222222222222224,1,1,0.07286111111111111,0.25625,0.07191075968873248,0.18272175694012763
20.5,0.38222222222222224,1,1,0.06603571428571428,0.303125,0.07972226224151326,0.2011974954719371
22,0.38222222222222224,1,1,0.07798015873015873,0.334375,0.09587955742638021,0.22320219247701611
23,0.1638095238095238,1,1,0.07798015873015873,0.2875,0.08318495924321243,0.23853039042047497
24,0.2866666666666667,1.75,1,0.08693849206349206,0.3890625,0.11754554269641543,0.26309580440773905
25,0.2866666666666667,1,1,0.08693849206349206,0.31875,0.09741762654427437,0.2791663021506344
26,0.2866666666666667,1,1,0.09589682539682541,0.4203125,0.13350381558151736,0.3040166160238949
27,0.2866666666666667,1,1,0.0958968253968254,0.35,0.11237992527290576,0.320846749460874
28,0.2866666666666667,1.75,1,0.10485515873015876,0.475,0.15751439987771398,0.34798760380023963
29,0.2866666666666667,1,1,0.10485515873015874,0.38125,0.12803789336738713,0.36549759365040985
30,0.2866666666666667,1,1,0.11381349206349207,0.50625,0.17505267064352156,0.39289033085883857
31,0.2866666666666667,1,1,0.11381349206349206,0.4125,0.14436191093066839,0.4110934514251913
32,0.2866666666666667,1.75,1,0.1227718253968254,0.5609375,0.20119839165591896,0.4405785217403884
33,0.2866666666666667,1,1,0.12277182539682541,0.44375,0.16132584708695116,0.45941339891114985
34,0.2866666666666667,1,1,0.13173015873015873,0.5921875,0.22018587317887697,0.48912725546846403
35,0.2866666666666667,1,1,0.13173015873015873,0.475,0.17890642452258032,0.5086042985240312
36,0.2866666666666667,1.75,1,0.14068849206349207,0.646875,0.248305049399969,0.5402567500684115
37,0.5733333333333334,1,1,0.15860515873015874,0.678125,0.2773534697718116,0.5753775022109883
38,0.19111111111111112,1,1,0.137702380952381,0.50625,0.1946862069881458,0.5933393125054696
39,0.5733333333333334,1,1,0.15561904761904766,0.5375,0.22074416587498674,0.6148430090567769
40,0.2866666666666667,1,1,0.18548015873015875,0.7640625,0.33861895129297703,0.655325029019665
41,0.2866666666666667,1,1,0.16457738095238097,0.56875,0.2401970469841951,0.6771543971553736
42,0.2866666666666667,1.75,1,0.1944384920634921,0.81875,0.3710702793479159,0.7190264857751605
43,0.2866666666666667,1,1,0.17353571428571432,0.6,0.26018997563871904,0.7411873638819276
44,0.2866666666666667,1,1,0.20339682539682544,0.85,0.3941684762186074,0.782823863713459
44.5,0.38222222222222224,1,1,0.18548015873015877,0.63125,0.2833558706426501,0.8057566477170199
45,0.5733333333333334,1.75,1,0.22131349206349213,0.9046875,0.4381506407529946,0.850223652517043
46,0.38222222222222224,1,1,0.1974246031746032,0.6625,0.3071576258821948,0.8738598930593316
47,0.5733333333333334,1,1,0.2153412698412699,0.69375,0.33708629998034756,0.9005728676366052
55,0.07166666666666667,1,1,0.2325114087301588,0.9671875,0.4796593704465616,0.9455133984330314
56,0.0637037037037037,1,1,0.21733201058201063,0.725,0.3528461775307398,0.9715481465830629
57,0.2866666666666667,1,1,0.24146974206349214,0.9984375,0.5047724918720826,1.016267424945007
58,0.5733333333333334,1,1,0.25938640873015884,1.0296875,0.5408030542414533,1.063683401551469
59,0.19111111111111112,1,1,0.22330423280423287,0.75625,0.3726202456725514,1.0881008613948824
60,0.5733333333333334,1,1,0.24122089947089956,0.7875,0.40451291068977235,1.1154269145121016
60.5,0.22933333333333333,1.75,1,0.2665530753968255,1.084375,0.5765156339401923,1.1623002522946828
61,0.5733333333333334,1,1,0.2591375661375662,0.81875,0.43716695928658855,1.1909414582441897
62,0.38222222222222224,1,1,0.2784975198412699,1.115625,0.6068145131266228,1.2380557971002577
63,0.2866666666666667,1,1,0.26809589947089957,0.85,0.46148541733575305,1.2669398859099612
68.5,0.10424242424242425,1,1,0.29967176226551234,1.2015625,0.6779109905685851,1.318801479567397
69,0.09555555555555556,1,1,0.27108201058201065,0.88125,0.48004510024545194,1.3471918272384027
70,0.38222222222222224,1.75,1,0.3116162067099568,1.25625,0.7225239681933593,1.400548112629863
71,0.5733333333333334,1,1,0.3295328733766234,1.2875,0.7629133848535102,1.456283765199884
72,0.19111111111111112,1,1,0.2770542328042329,0.9125,0.5019535413404329,1.4831016528351029
73,0.5733333333333334,1,1,0.29497089947089955,0.94375,0.537014672025658,1.5125759982472868
73.5,0.22933333333333333,1.75,1,0.3264965236783419,1.3015151515151515,0.7667271978100149,1.5640391180575002
74.5,0.38222222222222224,1,1,0.306915343915344,0.975,0.5662790055753754,1.5940987068344628
75.5,0.2866666666666667,1,1,0.32532505729564554,1.2926470588235295,0.7602819981636492,1.6419631146110343
76,0.38222222222222224,1,1,0.3188597883597884,1.00625,0.5960511427350905,1.6726669835284869
76.5,0.5733333333333334,1,1,0.3324110080395795,1.2842857142857145,0.7648566989202706,1.718236877434629
77,0.5733333333333334,1,1,0.32657110790444127,1.006060606060606,0.6044583701195139,1.7475986211774364
78,0.38222222222222224,1,1,0.33379465287798626,1.276388888888889,0.7622327656345393,1.7904137419748571
79,0.5733333333333334,1.75,1,0.3402686712686714,1.2891891891891893,0.777770379433709,1.833342227566311
80,0.19111111111111112,1,1,0.32258699035169625,1.0058823529411764,0.5999687151527938,1.859319728497935
80.5,0.38222222222222224,1,1,0.3413727120832385,1.2815789473684212,0.7748985405480161,1.8997555475528656
81.5,0.38222222222222224,1,1,0.3242908541194256,1.0057142857142858,0.6017570346548772,1.9241953569868135
82.5,0.5733333333333334,1,1,0.33120870076425635,1.0055555555555555,0.6092883968890958,1.9485831742311486
83.5,0.19111111111111112,1,1,0.3375198505198506,1.2743589743589745,0.7658846346686001,1.9853432385892107
84,0.38222222222222224,1,1,0.3325874445874446,1.0054054054054056,0.6107222491399573,2.00834310511319
84.5,0.5733333333333334,1,1,0.3434151875901877,1.2675,0.7695558067051924,2.0435997501823517
85,0.5733333333333334,1,1,0.33892286271233646,1.0052631578947369,0.6176014015581714,2.0657598656379075
86,0.38222222222222224,1,1,0.34436170062999344,1.2609756097560976,0.7670669561430691,2.099136732364493
87,0.5733333333333334,1,1,0.3498134061705492,1.2547619047619047,0.7704299371449173,2.131908717955467
88,0.19111111111111112,1,1,0.3351328177994845,1.005128205128205,0.6133669375824805,2.1517586270264855
88.5,0.38222222222222224,1.75,1,0.3505670995670997,1.266279069767442,0.7779492328129856,2.1836059279106808
89.5,0.38222222222222224,1,1,0.33631005291005295,1.0050000000000001,0.6145890702918104,2.202405034083683
90.5,0.2866666666666667,1,1,0.34911481700118074,1.2602272727272728,0.7726610941166979,2.2324490035974676
91.5,0.5733333333333334,1,1,0.35409745069745086,1.2544444444444445,0.7756398570421281,2.2619781516298487
92,0.22933333333333333,1,1,0.33370086462769394,1.0048780487804878,0.6116568531037209,2.2789415608707224
93,0.38222222222222224,1,1,0.3547088587740763,1.248913043478261,0.7732386566738009,2.3070426368132466
94,0.2866666666666667,1,1,0.332581002771479,1.0047619047619047,0.6103628495993094,2.3229853951753947
95,0.5733333333333334,1,1,0.33817989417989425,1.0046511627906978,0.6164488867098279,2.3389819989554366
96,0.19111111111111112,1,1,0.35122805563231113,1.2436170212765958,0.7658533407994735,2.364914620172004
97,0.2866666666666667,1,1,0.33700913900913904,1.0045454545454546,0.6151062414430895,2.3799796523138967
98,0.2866666666666667,1,1,0.34988302669552684,1.2385416666666667,0.7612801733605865,2.404560566784117
99,0.2866666666666667,1,1,0.33589041740152853,1.0044444444444445,0.6138230190088031,2.4187647617537698
102,0.19111111111111112,1,1,0.3327430411778238,1.0043478260869565,0.6103141569635484,2.4324254230727527
103.5,0.1274074074074074,1,1,0.3499025204425205,1.244,0.764412148722542,2.455838982521259
105,0.19111111111111112,1,1,0.3297295958572555,1.0042553191489363,0.6069518161895981,2.4685902934311117
106,0.5733333333333334,1,1,0.33480467372134043,1.0041666666666667,0.6124787156391285,2.4814230806694493
107.5,0.14333333333333334,1,1,0.3458521442246933,1.2392156862745098,0.7566230302901167,2.5030895554175676
109,0.19111111111111112,1,1,0.33187215203541737,1.0040816326530613,0.6092117447115657,2.51509143992644
110,0.22933333333333333,1,1,0.3436113978613979,1.2346153846153847,0.7512177428832205,2.535629739074614
