_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
9,0,1,1,0,0,0,0.0
9.5,1.1466666666666667,1,1,0.035833333333333335,0.0625,0.013637630061843726,0.04091289018553118
10,1.1466666666666667,1,1,0.07166666666666667,0.09375,0.03159067545119862,0.09045661102608467
10.5,1.1466666666666667,1.75,1,0.10750000000000001,0.1484375,0.06009092028894112,0.1579788387029752
11,1.1466666666666667,1,1,0.14333333333333334,0.1796875,0.08702064525789002,0.2308078452718482
12,0.5733333333333334,1.75,1,0.16125,0.234375,0.11423869311186229,0.3065785641717358
14,0,1,1.2,0,0,0,0.2627816264329164
14.5,1.1466666666666667,1,1,0.035833333333333335,0.06875,0.014675812923095732,0.24094078282112363
15,1.1466666666666667,1,1,0.07166666666666667,0.1,0.03293561339385726,0.23612666032579246
16,0.5733333333333334,1,1,0.08958333333333335,0.13125,0.04756190380217173,0.24105113657451635
18,0.09555555555555556,1,1,0.1642361111111111,0.265625,0.12656212325988822,0.28817128230040834
18.5,1.1466666666666667,1.75,1,0.20006944444444444,0.3203125,0.16892448243288608,0.3486192499918174
19,1.1466666666666667,1,1,0.23590277777777777,0.3515625,0.2056324461266565,0.41670966743551907
20,0.5733333333333334,1.75,1,0.25381944444444443,0.40625,0.24133434447725066,0.49037369596608943
22,0.09555555555555556,1,1,0.09256944444444445,0.1625,0.05690034189731779,0.4804422529939439
22.5,1.1466666666666667,1,1,0.12840277777777778,0.19375,0.08328944468025859,0.48164815393691934
23,1.1466666666666667,1,1,0.1642361111111111,0.225,0.11289143412915305,0.49315994516268397
24,0.5733333333333334,1,1,0.18215277777777777,0.25625,0.1341814218349951,0.5104893110430887
26,0.09555555555555556,1,1,0.25680555555555556,0.4375,0.25708030248899566,0.5648047059847143
26.5,1.1466666666666667,1.75,1,0.2926388888888889,0.4921875,0.30976153837322745,0.6294929321974467
27,1.1466666666666667,1,1,0.3284722222222222,0.5234375,0.35417120244656847,0.7007088504108738
28,0.5733333333333334,1.75,1,0.34638888888888886,0.578125,0.39665426490747324,0.7770368840033268
30,0.09555555555555556,1,1,0.18513888888888888,0.2875,0.14713525209849132,0.7816357808984408
30.5,1.1466666666666667,1,1,0.2209722222222222,0.31875,0.18232091069072218,0.7946478510336864
31,1.1466666666666667,1,1,0.25680555555555556,0.35,0.21998812266877843,0.8156590864328457
31.5,0.1638095238095238,1,1,0.3515079365079365,0.609375,0.4170848514900333,0.8805379334523593
