_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
6,0,1,1.2,0,0,0,0.0
7.5,0,1,1.2,0,0,0,0.0
9,0.21333333333333335,1.75,1,0.006666666666666667,0.0921875,0.007546734216729974,0.015093468433459947
9.5,0.32,1,1,0.01,0.06875,0.006947346615795128,0.021741121248787652
10.25,0.512,1,1,0.02266666666666667,0.1234375,0.01889480002993671,0.04006665703495417
10.5,0.64,1,1,0.03,0.1,0.018083141320025125,0.05147202218248694
11.938,0.3791469194312795,1.75,1,0.034515007898894154,0.178125,0.033707969461055504,0.07301142140875068
13.5,0.21333333333333335,1,1,0.03666666666666667,0.13125,0.026094768082822586,0.08345606979477377
15,0.20901371652514703,1,1,0.041046686540304994,0.209375,0.04322680723222492,0.10300104463905996
15.5,0.32,1,1,0.04666666666666667,0.1625,0.036522887294083095,0.1146146725516038
16.25,0.512,1.75,1,0.057046686540304994,0.2640625,0.0645248561031709,0.1393905329213694
16.5,0.64,1,1,0.06666666666666667,0.19375,0.052904635552690114,0.15422697295426702
17.25,0.64,1,1,0.07704668654030501,0.2953125,0.0847146080683892,0.1814624095278107
18,0.4266666666666667,1,1,0.08,0.225,0.06754257916307313,0.19744762848856987
19.5,0.28444444444444444,1.75,1,0.08593557542919389,0.35,0.10564911551105075,0.2265440994604188
21,0.21333333333333335,1,1,0.08666666666666667,0.25625,0.07963572301190985,0.24224848937360888
21.5,0.32,1,1,0.09593557542919388,0.38125,0.12176757274627834,0.27097536861502425
22.25,0.512,1,1,0.10266666666666667,0.2875,0.0978171455469999,0.28852689665207837
22.5,0.64,1.75,1,0.11593557542919389,0.4359375,0.15359318950995712,0.32184438298932383
24,0.3657142857142857,1,1,0.1140952380952381,0.31875,0.11435696179090937,0.3400592523771305
25.5,0.21333333333333335,1,1,0.12260224209586056,0.4671875,0.16912287746898558,0.37218677677888207
27,0.21333333333333335,1,1,0.12076190476190476,0.35,0.1286641249180373,0.390359411902943
28.5,0.21333333333333335,1.75,1,0.12926890876252722,0.521875,0.19330541507881419,0.4238147631451144
30,0.21333333333333335,1,1,0.12742857142857145,0.38125,0.1434961055510185,0.44202984106848925
31.5,0.21333333333333335,1,1,0.13593557542919388,0.553125,0.21000238214431005,0.47474921914038404
33,0.21333333333333335,1,1,0.1340952380952381,0.4125,0.15883444459555832,0.493143736387806
33.5,0.32,1.75,1,0.1459355754291939,0.6078125,0.23879254253434304,0.5279441630107045
34.25,0.512,1,1,0.15009523809523811,0.44375,0.18148635141289043,0.54797894677737
34.5,0.64,1,1,0.16593557542919385,0.6390625,0.26895577157475525,0.5847291427315481
36,0.3657142857142857,1,1,0.16152380952380951,0.475,0.20163818138274314,0.6055658075837117
37.562,0.20901371652514714,1.75,1,0.1724672540706047,0.69375,0.29687814590381006,0.6434917129978778
39,0.21333333333333335,1,1,0.1681904761904762,0.50625,0.21877650183900166,0.6644031910615069
39.5,0.33023735810113475,1,1,0.18278717151126517,0.725,0.3196633176385365,0.7023903642363466
40.25,0.512,1,1,0.18419047619047618,0.5375,0.24384964646630233,0.7247641146646249
40.5,0.64,1.75,1,0.20278717151126513,0.7796875,0.36278922177044154,0.76624900654914
41.25,0.64,1,1,0.20419047619047617,0.56875,0.27306464457295493,0.7904750860182674
42,0.4266666666666667,1,1,0.2161205048445985,0.8109375,0.3901533780818173,0.8323790098688792
43.5,0.28444444444444444,1,1,0.21307936507936506,0.6,0.29390980690829593,0.8568811106999552
45,0.21333333333333335,1.75,1,0.22278717151126515,0.865625,0.4218930588538565,0.899816424608242
45.5,0.32,1,1,0.22307936507936507,0.63125,0.31621718804329857,0.9247535921995309
46.25,0.512,1,1,0.23878717151126516,0.896875,0.45353306773552654,0.9685693193754731
46.5,0.64,1,1,0.24307936507936503,0.6625,0.3479253130449349,0.9952117612539049
48,0.3657142857142857,1.75,1,0.25021574293983656,0.9515625,0.4921672821189529,1.0407418061715747
50,0.18285714285714286,1,1,0.24879365079365076,0.69375,0.367616052660204,1.0672180450304305
50.25,0.28444444444444444,1,1,0.25910463182872545,0.9828125,0.5173678538333205,1.1124844689853082
51,0.64,1,1,0.26879365079365075,0.725,0.40088029528391683,1.140588758174834
51.75,0.4266666666666667,1.75,1,0.2724379651620588,1.0375,0.5598883284059256,1.1877960180101683
52.25,0.512,1,1,0.28479365079365077,0.75625,0.4312497803522401,1.2169564901789867
53.25,0.64,1,1,0.30479365079365073,0.7875,0.46619176799590434,1.249205349725853
54,0.28444444444444444,1,1,0.2813268540509477,1.06875,0.5861779275146095,1.2945625940330894
55.5,0.4266666666666667,1.75,1,0.29466018738428107,1.1234375,0.6304584561234439,1.3433505968312767
56,0.23272727272727273,1,1,0.312066378066378,0.81875,0.4894741063471548,1.373994713009193
57,0.4266666666666667,1,1,0.30799352071761443,1.1546875,0.6632232066332553,1.4231521569108978
58.5,0.4266666666666667,1.75,1,0.32132685405094774,1.209375,0.709327898568766,1.4756116982905585
59,0.21333333333333335,1,1,0.31873304473304465,0.85,0.5125084927067578,1.5046924120714673
60,0.4266666666666667,1,1,0.33466018738428105,1.240625,0.7433528386557037,1.5574678517118739
61.5,0.4266666666666667,1.75,1,0.3479935207176144,1.2953125,0.7912125904987966,1.6134293901553987
62,0.21333333333333335,1,1,0.3253997113997113,0.88125,0.5358739251901355,1.64104687568963
63,0.4266666666666667,1,1,0.3613268540509478,1.3265625,0.8264534130063752,1.6972786316616406
64.5,0.4266666666666667,1.75,1,0.37466018738428114,1.38125,0.8760063757346968,1.7565912920407498
65,0.21333333333333335,1,1,0.33206637806637795,0.9125,0.5595654267987916,1.7828339357907828
66,0.4266666666666667,1,1,0.3762361413019291,1.3696969696969699,0.8712650866422608,1.8383945258563117
67.5,0.4266666666666667,1.75,1,0.3777193920479509,1.3808823529411764,0.8798516467064322,1.893009055290951
68,0.21333333333333335,1,1,0.33873304473304466,0.94375,0.5835782765694961,1.9181412522304202
69,0.4266666666666667,1,1,0.3791178856084856,1.37,0.875246887410163,1.9694234071878134
70.5,0.4266666666666667,1.75,1,0.380438685082324,1.3805555555555555,0.8832627844849924,2.019880275365422
71,0.21333333333333335,1,1,0.3453997113997113,0.975,0.6079079848319062,2.0441723295986463
72,0.4266666666666667,1,1,0.3816880899900089,1.3702702702702703,0.8787943977291642,2.091651653963004
73.5,0.4266666666666667,1.75,1,0.3828717367446578,1.3802631578947369,0.8863094884032112,2.1384082521725154
74,0.21333333333333335,1,1,0.35206637806637797,1.00625,0.6325502719642047,2.1620781575955537
75,0.4266666666666667,1,1,0.38399468366573497,1.3705128205128205,0.881975077184188,2.206159457673153
76.5,0.4266666666666667,1.75,1,0.3850614832407583,1.3800000000000001,0.8890472755203375,2.249605627054388
77,0.21333333333333335,1,1,0.34786234640780095,1.006060606060606,0.6278422075556409,2.270392580729449
78,0.64,1,1,0.35645463033698327,1.0058823529411764,0.6371433427591182,2.291371870943304
78.75,0.28444444444444444,1,1,0.382607409123775,1.3707317073170733,0.8802797452909843,2.3312426256206717
79.5,0.4266666666666667,1,1,0.35846068851783136,1.0057142857142858,0.6392410797393208,2.351034781578767
80.25,0.4266666666666667,1.75,1,0.38365643906527247,1.3797619047619047,0.8870481874102351,2.389622500317503
81,0.4266666666666667,1,1,0.3603552990219657,1.0055555555555555,0.6412212141741612,2.4083110231986242
81.75,0.4266666666666667,1,1,0.38465667691646765,1.3709302325581396,0.8830951086488268,2.444896588118806
82.5,0.4266666666666667,1,1,0.36214749814749814,1.0054054054054056,0.6430934033874204,2.462567386021377
83.25,0.4266666666666667,1.75,1,0.38561144941079034,1.3795454545454546,0.8895019449974544,2.49805435249006
84,0.4266666666666667,1,1,0.36384537100326575,1.0052631578947369,0.6448662714327932,2.5147756119547755
84.75,0.4266666666666667,1,1,0.386523787572032,1.3711111111111112,0.8856583002974335,2.548500602193688
85.5,0.4266666666666667,1,1,0.3654561734561735,1.005128205128205,0.6465475442152778,2.5643432767543786
86.25,0.4266666666666667,1.75,1,0.38739645885669793,1.3793478260869565,0.8917396395135693,2.5971208598170494
87,0.4266666666666667,1,1,0.3669864357864358,1.0050000000000001,0.6481441638684105,2.612141140321624
87.75,0.4266666666666667,1,1,0.3882319951930802,1.3712765957446809,0.8880017801502503,2.643358031592657
88.5,0.4266666666666667,1,1,0.3684420511737585,1.0048780487804878,0.6496623860240291,2.6576150348261964
89.25,0.4266666666666667,1.75,1,0.3890327175154466,1.3791666666666667,0.8937886354941187,2.688009605367079
90,0.4266666666666667,1,1,0.36982835154263727,1.0047619047619047,0.6511078628977708,2.7015500228339633
90.375,0.5688888888888889,1,1,0.3927032516251086,1.3714285714285714,0.8939595910694382,2.7308050505656407
90.75,0.8533333333333334,1,1,0.38107265344474645,1.0046511627906978,0.6632976297077624,2.7443809280404334
91.125,0.8533333333333334,1.75,1,0.40191585325927315,1.379,0.9106172007473003,2.7736209525183195
91.5,0.8533333333333334,1,1,0.39180585071494173,1.0045454545454546,0.6749241796682246,2.7871946134277983
91.875,0.8533333333333334,1,1,0.4107671763979802,1.3715686274509804,0.9176295706775558,2.815811274592403
92.25,0.8533333333333334,1,1,0.4020620169953504,1.0044444444444445,0.6860311383449198,2.8293568532952897
92.625,0.8533333333333334,1.75,1,0.4192780640313523,1.3788461538461538,0.9331908013847277,2.857911368295425
93,0.8533333333333334,1,1,0.41187226300269786,1.0043478260869565,0.6966570513572181,2.8714014799265253
93.375,0.8533333333333334,1,1,0.4274677860936538,1.3716981132075472,0.9393695181917914,2.89932891052475
93.75,0.8533333333333334,1,1,0.42126505173313694,1.0042553191489363,0.7068361891022372,2.9127457927656364
94.125,0.8533333333333334,1,1,0.4353541851166108,1.364814814814815,0.9452284494003466,2.9400589106234234
94.5,0.8533333333333334,1,1,0.4302664742664745,1.0041666666666667,0.7165991927279206,2.9533876973464053
94.875,0.8533333333333334,1,1,0.44295380599327844,1.3581818181818182,0.9507940519455068,2.980100091660256
95.25,0.8533333333333334,1,1,0.4389004917984512,1.0040816326530613,0.7259735980027077,2.9933283752790634
95.625,0.8533333333333334,1,1,0.45028201183863653,1.3517857142857144,0.9560898674089485,3.0194541926997744
96,0.8533333333333334,1,1,0.44718914862914877,1.004,0.7349842642015423,3.032571658666845
96.5,0.7314285714285714,1,1,0.4552144076209161,1.3456140350877193,0.9584236634950744,3.0579732504640744
97.5,0.4266666666666667,1,1,0.4467867470220413,1.003921568627451,0.7344962097819783,3.0704640283180358
98.25,0.3657142857142857,1.75,1,0.45367130207080175,1.3525862068965517,0.9609164484988666,3.095189116966432
99,0.4266666666666667,1,1,0.4463998223998225,1.0038461538461538,0.7340269844538994,3.1070888696005863
99.75,0.4266666666666667,1,1,0.4532135963859859,1.3466101694915256,0.9565198196263505,3.1308008520164203
100.5,0.4266666666666667,1,1,0.4460274987067441,1.0037735849056604,0.733575519081859,3.1421459615028016
102,0.4266666666666667,1,1,0.4456689647800759,1.0037037037037038,0.7331408239772438,3.153267191435197
114,0.05333333333333334,1,1,0.44389147482870406,1.3475409836065575,0.9452576186928577,3.17535735389767
115.5,0.047407407407407405,1,1,0.4384278455551183,1.0036363636363637,0.7251871210343201,3.1855814006133945
116.75,0.23272727272727273,1.75,1,0.4404856006012616,1.354032258064516,0.9450154107574468,3.206999599440388
117.5,0.32,1,1,0.43631306259877695,1.0035714285714286,0.7228386194447867,3.2166579936047324
119,0.28444444444444444,1,1,0.4380087568527407,1.3484126984126985,0.9383110329213531,3.2371089105871342
120,0.256,1,1,0.4331496755356405,1.0035087719298246,0.719348044238198,3.2461759639891685
121.25,0.28444444444444444,1.75,1,0.43560931447136103,1.3546875,0.9391911306131939,3.266084054153252
122,0.32,1,1,0.4311988190608881,1.003448275862069,0.717183081114554,3.274654421364278
122.75,0.4266666666666667,1,1,0.4354717352743657,1.3492307692307692,0.9355875222290637,3.293825492774196
125,0.21333333333333335,1,1,0.42750618370957355,1.0033898305084745,0.7131206983597442,3.3018327992569954
126.062,0.19323671497584555,1.75,1,0.4318015076940851,1.3553030303030305,0.9346996802270465,3.320432519273974
127.562,0.24980483996877464,1,1,0.424544494647227,1.0033333333333334,0.7098581343657702,3.3279422495693383
128.812,0.23272727272727153,1,1,0.42883025045577444,1.35,0.9275791259552671,3.34570044406269
129.562,0.31999999999999773,1,1,0.4228306504726822,1.0032786885245901,0.7079575937755423,3.352803161531906
131.062,0.28444444444444444,1.75,1,0.42670692977913727,1.3558823529411765,0.9285254664943552,3.3701340180743613
132.062,0.256,1,1,0.4201398335295745,1.0032258064516129,0.704994191144265,3.4031806207842488
133.312,0.28444444444444444,1,1,0.42464515462935915,1.3507246376811595,0.9226702273464551,3.446430787691114
134.062,0.32,1,1,0.4185503123624384,1.0031746031746032,0.703232154499194,3.4790410417668562
134.812,0.4266666666666667,1.75,1,0.4246740333727492,1.3564285714285715,0.9262538697703928,3.5221335350397283
135.562,0.4266666666666667,1,1,0.418677130398442,1.003125,0.7033406650969053,3.5542169349647423
136.562,0.3657142857142857,1,1,0.42384361439164414,1.3514084507042254,0.9220674268453852,3.5965911983487437
138.062,0.256,1,1,0.41617440531538913,1.0030769230769232,0.7005863960400242,3.6278511245946325
139.562,0.21333333333333335,1.75,1,0.42091986048805646,1.3569444444444445,0.9217455447155755,3.6698347547492927
140.812,0.23272727272727273,1,1,0.41339490330647827,1.0030303030303032,0.6975323563301599,3.7005053273632593
141.562,0.32,1,1,0.4195373966457543,1.3520547945205479,0.9169404054168594,3.7417748985252643
143.062,0.28444444444444444,1,1,0.4114702695921196,1.0029850746268658,0.6954103781269211,3.7713476573701272
144.062,0.256,1.75,1,0.4173274318262171,1.3574324324324325,0.9174201338976937,3.8118718213550484
145.312,0.28444444444444444,1,1,0.4096022427517126,1.0029411764705882,0.693351149517436,3.8404016592354724
146.062,0.32,1,1,0.4160297327352009,1.3526666666666667,0.9128084650172913,3.880023497634889
146.812,0.4266666666666667,1,1,0.4098495532432337,1.0028985507246377,0.6935950501626095,3.9075834633216813
150.094,0.15873015873015942,1.75,1,0.4126442120246082,1.3578947368421053,0.9116626168623652,3.9465847239709206
151.594,0.4266666666666667,1,1,0.4128263218251544,1.3532467532467534,0.9090409327245531,3.983488162719903
152.812,0.10666666666666667,1,1,0.40551836914928274,1.002857142857143,0.688857354932019,4.011193172534826
153.562,0.8533333333333334,1,1,0.4118256221659595,1.0028169014084507,0.6956973488022483,4.036604305001651
155.062,0.18454440599769226,1.75,1,0.4098996305965972,1.3583333333333334,0.908385204526549,4.073824378879885
156.094,0.2527646129541882,1,1,0.4096164414824627,1.0027777777777778,0.6932697897193657,4.098393765391623
157.312,0.5254515599343109,1,1,0.41120322392700853,1.0027397260273974,0.6949741341283519,4.124939547073355
158.062,0.8533333333333334,1,1,0.41717795513520217,1.0027027027027027,0.7014560601859863,4.148759108562754
158.812,0.23546725533480345,1,1,0.41034741850786355,1.349375,0.9034723133056102,4.184382993301251
159.562,0.8533333333333334,1,1,0.41581638041928914,1.3450617283950617,0.9078476104979333,4.2170944883803285
160.594,0.2527646129541882,1,1,0.4149857772394553,1.0026666666666666,0.6990479328594551,4.242416995642698
162.094,0.2527646129541882,1,1,0.41382794423069036,1.3408536585365853,0.9027103785657414,4.273538144206669
163.594,0.4266666666666667,1,1,0.4139826276335334,1.3367469879518072,0.9003840670610572,4.307236474627678
164.812,0.1517306780464669,1,1,0.41152189435533704,1.0026315789473685,0.6952567818189359,4.327219334482874
165.562,0.8533333333333334,1,1,0.417259705251155,1.0025974025974027,0.7014822736399139,4.3506495263074285
167.062,0.18454440599769226,1.75,1,0.4112512202331068,1.3416666666666668,0.8999081472481304,4.378916557620444
168.094,0.2527646129541882,1,1,0.4151507938114503,1.0025641025641026,0.6991665155072224,4.4014348395111424
169.312,0.5254515599343109,1,1,0.41500824532877884,1.333720930232558,0.8998328082582736,4.428630284383942
170.062,0.8533333333333334,1,1,0.42004646473112983,1.3298850574712644,0.9038829353788108,4.459569344801715
170.812,0.23546725533480345,1,1,0.4128763186408599,1.0025316455696203,0.6966715188663721,4.475220077478086
173.062,0.21333333333333335,1.75,1,0.41769745187433677,1.334659090909091,0.9038400575324218,4.504787674960563
174.094,0.1950030469226092,1,1,0.4101529027443817,1.0025,0.6936889564695322,4.519015905197486
175.594,0.4266666666666667,1,1,0.41035677637305185,1.002469135802469,0.6938925063149807,4.537765094232176
176.812,0.17066666666666666,1,1,0.4149218250742505,1.3308988764044944,0.8979869853990226,4.5600819970389805
177.562,0.8533333333333334,1,1,0.4197930640549071,1.3272222222222223,0.901915699657921,4.587536614770915
179.062,0.4266666666666667,1,1,0.4198685981495418,1.3236263736263736,0.8997903733162675,4.608454925970014
180.094,0.14222222222222222,1,1,0.4070868427858466,1.002439024390244,0.6903168565436211,4.624504529571514
181.312,0.28444444444444444,1.75,1,0.41839659647883426,1.3282608695652174,0.9007830926574559,4.643658395690506
182.062,0.8533333333333334,1,1,0.42307333558479654,1.324731182795699,0.9045347488545348,4.668826459574615
182.812,0.23546725533480345,1,1,0.4050191369129425,1.002409638554217,0.6880500928678357,4.676827189529357
183.562,0.8533333333333334,1,1,0.4103562106798519,1.0023809523809524,0.6938396120983769,4.690559657505037
184.594,0.6201550387597007,1,1,0.4128244321866736,1.0023529411764707,0.6965088777874219,4.696963745757293
186.094,0.15873015873015942,1,1,0.4202611741288962,1.3212765957446808,0.8988361494668392,4.718881856809539
187.594,0.4266666666666667,1,1,0.42032860036613584,1.3178947368421052,0.8968323731424145,4.739068135175781
188.812,0.1517306780464669,1,1,0.4097884583013224,1.0023255813953489,0.6931890376770381,4.744084280964645
189.562,0.8533333333333334,1,1,0.41488667525571316,1.0022988505747126,0.698721140142492,4.747284094278038
191.062,0.18454440599769226,1.75,1,0.4178725150081312,1.3223958333333334,0.8965011660440794,4.766363487701332
192.094,0.2527646129541882,1,1,0.4130443790931958,1.0022727272727272,0.6967005781325702,4.7679327394903614
193.312,0.5254515599343109,1,1,0.4143073811251184,1.002247191011236,0.6980599129237143,4.76740455266325
194.062,0.3252032520325174,1,1,0.41899101766911045,1.3158163265306122,0.8938595516426147,4.785280383550868
194.812,0.4266666666666667,1,1,0.4144447065200245,1.0022222222222223,0.6981945159486633,4.783163587173975
196.594,0.2527646129541882,1,1,0.4173119630760304,1.3126262626262626,0.8897741046414963,4.787783658149413
197.062,0.28444444444444444,1,1,0.4130161322115016,1.0021978021978022,0.6966253189712396,4.795318879732903
198.094,0.4266666666666667,1.75,1,0.41740551011193683,1.317,0.8925854165575922,4.798418817399367
198.75,0.37914691943128226,1,1,0.4126479885943252,1.0021739130434784,0.696210517156384,4.789990886528508
199.5,0.4551920341394007,1,1,0.41777963411220875,1.3138613861386137,0.8911249344601678,4.805532738450135
200.25,0.4266666666666667,1,1,0.4127987270682214,1.0021505376344086,0.6963606601448604,4.797334093458069
201,0.4266666666666667,1.75,1,0.41786676188235056,1.3181372549019608,0.8938693356089281,4.797991172625374
202.125,0.5688888888888889,1,1,0.41933299612513253,1.3150485436893202,0.8938177774215875,4.812533649227816
203.25,0.5688888888888889,1,1,0.4207710335555533,1.3120192307692307,0.8937615495034366,4.813401524013438
204.75,0.14222222222222222,1,1,0.4099202536124129,1.0021276595744681,0.6932151487943692,4.80449304109044
205.5,0.28444444444444444,1,1,0.4194726850878285,1.309047619047619,0.890292124130223,4.817729797620048
206.25,0.4266666666666667,1,1,0.410096531644563,1.0021052631578948,0.693393657207979,4.809039137908117
207,0.4266666666666667,1.75,1,0.4195405528385723,1.3132075471698113,0.8929438444641943,4.809350123348476
207.562,0.4878048780487761,1,1,0.41090599358627355,1.0020833333333334,0.6942613256276347,4.812242828988948
208.172,0.5460750853242334,1,1,0.4207231185627373,1.3102803738317756,0.8926272262075303,4.812742148474418
209.438,0.34115138592750965,1,1,0.4101868739196884,1.002061855670103,0.6934662165295775,4.803574286334225
210.75,0.24825446082234262,1.75,1,0.41912618654662254,1.3143518518518518,0.8931269452963543,4.8160095084158225
211.5,0.3103782735208518,1,1,0.4091684188135778,1.0020408163265306,0.6923457819340869,4.8185971227521485
212.25,0.4266666666666667,1,1,0.41919536526332024,1.3114678899082568,0.8914354960675817,4.819120048569802
213,0.4266666666666667,1,1,0.4093451687918918,1.002020202020202,0.6925258515475803,4.821617772248314
214.125,0.3413333333333333,1.75,1,0.4184875286094113,1.3154545454545454,0.8930005290929646,4.821896788264692
215.25,0.28444444444444444,1,1,0.4080961615484173,1.002,0.6911552099250318,4.824237444315514
222.75,0.08533333333333333,1,1,0.40490048998193134,1.001980198019802,0.6876676629058487,4.815076782796312
223.5,0.06826666666666667,1,1,0.4153323857090262,1.3126126126126125,0.8872671294079228,4.826522426203522
224.25,0.4266666666666667,1,1,0.4051138838709974,1.0019607843137255,0.6878882928681713,4.8170717862599615
225,0.4266666666666667,1.75,1,0.41543358464614805,1.316517857142857,0.8897949904552601,4.82855281996414
226.125,0.3413333333333333,1,1,0.40449465522500067,1.0019417475728156,0.6872036095470037,4.819250256335214
227.25,0.5688888888888889,1,1,0.4060753690102303,1.001923076923077,0.6889117451519984,4.821236078254122
228.75,0.17066666666666666,1,1,0.41326750572597565,1.3137168141592919,0.8853363580548784,4.820935924435746
229.5,0.28444444444444444,1,1,0.40491697925246095,1.0019047619047619,0.6876410910873145,4.822787342899132
230.25,0.4266666666666667,1.75,1,0.4133850422254554,1.3175438596491227,0.887832374538537,4.822779402011083
231,0.4266666666666667,1,1,0.40512216498278353,1.0018867924528303,0.687853638187209,4.824569616956232
231.563,0.4874333587204918,1,1,0.4140289406297602,1.314782608695652,0.8869528306766941,4.824249188605416
232.312,0.4878048780487761,1,1,0.40589490061891426,1.0018691588785047,0.6886836282348082,4.82601055260559
233.438,0.3413333333333333,1.75,1,0.41340225435996336,1.3185344827586205,0.8884619129307088,4.825752848942836
234.75,0.26251025430681013,1,1,0.4045672650049132,1.0018518518518518,0.6872295570289739,4.826874658036019
235.5,0.3103782735208518,1,1,0.4125217075151847,1.3158119658119658,0.8856774718434711,4.825705608243652
236.156,0.4551920341394007,1,1,0.40503171242816544,1.001834862385321,0.68772462663448,4.826305629195195
237,0.4266666666666667,1.75,1,0.4126415800503667,1.3194915254237287,0.8880848084641031,4.82492071846644
238.25,0.3056351480420257,1,1,0.40412810729738236,1.001818181818182,0.6867321249123568,4.824953577211788
239.25,0.28444444444444444,1,1,0.4115642931965355,1.3168067226890756,0.885074639316208,4.822698132114827
241.5,0.19692307692307692,1,1.2,0.40226139531202826,1.0036036036036036,0.6857531759272525,4.822187012954046
243,0.4266666666666667,1,2.4,0.40247929952055184,1.0160714285714285,0.6933379739896673,4.810654284319572
