_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
12,0,1,1.2,0,0,0,0.0
26,0.06095238095238095,1,1,0.0019047619047619048,0.06875,0.0030016473629099812,0.009004942088729944
27,0.8533333333333334,1,1,0.028571428571428574,0.1,0.017579473850904515,0.04116224242762899
27.5,0.5688888888888889,1,1,0.019682539682539683,0.1,0.014298617391679836,0.0523196079082415
28,0.8533333333333334,1,1,0.05523809523809524,0.13125,0.033468008329219014,0.082017296321656
29.5,0.4266666666666667,1,1,0.03301587301587301,0.13125,0.024591439203311524,0.09293918613802486
36,0.13128205128205128,1,1,0.03711843711843712,0.1625,0.032113855422566034,0.10718832133764934
37.5,0.5688888888888889,1,1,0.0548962148962149,0.19375,0.04718249006082732,0.12917664871606369
42,0.18962962962962962,1.75,1,0.10082214082214083,0.2796875,0.09440174451113477,0.17775818408836866
44,0.13128205128205128,1,1,0.058998778998779,0.225,0.05649937553779965,0.19388199100221154
45.5,0.5688888888888889,1,1,0.07677655677655679,0.25625,0.07412172933794337,0.21668638964088877
49,0.2438095238095238,1,1,0.13955229955229956,0.3734375,0.14892650631869006,0.273092443663493
49.75,0.2007843137254902,1,1,0.08305106658047835,0.2875,0.08624113151238043,0.2918889317720153
50,0.8533333333333334,1.75,1,0.16621896621896623,0.428125,0.18724012529773126,0.35128549034447054
51,0.8533333333333334,1,1,0.1928856328856329,0.459375,0.21881510554676403,0.4153924998735447
51.5,0.4876190476190476,1,1,0.0982891618185736,0.31875,0.1045747596447496,0.42864600349822923
52,0.8533333333333334,1,1,0.21955229955229957,0.490625,0.25185748899211763,0.4923224111720219
55,0.2438095238095238,1,1,0.1059082094376212,0.35,0.11900285819412021,0.5046387855049497
58,0.28444444444444444,1,1,0.1147970983265101,0.38125,0.13490284164283245,0.5206797467866362
60,0.4266666666666667,1,1,0.12813043165984342,0.4125,0.1546148869742247,0.5410302255395718
61.5,0.5688888888888889,1,1,0.1459082094376212,0.44375,0.1784310739170133,0.5662471882996912
66,0.18962962962962962,1,1,0.25747822547822546,0.615625,0.33860340691636837,0.6328550634450786
66.5,0.17066666666666666,1.6,1,0.15124154277095453,0.49374999999999997,0.20082463398890305,0.657728660857615
67,0.8533333333333334,1,1,0.28414489214489214,0.646875,0.37661788899567533,0.7244777722374666
67.5,0.8533333333333334,1,1,0.1779082094376212,0.525,0.23380971290379846,0.7516129924448794
68,0.8533333333333334,1,1,0.3108115588115588,0.678125,0.41587663252464013,0.8186763310103782
69.5,0.4266666666666667,1,1,0.19124154277095454,0.55625,0.25722978497364957,0.84551715985599
72,0.21333333333333335,1.75,1.7999999999999998,0.31747822547822546,0.7765624999999999,0.4727096642247274,0.9166150464807179
73.5,0.21333333333333335,1,1,0.19790820943762122,0.5875,0.27579132826479413,0.9420679058982371
75,0.28444444444444444,1.75,1,0.3263671143671144,0.8312499999999999,0.5101717171652129,1.0126999858013381
76,0.3413333333333333,1,1,0.2085748761042879,0.61875,0.2982062205004899,1.0377495773239707
77.5,0.3413333333333333,1,1,0.33703378103378107,0.8624999999999999,0.5375925964525434,1.1061185148674482
81,0.2438095238095238,1,1,0.34465282865282865,0.8937499999999999,0.5623563757826112,1.1748463857713336
81.5,0.15515151515151515,1,1,0.21342336095277276,0.65,0.31605807061119257,1.1960670339447403
82,0.8533333333333334,1.75,1.7999999999999998,0.3713194953194953,0.9921874999999999,0.6455518130707698,1.2725597152155939
82.5,0.8533333333333334,1,1,0.2400900276194394,0.68125,0.35392897531538553,1.2961989967899472
83,0.8533333333333334,1,1,0.39798616198616205,1.0234375,0.6927471399406194,1.3735039655157242
83.5,0.8533333333333334,1,1,0.26675669428610604,0.7125,0.39294131676816385,1.399402490123441
84,1.7066666666666668,1,1,0.3200900276194394,0.74375,0.45810256963905055,1.433997693398079
87,0.28444444444444444,1,1,0.3289789165083283,0.775,0.48290517171787894,1.4705835268208083
90,0.28444444444444444,1,1,0.3378678053972171,0.80625,0.508130351254968,1.5090761751307842
92,0.4266666666666667,1,1,0.3512011387305505,0.8375,0.5381938394297068,1.5500306242128665
93.5,0.5688888888888889,1,1,0.36897891650832826,0.86875,0.5733349688754766,1.5939836286091453
98,0.18962962962962962,1,1,0.3749048424342542,0.9,0.5969649595744024,1.6391610406281742
98.5,0.17066666666666666,1,1,0.46198616198616205,1.2265625,0.8908647037261425,1.7215172002221448
99,0.8533333333333334,1.3,1,0.4015715091009209,0.9406249999999999,0.6481187241911534,1.768630138155292
99.5,0.8533333333333334,1,1,0.4886528286528287,1.2578125,0.9432789450766665,1.8514182984170946
100,0.8533333333333334,1,1,0.42823817576758755,0.971875,0.6949980117167364,1.89972183533133
103,0.28444444444444444,1.3,1.5,0.43712706465647644,1.0328125000000001,0.7414920336511688,1.951746944853283
106,0.28444444444444444,1.3,2.4,0.44601595354536533,1.1303125,0.8115164015547371,2.010093974142787
108,0.4266666666666667,1.3,1.44,0.44542961151873806,1.152787878787879,0.8248132302711966,2.0677172174267944
109.5,0.5688888888888889,1,1,0.44906076673550716,1.148294117647059,0.8262432290446973,2.123289181981437
114,0.18962962962962962,1,1,0.4416484485324821,1.1440571428571429,0.8149871030224058,2.1754898128522484
114.5,0.17066666666666666,1,1,0.5020702182807446,1.3592105263157894,1.0266987680003965,2.249280605355029
115,0.8533333333333334,1.3,2.4,0.4530841397769501,1.1989444444444446,0.8627313245095717,2.3025007388405268
115.5,0.8533333333333334,1,1,0.5110769648205545,1.3499999999999999,1.0319548923569741,2.371951249828051
116,0.8533333333333334,1.3,1.2,0.4639016855487443,1.2087027027027029,0.8818030932945314,2.423159448248035
119,0.28444444444444444,1,1,0.4591791265723154,1.2032105263157897,0.8726835681591937,2.4716584475705714
122,0.28444444444444444,1,1,0.45469875010749816,1.198,0.8640572116594779,2.517636156424577
124,0.4266666666666667,1,1,0.4539979480214774,1.19305,0.8601056236199904,2.5616861161794993
125.5,0.5688888888888889,1,1,0.45680016609141433,1.188341463414634,0.8604601554125549,2.604326686938447
128.5,0.28444444444444444,1,1,0.4526964584331531,1.183857142857143,0.8527807741324098,2.644848589484511
