_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
10,0,1,1.2,0,0,0,0.0
12,0.5,1,1,0.015625,0.06875,0.00881290169740506,0.02643870509221518
13,0,1,1,0,0,0,0.01762580339481012
15,0.5,1,1,0.015625,0.0625,0.008052940675034493,0.02529876355865933
16,0.25,1,1,0.0234375,0.1,0.015724172578278465,0.03910801794086162
18,0.3333333333333333,1,1,0.026041666666666664,0.09375,0.015701670975616085,0.048291685926334114
20,0.25,1,2.4,0.03125,0.17500000000000002,0.03142528962674808,0.06832883618835615
22,0.25,1,1.7999999999999998,0.033854166666666664,0.15,0.028293447406941116,0.08100781722001749
24,0.5,1,1,0.049479166666666664,0.18125,0.04179237053598419,0.09986852899733832
28,0.25,1.75,1,0.046875,0.2609375,0.05739895110019296,0.12432104675772027
29,0.2,1,1,0.05572916666666666,0.2125,0.05186135830599233,0.14130714703755967
30,0.5,1,1,0.0625,0.2921875,0.07469930770941338,0.16688120530580308
31,0.5,1,1,0.07135416666666666,0.24375,0.06784345762371799,0.1853565545701496
33,0.3333333333333333,1,1,0.07291666666666666,0.3234375,0.08953005761499146,0.21048682536442095
40,0.1111111111111111,1,1,0.07482638888888889,0.275,0.07795959048554237,0.22763820653434313
42.5,0.4,1,1,0.08732638888888888,0.30625,0.09410739767373708,0.24870109275359809
43.5,0.2857142857142857,1.75,1,0.08630952380952381,0.409375,0.12291208035711144,0.27745235095295523
45.875,0.2962962962962963,1,1,0.09658564814814814,0.3375,0.10909966069866481,0.2984048850217904
52,0.16326530612244897,1,1,0.10168768896447468,0.36875,0.12197799948408465,0.3212187330156176
56,0.25,1,1,0.10950018896447468,0.4,0.13723326639893682,0.3463277762845179
60,0.06060606060606061,1,1,0.0882034632034632,0.440625,0.13345765856584071,0.36796673700406674
61,0.2,1,1,0.11575018896447468,0.43125,0.151913316012782,0.39267188059827696
62,0.5,1.75,1,0.1038284632034632,0.4953125,0.16307056269072376,0.41813933692636673
63,0.5,1,1,0.1313751889644747,0.4625,0.17426828811358844,0.4442839365828319
65,0.5,1,1,0.14700018896447467,0.49375,0.19751853964878305,0.47391702863522656
68,0.16666666666666666,1,1,0.10903679653679654,0.5265625,0.17756340480136462,0.496665620949571
70,0.5,1.75,1,0.12466179653679652,0.5812499999999999,0.20989163230363736,0.5249131829078026
71,0.16666666666666666,1,1,0.15220852229780799,0.525,0.21325748496240893,0.5518643160101829
