_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
4,0,1,1,0,0,0,0.0
4.333,0,1,1,0,0,0,0.0
4.5,0.8333333333333334,1,1,0.026041666666666668,0.0625,0.010926385308310855,0.02185277061662171
4.833,0.8333333333333334,1,1,0.026041666666666668,0.0625,0.010926385308310855,0.032779155924932565
5.333,0.5002000800320127,1,1,0.041672919167667064,0.09375,0.020943648776690735,0.05135570327197493
5.5,0.6246876561719142,1,1,0.04556315592203899,0.09375,0.022249642479021527,0.06504606187233397
5.833,0.8333333333333334,1,1,0.06771458583433373,0.125,0.0369936444973907,0.087462605459764
6,0.8333333333333334,1,1,0.07160482258870565,0.125,0.03854816758051391,0.10544090546267894
6.333,0.8333333333333334,1,1,0.0937562525010004,0.15625,0.055795255081071124,0.13092208602087316
6.833,0.5002000800320127,1,1,0.08723607508970606,0.15625,0.05285513320030005,0.14954295733896586
7.333,0.4166666666666667,1,1,0.10677708583433373,0.1875,0.07050733600598731,0.17440668994778022
7.5,0.6246876561719142,1,1,0.10675756434507838,0.1875,0.07049773426577564,0.19512166625168634
8.333,0.5002000800320127,1,1,0.12238881684607877,0.21875,0.08769128211258305,0.2205852067458257
8.5,0.3570408454727222,1,1,0.1179346122553563,0.21875,0.08534434723898737,0.24140526936640416
8.833,0.8333333333333334,1,1,0.14843048351274543,0.25,0.11201369341397475,0.2701170621075671
9,0.8333333333333334,1,1,0.14397627892202297,0.25,0.10946700888795755,0.2942848740588282
9.5,0.6246876561719142,1,1,0.16795197276811774,0.28125,0.13424913434194208,0.3243560465289944
10,0.4166666666666667,1,1,0.15699711225535629,0.28125,0.12762600186192893,0.34887826678691547
10.5,0.4166666666666667,1,1,0.18097280610145106,0.3125,0.15362354734690428,0.37902895190767916
11,0.4166666666666667,1,1,0.17001794558868963,0.3125,0.14668971008793752,0.40408441733867645
11.333,0.5002000800320127,1,1,0.19660405860245145,0.34375,0.1755873047464356,0.4350101035834354
11.5,0.8333333333333334,1,1,0.19605961225535626,0.34375,0.17522445194439604,0.46302540395084174
11.833,0.8333333333333334,1,1,0.2226457252691181,0.375,0.20578229480159307,0.49657620242295986
12.333,0.8333333333333334,1,1,0.24868739193578476,0.40625,0.23753591297320592,0.5352695055653047
12.5,0.4166666666666667,1.75,1,0.2090804455886896,0.3984375,0.2057471897181983,0.5632380508750602
12.833,0.8333333333333334,1,1,0.27472905860245145,0.4375,0.2707772600982047,0.6040621089409897
