_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
35.5,0,1,1.2,0,0,0,0.0
36,0.7333333333333333,1,1,0.022916666666666665,0.06875,0.010970518943041373,0.03291155682912412
37.5,0.24444444444444444,1,1,0.030555555555555555,0.1,0.018277951329432336,0.05849694054494742
37.75,0,1.6,1,0,0,0,0.04387270540871056
38.75,0.29333333333333333,1.75,1,0.03972222222222222,0.1546875,0.03183014423823477,0.07329433741285017
39,0.29333333333333333,1,1,0.009166666666666667,0.08125,0.007828446687964114,0.0689070611986726
39.25,0.7333333333333333,1,1,0.06263888888888888,0.1859375,0.04910570984376961,0.10115380375066474
39.5,0.7333333333333333,1,1,0.03208333333333333,0.1125,0.02095422045186531,0.10422524362073064
39.75,0.7333333333333333,1.75,1,0.08555555555555555,0.240625,0.07469903365267647,0.142444016764656
40,0.7333333333333333,1,1,0.05499999999999999,0.14375,0.03609568447196977,0.14985702577137225
40.5,0.4888888888888889,1,1,0.10083333333333333,0.271875,0.09207826645970554,0.18645816877017782
41,0.36666666666666664,1,1,0.06645833333333333,0.175,0.048257783293114094,0.1950488796858867
41.5,0.36666666666666664,1.75,1,0.11229166666666666,0.3265625,0.11571974884758035,0.2334542345627786
42,0.36666666666666664,1.3,2.4,0.07791666666666666,0.2725,0.07911278091173361,0.25068440962760885
43,0.24444444444444444,1,1,0.11993055555555555,0.3578125,0.1306892688678902,0.286247823199591
43.5,0.24444444444444444,1,1,0.08555555555555555,0.30375,0.09230356800708267,0.3029711722522726
44,0.7333333333333333,1,1,0.10847222222222222,0.335,0.11597242557690829,0.326080782911636
45.5,0.24444444444444444,1,1,0.11611111111111111,0.36625,0.13092143148193558,0.35160566102163476
46,0.12222222222222222,1,1,0.12375,0.3890625,0.143621400952377,0.37845422653177296
46.5,0.7333333333333333,1,1,0.14666666666666667,0.4203125,0.17048600319639037,0.41067731616410147
46.75,0.29333333333333333,1,1,0.12527777777777777,0.3975,0.14751558109214088,0.4332685623730893
47,0.7333333333333333,1,1,0.1695833333333333,0.4515625,0.19863655014533096,0.4677481413957663
47.75,0.4888888888888889,1,1,0.1848611111111111,0.4828125,0.22228351843298255,0.5053982704915111
48,1.4666666666666666,1,1,0.23069444444444442,0.5140625,0.27063058564491765,0.5519976556322609
48.75,0.18333333333333332,1,1,0.13100694444444444,0.42875,0.16226831114126045,0.5688621440808731
49,1.4666666666666666,1,1,0.17684027777777778,0.46,0.20724294320348774,0.5948081254324136
49.5,0.24444444444444444,1,1,0.2383333333333333,0.5453125,0.29053426522548065,0.6373413649109494
50,0.7333333333333333,1.3,2.4,0.2612499999999999,0.6428125,0.35465657646721466,0.6905770111213899
51,0.18333333333333332,1,1,0.18256944444444442,0.49125,0.22392898095839756,0.7130941447292863
51.5,0.24444444444444444,1,1,0.26888888888888884,0.6740625,0.37631558890960504,0.7645874576868977
52,0.7333333333333333,1,1,0.29180555555555543,0.7053125,0.4123234717418331,0.8197278890663849
53,0.36666666666666664,1,1,0.3032638888888888,0.7365625,0.4386557949621423,0.8763593540884624
53.5,0.14666666666666667,1,1,0.18715277777777775,0.5225000000000001,0.24010231484603073,0.8934579763608176
53.75,0.4888888888888889,1.75,1,0.31854166666666656,0.79125,0.48140784190212765,0.9521341256270512
54,0.7333333333333333,1,1,0.2100694444444444,0.5537500000000001,0.27145107854431083,0.9714647640738745
54.25,0.7333333333333333,1,1,0.3414583333333332,0.8225,0.520394676170795,1.031212077766955
54.5,0.7333333333333333,1,1,0.23298611111111106,0.5850000000000001,0.3039420125092427,1.0526293749909685
54.75,0.7333333333333333,1.75,1,0.3643749999999999,0.8771875,0.5733663589960767,1.115460132332692
55,0.7333333333333333,1,1,0.25590277777777776,0.6162500000000001,0.337551162174858,1.1387895385049087
55.5,0.4888888888888889,1,1,0.3796527777777776,0.9084375,0.6066576261049038,1.2013184439580216
56,0.36666666666666664,1,1,0.26736111111111105,0.6475000000000001,0.3622213606191054,1.2250259980984266
56.5,0.36666666666666664,1.75,1,0.39111111111111097,0.963125,0.6500968634959696,1.2887296929288408
57,0.36666666666666664,1,1,0.2788194444444444,0.6787500000000001,0.387463619087663,1.3128239259892394
57.5,0.36666666666666664,1.6,1,0.40256944444444426,1.013125,0.691699005340248,1.3773096102176992
58,0.36666666666666664,1.3,2.4,0.2902777777777777,0.7762500000000001,0.44650879892298473,1.406237236513704
59,0.36666666666666664,1,1,0.30173611111111104,0.8075000000000001,0.47351914956745567,1.4374302291417695
59.5,0.7333333333333333,1,1,0.32465277777777773,0.8387500000000001,0.5124567814970282,1.4722666219043312
60,0.14666666666666667,1,1,0.4071527777777776,1.044375,0.7152512997836353,1.5310008130876127
61,0.36666666666666664,1,1,0.41861111111111093,1.075625,0.7467767841561962,1.5911979537376038
61.5,0.18333333333333332,1,1,0.3303819444444444,0.8700000000000001,0.5349093563197991,1.6235631174212275
61.75,0.4888888888888889,1.75,1,0.43388888888888866,1.1303125,0.7975104597190751,1.6855533064583497
62,0.7333333333333333,1,1,0.35329861111111105,0.9012500000000001,0.5753833932745042,1.7195292113273624
