_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
16,0,1,1.2,0,0,0,0.0
18,0.21666666666666667,1,1,0.0067708333333333336,0.06875,0.005684467455834195,0.017053402367502586
20,0.10833333333333334,1,1,0.0033854166666666668,0.06875,0.004005019835120797,0.019378974581909986
22,0.10833333333333334,1.3,3.0,0.01015625,0.19062500000000002,0.019238095355224975,0.04339137396926995
23,0.14444444444444443,1.3,3.0,0.007899305555555555,0.19062500000000002,0.016956916296362035,0.055061398731050405
24,0.21666666666666667,1,1,0.016927083333333336,0.22187500000000002,0.028950738131899943,0.07483523707444192
26,0.14444444444444443,1,1,0.012413194444444444,0.22187500000000002,0.024758753067882885,0.08536627726484983
28,0.10833333333333334,1,1,0.0203125,0.253125,0.036191833131252016,0.10183936745518264
30,0.21666666666666667,1.3,3.0,0.027083333333333338,0.375,0.061874546972714904,0.1317735801641945
31,0.08666666666666667,1.3,3.0,0.015121527777777777,0.34375,0.042311686932556804,0.14398323430730914
33,0.14444444444444443,1,2.25,0.03159722222222222,0.4453125,0.07935601532997023,0.1741789486411739
34,0.14444444444444443,1,1,0.01963541666666667,0.375,0.052619396571508055,0.18597373454016342
36,0.14444444444444443,1,1,0.03611111111111111,0.4765625,0.09082042375808118,0.21358518131003448
38,0.10833333333333334,1.75,2.25,0.02302083333333333,0.498046875,0.07564743008322289,0.23074942410927043
40,0.21666666666666667,1.75,1,0.029791666666666668,0.552734375,0.09554188117156488,0.2535828816372784
42,0.21666666666666667,1,1,0.04626736111111111,0.6296875000000001,0.13580996083430447,0.2886626868478126
44,0.10833333333333334,1,1,0.03317708333333333,0.583984375,0.10654180635298816,0.30928551927546655
46,0.10833333333333334,1.3,3.0,0.04965277777777778,0.7515625,0.16783502702499412,0.34804799943516085
48,0.21666666666666667,1,1,0.05642361111111112,0.7828125,0.186428971647836,0.38860199051157424
49,0.08666666666666667,1,1,0.03588541666666666,0.615234375,0.11674468167429553,0.40419529548828415
50,0.21666666666666667,1.75,1,0.06319444444444446,0.8375,0.2111334831375548,0.44527175279004816
52,0.14444444444444443,1.3,1,0.04039930555555555,0.655859375,0.13207482177280316,0.461052533601265
54,0.21666666666666667,1.3,3.0,0.047170138888888886,0.777734375,0.16922408890067045,0.4851521857666023
56,0.21666666666666667,1,1,0.05394097222222222,0.808984375,0.18830540605140592,0.512013862872512
