_Time,C Swing Speed degree/ms,C Angle Diff,C Pos Diff,C Stamina,C Pattern Diff,C CombinedDiff,C SmoothedDiff
6,0,1,1.2,0,0,0,0.0
7.5,0,1,1.2,0,0,0,0.0
9.5,0.2833333333333333,1,1,0.008854166666666666,0.06875,0.006522568953462778,0.013045137906925556
11.5,0.2833333333333333,1,1,0.017708333333333333,0.1,0.013514303617701213,0.03005530885674599
13,0.08095238095238096,1.75,1,0.002529761904761905,0.0921875,0.0046384760633121575,0.029610418361371377
14,0.22666666666666666,1,1,0.024791666666666667,0.13125,0.0210312343070631,0.04570658294153925
15.5,0.22666666666666666,1,1,0.009613095238095238,0.1234375,0.012139247454068273,0.04958214033909216
17.5,0.2833333333333333,1.75,1,0.018467261904761906,0.178125,0.024335917457654677,0.061636310889946644
19.5,0.2833333333333333,1,1,0.027321428571428573,0.209375,0.03490140632625021,0.07805543611967493
21,0.08095238095238096,1,1,0.02732142857142857,0.1625,0.027236938875932225,0.08659205583326678
22,0.22666666666666666,1.75,1,0.0344047619047619,0.2640625,0.04939366628155724,0.10566205054745557
23.5,0.22666666666666666,1,1,0.0344047619047619,0.19375,0.03649995888934092,0.11510685911317141
25.5,0.2833333333333333,1,1,0.04325892857142857,0.225,0.04765433035675302,0.12824679165373654
27.5,0.2833333333333333,1,1,0.052113095238095236,0.25625,0.0596949325162852,0.1446698490425918
29,0.08095238095238096,1,1,0.036934523809523806,0.2953125,0.05719637146808255,0.15790374102698537
30,0.22666666666666666,1,1,0.059196428571428567,0.2875,0.07141702835919538,0.17481614284749708
31.5,0.22666666666666666,1.75,1,0.044017857142857136,0.35,0.07400996727727452,0.19065400524844708
33.5,0.2833333333333333,1,1,0.052872023809523806,0.38125,0.08850329044665689,0.20956321288353008
35.5,0.2833333333333333,1.75,1,0.06172619047619047,0.4359375,0.10938794458837889,0.23307713154914816
37,0.08095238095238096,1,1,0.06172619047619046,0.31875,0.08066388133684702,0.24562243937274486
38,0.22666666666666666,1,1,0.0688095238095238,0.4671875,0.12387271231753186,0.2693183362552424
39.5,0.22666666666666666,1,1,0.06880952380952379,0.35,0.09356795711423582,0.28259512745661386
41.5,0.2833333333333333,1,1,0.07766369047619047,0.38125,0.10842960327845212,0.29859436624853114
43.5,0.2833333333333333,1,1,0.08651785714285713,0.4125,0.12397245529568304,0.3171460481454298
45,0.08095238095238096,1.75,1,0.0713392857142857,0.521875,0.14068607551150017,0.33822486434237253
46,0.22666666666666666,1,1,0.09360119047619046,0.44375,0.13874958672747026,0.35723535111246674
47.5,0.22666666666666666,1,1,0.07842261904761903,0.553125,0.15644645529098763,0.37877029113592825
49.5,0.2833333333333333,1.75,1,0.08727678571428571,0.6078125,0.1814056164102502,0.40411541282612723
51.5,0.2833333333333333,1,1,0.09613095238095237,0.6390625,0.20037047425937168,0.4316363587823376
53,0.08095238095238096,1,1,0.09613095238095236,0.475,0.15025946773299212,0.4473003737028582
54,0.22666666666666666,1.75,1,0.1032142857142857,0.69375,0.22533412541840933,0.4764843859224581
55.5,0.22666666666666666,1,1,0.10321428571428569,0.50625,0.16598871585853406,0.4927171330858564
57.5,0.2833333333333333,1,1,0.11206845238095237,0.5375,0.18380637066056776,0.5112056509912368
59.5,0.2833333333333333,1,1,0.12092261904761903,0.56875,0.20219742210909053,0.5318520886872163
61,0.08095238095238096,1,1,0.1057440476190476,0.725,0.23825222811724653,0.5574995538305382
62,0.22666666666666666,1,1,0.12800595238095236,0.6,0.21949849075147893,0.5785965369049363
63.5,0.22666666666666666,1.75,1,0.11282738095238093,0.7796875,0.26462328094823634,0.6058706760612738
65.5,0.2833333333333333,1,1,0.1216815476190476,0.8109375,0.28604517080127295,0.6350917378703886
67.5,0.2833333333333333,1.75,1,0.13053571428571425,0.865625,0.31628397105617606,0.6674664068054315
69,0.08095238095238096,1,1,0.13053571428571425,0.63125,0.23289417233177864,0.6857138724850624
70,0.22666666666666666,1,1,0.13761904761904759,0.896875,0.33660812946139873,0.7182488701505095
71.5,0.22666666666666666,1,1,0.13761904761904759,0.6625,0.2510143971447974,0.7370069061676112
73.5,0.2833333333333333,1,1,0.14647321428571428,0.69375,0.27136405672114083,0.7577319627759656
75.5,0.2833333333333333,1,1,0.1553273809523809,0.725,0.29221819838646285,0.780358717947393
77,0.08095238095238096,1.75,1,0.14014880952380948,0.9515625,0.36007425461643583,0.8110273137196423
78,0.22666666666666666,1,1,0.16241071428571424,0.75625,0.3117192932890093,0.834055323415608
79.5,0.22666666666666666,1,1,0.1472321428571428,0.9828125,0.38132155422935404,0.8649888128190231
81.5,0.2833333333333333,1.75,1,0.1560863095238095,1.0375,0.41450572961481313,0.898781428753812
83.5,0.2833333333333333,1,1,0.16494047619047614,1.06875,0.4391886363313986,0.9342171509830888
85,0.08095238095238096,1,1,0.16494047619047614,0.7875,0.32676617379094297,0.9547447488183403
86,0.22666666666666666,1.75,1,0.17202380952380947,1.1234375,0.4713850274866667,0.9914813256046474
87.5,0.22666666666666666,1,1,0.17202380952380947,0.81875,0.34699710508428694,1.0124525045450525
89.5,0.2833333333333333,1,1,0.18087797619047616,0.85,0.36959720509616617,1.0351908201305609
91.5,0.2833333333333333,1,1,0.1897321428571428,0.88125,0.39265291358601523,1.05964872126733
93,0.08095238095238096,1,1,0.17455357142857136,1.1546875,0.48790501455672297,1.0936083824686573
94,0.22666666666666666,1,1,0.19681547619047612,0.9125,0.4141298659959847,1.118450718424144
95.5,0.22666666666666666,1.75,1,0.1816369047619047,1.209375,0.5212029315258399,1.1536922424720546
97.5,0.2833333333333333,1,1,0.19049107142857138,1.240625,0.5478199773740928,1.190472029054339
99.5,0.2833333333333333,1.75,1,0.19934523809523802,1.2953125,0.5851410068989124,1.2298004021448325
101,0.08095238095238096,1,1,0.19934523809523802,0.94375,0.4306638191449906,1.2523701106902512
102,0.22666666666666666,1,1,0.20642857142857135,1.3265625,0.6099695878928811,1.2918364617831533
103.5,0.22666666666666666,1,1,0.20642857142857135,0.975,0.4528053123304048,1.3148202587541094
105.5,0.2833333333333333,1,1,0.21528273809523804,1.00625,0.47745137667953214,1.3394216556005074
107.5,0.2833333333333333,1,1,0.21734487734487726,1.006060606060606,0.4798483658913884,1.3634789765340671
109,0.08095238095238096,1.75,1,0.20895833333333325,1.38125,0.6385807331190513,1.4014482907214556
110,0.22666666666666666,1.3,2.4,0.21761904761904755,1.0682352941176472,0.5085635723349373,1.4264472777409731
111.5,0.22666666666666666,1,1,0.2094949494949494,1.3696969696969699,0.6342093408648949,1.4619518862103527
113.5,0.2833333333333333,1.75,1,0.21166666666666661,1.3808823529411764,0.6427261391994668,1.4971637236954476
115.5,0.2833333333333333,1,1,0.21371428571428563,1.37,0.6410003787266406,1.5312048620818883
117,0.08095238095238096,1,1,0.21371428571428563,1.0662857142857145,0.5027393494688607,1.5524224511494777
118,0.22666666666666666,1.3,2.4,0.21407407407407397,1.4186111111111113,0.663796276755333,1.5866528062112035
119.5,0.22666666666666666,1,1,0.21407407407407397,1.0644444444444447,0.5023598671900319,1.6064792839463287
121.5,0.2833333333333333,1,1,0.21594594594594588,1.062702702702703,0.5039304378839304,1.6258916585128662
123.5,0.2833333333333333,1,1,0.21771929824561395,1.0610526315789475,0.5054065352265253,1.6448990578756537
125,0.08095238095238096,1,1,0.21047619047619037,1.4072972972972975,0.6528163790925037,1.6751923807647124
126,0.22666666666666666,1.3,1,0.21794871794871787,1.0671794871794873,0.5084964377974057,1.693294831370235
127.5,0.22666666666666666,1.75,1,0.21090225563909765,1.4163157894736844,0.6576019687838623,1.7225457012576755
129.5,0.2833333333333333,1,1,0.2127594627594627,1.4056410256410259,0.6557489770150803,1.7509040110119425
131.5,0.2833333333333333,1.75,1,0.21452380952380942,1.4142500000000002,0.6625271419677656,1.7790591862118745
134,0.22666666666666666,1,1,0.21481997677119619,1.4041463414634148,0.6583754904306361,1.806199108166524
136,0.056666666666666664,1,1,0.2139166666666666,1.0655000000000001,0.5026394387997437,1.8211329047669182
138,0.14166666666666666,1.3,3.0,0.21307823129251693,1.4635714285714285,0.6827126964912805,1.8488785544520498
140,0.14166666666666666,1.3,3.0,0.21215447154471537,1.1346341463414635,0.5316723631033079,1.8650370559480474
142,0.14166666666666666,1,1,0.21141749723145062,1.4527906976744185,0.6750316620417814,1.8910507811421262
144,0.14166666666666666,1,1,0.2104761904761904,1.1314285714285715,0.5279783684417213,1.9060721861951637
146,0.14166666666666666,1.75,1,0.209832251082251,1.4595454545454545,0.6754545060017034,1.9310332890999902
148,0.14166666666666666,1,1,0.208875968992248,1.128372093023256,0.5244605746194057,1.9450071989691444
150,0.14166666666666666,1,1,0.20831746031746023,1.4493333333333334,0.6683000707331596,1.9684707583490286
152,0.14166666666666666,1,1,0.20734848484848475,1.1254545454545455,0.5211066542146634,1.9814838950562077
154,0.14166666666666666,1.3,3.0,0.20686853002070385,1.502608695652174,0.6898749343989371,2.0054590696266237
156,0.14166666666666666,1.3,3.0,0.20588888888888882,1.1871111111111112,0.5466928311577094,2.0194667390477186
158,0.14166666666666666,1,1,0.20548125633232006,1.4919148936170215,0.6826698963126427,2.042037963382807
160,0.14166666666666666,1,1,0.20449275362318833,1.1830434782608696,0.5429159490786094,2.0551074013515045
162,0.14166666666666666,1.75,1,0.20415178571428563,1.4972916666666667,0.6827832088678677,2.076826463605288
164,0.14166666666666666,1,1,0.20315602836879426,1.1791489361702128,0.5393063055011766,2.089026583283202
166,0.14166666666666666,1,1,0.20287657920310972,1.4871428571428573,0.6760405154989346,2.1095184219260195
168,0.2833333333333333,1.3,2.4,0.2044857142857142,1.5198000000000003,0.6934478524767596,2.130664490925345
170,0.09444444444444446,1,1,0.2008912037037036,1.1754166666666668,0.5344713094819653,2.1416457497617367
172,0.2833333333333333,1.3,2.4,0.20257369614512463,1.2151020408163267,0.5544433439422735,2.1536155913162
174,0.09444444444444446,1,1,0.20232804232804225,1.509607843137255,0.6851067143996661,2.1731858382670177
176,0.2833333333333333,1.3,2.4,0.2038858363858363,1.540576923076923,0.7016932561723823,2.1933538946904556
178,0.09444444444444446,1,1,0.20041111111111104,1.2108,0.5494173884782165,2.2041690950451507
180,0.2833333333333333,1.3,2.4,0.20203703703703696,1.248235294117647,0.5683652894849207,2.215878052733154
182,0.09444444444444446,1,1,0.2018209044624138,1.530377358490566,0.6934667504716164,2.234579230137929
184,0.2833333333333333,1.75,1,0.20333039388594934,1.5344444444444445,0.6979625834719416,2.2531810993826307
186,0.09444444444444446,1,1,0.19996794871794862,1.2434615384615384,0.5631926103970659,2.263803500920365
188,0.2833333333333333,1,1,0.20154088050314456,1.238867924528302,0.5634802698704553,2.2742434833344056
190,0.09444444444444446,1,1,0.20135064935064925,1.5247272727272727,0.6901172412566965,2.291525520040014
191,0.1888888888888889,1,1,0.20130658436213983,1.2344444444444447,0.5611768674388596,2.301392819898666
192,0.2833333333333333,1.75,1,0.20281462585034005,1.52875,0.6945040239466462,2.318353104660314
193,0.2833333333333333,1,1,0.20279797979797973,1.2301818181818185,0.5614661637541352,2.327816563019453
194,0.2833333333333333,1,1,0.20422723475355045,1.5194736842105263,0.6928477189028558,2.344149328648004
195,0.2833333333333333,1,1,0.20423611111111103,1.2260714285714287,0.561727108669072,2.3532308624831053
198,0.14166666666666666,1,1,0.20314860426929382,1.5105172413793104,0.6869500207632316,2.3687437507471074
200,0.11333333333333333,1,1,0.2026413255360623,1.222105263157895,0.5576507392684128,2.377240800180702
202,0.14166666666666666,1.75,1,0.20210653753026625,1.5145762711864406,0.6869323008863235,2.3922783260870575
204,0.14166666666666666,1,1,0.20159003831417616,1.2182758620689658,0.5544289579355502,2.4002637570402734
206,0.14166666666666666,1,1,0.20109920634920625,1.506,0.6813463661121362,2.414567269240549
208,0.14166666666666666,1,1,0.20057438794726923,1.214576271186441,0.5513216510600905,2.4220745182919776
210,0.14166666666666666,1.3,3.0,0.2001249024199843,1.5452459016393443,0.6970439133019758,2.436742759637976
212,0.14166666666666666,1.3,3.0,0.1995925925925925,1.2593333333333332,0.5696395209114531,2.4448509775374037
214,0.14166666666666666,1,1,0.19918202764976947,1.536451612903226,0.6914535285164088,2.458817126664953
216,0.14166666666666666,1,1,0.19864298724954454,1.2550819672131146,0.5663451258206499,2.4664533350247817
218,0.14166666666666666,1.75,1,0.19826908541194246,1.53984126984127,0.6913118826609472,2.4800131572904345
220,0.14166666666666666,1,1,0.19772401433691747,1.2509677419354837,0.5631627652132539,2.487204864762347
222,0.14166666666666666,1,1,0.19738467261904752,1.53140625,0.6860013033349052,2.5001318723436734
224,0.14166666666666666,1,1,0.19683421516754843,1.2469841269841269,0.5600868427447562,2.5069065903289087
226,0.14166666666666666,1.3,2.4,0.19652747252747244,1.555846153846154,0.6952094231008394,2.5199093242998156
230,0.14166666666666666,1,1,0.1956962481962481,1.5474242424242426,0.6899952993960569,2.552252853959006
232,0.07083333333333333,1,1,0.1948654513888888,1.2431249999999998,0.5554608584247337,2.5782900816976655
234,0.14166666666666666,1.3,2.4,0.1948898365316275,1.5708955223880596,0.698809307426858,2.610741022563606
236,0.14166666666666666,1.3,2.4,0.1940470085470085,1.2719999999999998,0.5668082991666213,2.6366766786049616
238,0.14166666666666666,1,1,0.19410714285714276,1.5625,0.6936914874129116,2.6689760385119743
240,0.14166666666666666,1,1,0.19325336700336693,1.2678787878787878,0.5638044046138609,2.694418530870106
242,0.14166666666666666,1.3,2.4,0.19334713595583153,1.5850724637681157,0.7021423229342222,2.726762425033238
244,0.14166666666666666,1.3,3.0,0.1924834162520729,1.3071641791044777,0.5796755128467604,2.7527939685671026
246,0.14166666666666666,1,1,0.19260884353741486,1.5767142857142855,0.6971200766418489,2.7838354687381464
248,0.14166666666666666,1,1,0.19173611111111102,1.3026470588235295,0.5765446304826877,2.8095842667822133
250,0.14166666666666666,1.75,1,0.19189134808853112,1.5791549295774647,0.6968437028432998,2.8399334872460447
252,0.14166666666666666,1,1,0.19101046698872778,1.2982608695652174,0.5735098813751072,2.865105827362565
254,0.14166666666666666,1,1,0.19119378306878299,1.571111111111111,0.6920476475779854,2.8953117641073103
262,0.07083333333333333,1,1,0.18954500978473574,1.5632876712328767,0.6855894481806544,2.924650569529077
264,0.04722222222222223,1,1,0.18895634920634913,1.294,0.5684557202368152,2.9486158515026117
266,0.14166666666666666,1.3,2.4,0.18889800514800506,1.5843243243243244,0.6934624163856744,2.9777742290663536
268,0.14166666666666666,1.3,2.4,0.18829029733959304,1.3197183098591547,0.578457003633902,3.0014201838955703
270,0.14166666666666666,1,1,0.1882682539682539,1.5765333333333333,0.688916447703104,3.0295645506419655
272,0.14166666666666666,1,1,0.18764274691358016,1.3152777777777775,0.5755175849961438,3.0514143775360787
274,0.14166666666666666,1.3,2.4,0.18765507518796984,1.5968421052631578,0.6964989058916038,3.0802816443120835
276,0.14166666666666666,1.3,2.4,0.1870129375951293,1.3399999999999999,0.585099129279825,3.1019016326071904
278,0.14166666666666666,1.3,1,0.1870578231292516,1.5929870129870132,0.693703559846351,3.130032988985259
280,0.14166666666666666,1,1,0.18640015015015007,1.3354054054054054,0.5821385402116103,3.1522380954040017
282,0.14166666666666666,1,1,0.18647588522588515,1.5853846153846156,0.6893338372195422,3.1787394101816826
284,0.14166666666666666,1,1,0.1858037037037036,1.3309333333333333,0.5792617079458164,3.1992976429520414
286,0.14166666666666666,1.75,1,0.18590867992766716,1.5874683544303798,0.6891484785184427,3.2250975910047432
288,0.14166666666666666,1,1,0.1852229532163742,1.326578947368421,0.5764651465321433,3.2447859671566732
290,0.14166666666666666,1,1,0.1853556547619047,1.5801250000000002,0.6849549525532458,3.268389842288376
294,0.14166666666666666,1,1,0.18481628453850665,1.5729629629629631,0.680872630512145,3.290913380862724
296,0.07083333333333333,1,1,0.18373737373737364,1.3223376623376624,0.5722602500363346,3.310694667533193
298,0.14166666666666666,1.3,3.0,0.18429006968641104,1.6013414634146341,0.6919776160651364,3.3325685811572585
300,0.14166666666666666,1.3,3.0,0.18319800569800562,1.3553846153846154,0.5854019950196543,3.352228578617936
302,0.14166666666666666,1,1,0.18377653471026956,1.5940963855421686,0.6879021311262042,3.375858067389763
304,0.14166666666666666,1,1,0.18267229254571019,1.350886075949367,0.5826259905308651,3.3936906565345337
306,0.14166666666666666,1.3,2.4,0.1832752267573695,1.612261904761905,0.6946651620278815,3.415085012811595
308,0.14166666666666666,1.3,2.4,0.18215972222222213,1.373,0.5911336810256251,3.4325054123556953
310,0.14166666666666666,1,1,0.1827857142857142,1.6050588235294119,0.6906533631826589,3.4524755724604335
312,0.14166666666666666,1,1,0.18165980795610417,1.368395061728395,0.5883483087852961,3.4666460320534336
314,0.14166666666666666,1.75,1,0.18230758582502757,1.6067441860465117,0.6904414160431058,3.484184662287196
316,0.14166666666666666,1,1,0.1811720867208671,1.3639024390243903,0.5856350368418801,3.5007193903111076
318,0.14166666666666666,1,1,0.18184044882320735,1.5997701149425287,0.6865788504508112,3.5171242678574863
326,0.056666666666666664,1,1,0.17967202141900926,1.3595180722891567,0.5812796824265776,3.53260545310507
327.5,0.05964912280701754,1,1,0.18045191102756883,1.5929545454545455,0.6810091888860789,3.5518075686753026
334,0.07083333333333333,1,1,0.17837632275132267,1.3552380952380954,0.5773162835033849,3.565171541415157
335.5,0.07083333333333333,1,1,0.17922024161527406,1.5862921348314607,0.6758198755996909,3.5799721173987473
342,0.08717948717948719,1,1,0.17819756656598754,1.579777777777778,0.6711079135521686,3.5968184589735825
343.5,0.05964912280701754,1,1,0.1769795321637426,1.3510588235294119,0.5732317668658573,3.6058142501909183
350,0.07083333333333333,1,1,0.17701773982716718,1.5734065934065935,0.6661632591871185,3.6176106968896193
351.5,0.07083333333333333,1,1,0.17574527403780763,1.3469767441860465,0.5694654822196373,3.623717424040631
353,0.1888888888888889,1.3,2.4,0.17714677405609897,1.590217391304348,0.6734435904317551,3.639967927945669
358,0.08717948717948719,1,1,0.17472727648771197,1.3429885057471265,0.5661056797407945,3.6444079585200826
359.5,0.08717948717948719,1,1,0.17617938387463,1.5838709677419356,0.6689098506640557,3.659497618469134
361.5,0.2833333333333333,1.75,1,0.17731931950716942,1.5856382978723405,0.671863220765346,3.6736663379536267
363.5,0.2833333333333333,1,1,0.17843525649481326,1.5794736842105264,0.6714389644519545,3.6867344340879677
365,0.08095238095238096,1,1,0.17366165267481048,1.339090909090909,0.562708855837293,3.6902408641479947
366,0.22666666666666666,1.75,1,0.17893766701743674,1.58125,0.6731540869445032,3.702382624504956
367.5,0.22666666666666666,1,1,0.17425721462977517,1.3352808988764044,0.5621278251845794,3.7043009788952106
369.5,0.2833333333333333,1,1,0.17546917150425914,1.3315555555555556,0.5625979828471794,3.7049936979017613
371.5,0.2833333333333333,1,1,0.1766544919639193,1.327912087912088,0.5630422827383852,3.703957820206737
373,0.08095238095238096,1,1,0.1779275094291372,1.575257731958763,0.6686918242254846,3.7151153829448846
374,0.22666666666666666,1,1,0.1771981025585144,1.3243478260869568,0.5624509956761821,3.712887948934727
375.5,0.22666666666666666,1.75,1,0.1784248477682957,1.5770408163265308,0.6703977394744018,3.7230875939571018
377.5,0.2833333333333333,1,1,0.17948452944066984,1.5712121212121213,0.6699827228583449,3.7321125008092344
379.5,0.2833333333333333,1.75,1,0.18052301747959654,1.5730000000000002,0.6727230652169531,3.7411535023401203
381,0.08095238095238096,1,1,0.1761632023261904,1.3208602150537636,0.5592976945883308,3.737437109908993
382,0.22666666666666666,1,1,0.1809798852933299,1.5673267326732674,0.6711983469766284,3.745060614970323
383.5,0.22666666666666666,1,1,0.1767004732234295,1.3174468085106386,0.5587576836387345,3.7415238185378463
385.5,0.2833333333333333,1,1,0.17782292438248118,1.3141052631578949,0.5591962810146465,3.737608356435432
387.5,0.2833333333333333,1,1,0.1789219911423859,1.3108333333333335,0.5596129407189524,3.7337933202788216
390,0.07083333333333333,1,1,0.17990001713685938,1.561764705882353,0.6667968486270981,3.741483515551865
392,0.1259259259259259,1,1,0.17837563995458736,1.3076288659793815,0.5573857153343781,3.7364955204852572
394,0.14166666666666666,1.75,1,0.17952881955947886,1.563592233009709,0.6668598729604238,3.744206458255744
396,0.14166666666666666,1,1,0.17800105859450654,1.3044897959183674,0.5554665784259797,3.746622214843653
398,0.14166666666666666,1,1,0.17916476039704796,1.558173076923077,0.6638869712551965,3.754050985282496
400,0.14166666666666666,1,1,0.17763404453462942,1.3014141414141414,0.5535883382765533,3.749399670869248
402,0.14166666666666666,1.75,1,0.1788076356948539,1.56,0.6639752483767272,3.7566877401151535
404,0.14166666666666666,1,1,0.17727437075594982,1.2984,0.5517497071098525,3.7517259153491853
406,0.14166666666666666,1,1,0.178457249194588,1.5547169811320756,0.6610902770580666,3.7519762887887
408,0.14166666666666666,1,1,0.17692181923031333,1.2954455445544555,0.5499494504562779,3.7466992094990985
410,0.14166666666666666,1.75,1,0.17811341197470085,1.5565420560747665,0.6612018154390552,3.746831693483868
412,0.14166666666666666,1,1,0.17657618047968937,1.292549019607843,0.5481863844315028,3.748966706560357
414,0.14166666666666666,1,1,0.1777759421107376,1.551388888888889,0.6584002959403418,3.7478270627845314
416,0.14166666666666666,1,1,0.17623725316111633,1.2897087378640777,0.5464593731796822,3.7485202038818617
418,0.14166666666666666,1.75,1,0.17744466435436998,1.553211009174312,0.6585332743287282,3.747746841957813
420,0.14166666666666666,1,1,0.1759048436755928,1.286923076923077,0.5447673264697751,3.748533824365378
422,0.14166666666666666,1,1,0.17711940982993632,1.5481818181818183,0.6558110412146437,3.747613036953484
424,0.14166666666666666,1,1,0.1755787657993173,1.2841904761904763,0.5431091974344142,3.7484871911479374
426,0.14166666666666666,1.3,2.4,0.17680001574738435,1.5623423423423426,0.6611202767162607,3.748150638303396
428,0.14166666666666666,1.3,2.4,0.17525884033580175,1.3015094339622642,0.5497807189252953,3.7494947350867065
430,0.14166666666666666,1,1,0.1764863251305922,1.5573214285714287,0.6584227820070363,3.748020415443337
432,0.14166666666666666,1,1,0.17494489478749206,1.2986915887850468,0.5481024957492605,3.7480864934710647
434,0.14166666666666666,1.3,2.4,0.17617818656011502,1.5711504424778764,0.6636012513006398,3.747192650736128
436,0.14166666666666666,1.3,2.4,0.1746367630456326,1.3155555555555554,0.5545877261702382,3.7477397652872986
438,0.14166666666666666,1,1,0.17587545392947077,1.5661403508771932,0.6609287024173206,3.746715335297429
440,0.2833333333333333,1.75,1,0.17680987027211306,1.5677391304347827,0.6633941054436322,3.7525319509197326
442,0.09444444444444446,1,1,0.17390105370066755,1.3126605504587154,0.5521811960383302,3.746726045320015
444,0.2833333333333333,1,1,0.17489589260641908,1.309818181818182,0.5526349146248282,3.7401254388582057
