_Time,L Swing Speed degree/ms,L Angle Diff,L Pos Diff,L Stamina,L Pattern Diff,L CombinedDiff
5,0,1,1.1,0,0,0
7,0.23333333333333334,1,1,8.592636390491308e-06,0.21634100568879913,0
9,0.23333333333333334,1,1,8.463021030446078e-05,0.3368608681786161,0
11,0.23333333333333334,1,1,0.0003225719317086403,0.46842180790721566,0
13,0.23333333333333334,1,1,0.000833536084932338,0.6091962866950804,0
15,0.23333333333333334,1,1,0.0017407141061540029,0.7579551413494342,0
17,0.23333333333333334,1,1,0.0031770610529997644,0.9138053595401516,0
19,0.23333333333333334,1,1,0.005283843749455655,1.076063841839902,0.2287777061500652
21,0.23333333333333334,1,1,0.005565703510471094,1.06754908927534,0.20325340511720977
23,0.23333333333333334,1,1,0.005798606961822925,1.0607485474362268,0.18287561890823884
26,0.15555555555555556,1,1,0.005359703720321647,1.0551919387478759,0.16613265067727784
28,0.23333333333333334,1,1,0.005565703510471097,1.0505665826279693,0.15228826369992282
29,0.4666666666666667,1,1,0.007535222091146471,1.0466564861500385,0.14093014933538392
31,0.23333333333333334,1,1,0.0075820642507052165,1.0433076552981038,0.13091502514881054
32.5,0.3111111111111111,1,1,0.008209626354286735,1.040407340097058,0.12238607535774906
34.5,0.23333333333333334,1,1,0.008209626354286735,1.037871093756174,0.11481102872563478
36.5,0.23333333333333334,1,1,0.008209626354286735,1.0356344163734517,0.10813691789688096
38.5,0.23333333333333334,1,1,0.008209626354286733,1.0336471940348084,0.10221297753525721
41,0.18666666666666668,1,1,0.007927886262248269,1.0318698999672435,0.09684132267065454
45,0.11666666666666667,1,1,0.007299002720247772,1.0302709390489833,0.09190764207118589
48,0.15555555555555556,1,1,0.006950372680191223,1.028824753387865,0.08750646131322519
49.5,0.3111111111111111,1,1,0.007378723493254092,1.0275104460974431,0.08371386436528475
51.5,0.23333333333333334,1,1,0.007413573210716127,1.0263107651129573,0.08015946040720764
53.5,0.23333333333333334,1,1,0.007445619412405347,1.0252113417503004,0.07690622342368826
56,0.18666666666666668,1,1,0.0072740721321676634,1.0242001124933755,0.07385373525871092
59.5,0.13333333333333333,1,1,0.0069048226001828285,1.023266874554703,0.07097114508679209
63,0.13333333333333333,1,1,0.006574762222012244,1.022402940442883,0.06830717577901249
72,0.05185185185185186,1,1,0.006002338731043663,1.0216008667269434,0.06575561292948075
74,0.23333333333333334,1,1,0.006070599206132124,1.0208542390471993,0.06356017080034862
76,0.23333333333333334,1,1,0.006134795401689926,1.0201575002194891,0.061514633750043075
77.5,0.3111111111111111,1,1,0.006437926594027606,1.0195058116812177,0.05968464205287785
79.5,0.23333333333333334,1,1,0.006488821005995563,1.0188949409705492,0.0578975939055766
83,0.13333333333333333,1,1,0.006241481860225749,1.0183211697054373,0.05611828184655843
89,0.07777777777777778,1,1,0.00586337670204554,1.0177812178336685,0.05439522010146869
91,0.23333333333333334,1,1,0.005922948119084774,1.0172721808935137,0.05291201755977643
92.5,0.3111111111111111,1,1,0.006183093069923288,1.0167914777504563,0.05158729012523772
95,0.18666666666666668,1,1,0.006112656199657905,1.0163368068244503,0.050223166745981235
104,0.05185185185185186,1,1,0.005719939212093437,1.0159061092409096,0.048812218160227114
105,0.4666666666666667,1,1,0.006337888617342029,1.0154975376605742,0.047844625043590175
107,0.23333333333333334,1,1,0.006380639113970621,1.0151094297927765,0.046724957087095315
109,0.23333333333333334,1,1,0.006421490345075257,1.0147402857912005,0.04566211299041573
111,0.23333333333333334,1,1,0.006460565419638133,1.01438874888401,0.04465200052902451
115.5,0.10370370370370371,1,1,0.006205304285659336,1.014053588711001,0.04356509649033917
120,0.10370370370370371,1,1,0.005968284647999457,1.0137336869364522,0.042531209952176276
124,0.11666666666666667,1.2,1.1,0.005773894847241035,1.0728181470644051,0.2191047582498966
128,0.11666666666666667,1.2,1.1,0.0055921280293121595,1.1300459814890282,0.3909860287642621
132,0.11666666666666667,1.2,1.1,0.005421869989091443,1.1854731480620977,0.5575047159280023
136,0.11666666666666667,1,1,0.005262128490453371,1.1815359672608443,0.5456398184590114
140,0.11666666666666667,1,1,0.005112017512428528,1.1777623302445073,0.5342695800380566
144,0.11666666666666667,1,1,0.00497074382180802,1.1741422617632802,0.5233636828265193
148,0.11666666666666667,1,1,0.004837595487870454,1.170666581120411,0.5128942386327598
151,0.15555555555555556,1,1,0.0047711589797226886,1.1673268246527628,0.5028471499401275
152,0.4666666666666667,1,1,0.005186449167317971,1.1641151771086,0.49327906320214376
155,0.15555555555555556,1,1,0.0051127184682228325,1.1610244107541563,0.4839780666528184
156.5,0.3111111111111111,1,1,0.005279962735616289,1.1580478312126163,0.47506661607928724
158.5,0.23333333333333334,1,1,0.005324621593419996,1.1551792291832104,0.46645576874629147
161,0.18666666666666668,1,1,0.00529759078346613,1.1524128373092049,0.4581384598381858
163,0.23333333333333334,1,1,0.005340499458554421,1.1497432915656265,0.4501252895916982
165,0.23333333333333334,1,1,0.0053821830824909754,1.1471655966238885,0.4423877780864911
166.5,0.3111111111111111,1,1,0.005536239922148833,1.1446750947236997,0.43493271452258686
168,0.3111111111111111,1,1,0.00568814419039558,1.1422674376449542,0.4277258636176141
171.5,0.13333333333333333,1,1,0.005579469315135445,1.1399385614254403,0.42070827245950243
173.5,0.23333333333333334,1,1,0.005615837833671993,1.1376846635157027,0.41394232909688466
175.5,0.23333333333333334,1,1,0.005651227080902114,1.1355021821013962,0.4073907588592145
